,animal_id_outcome,outcome_type,age_upon_outcome_years,animal_type,breed,Mix,fotos,bins
54364,A732008,Euthanasia,7.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
55023,A732869,Euthanasia,8.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
56497,A734686,Euthanasia,5.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
58578,A737358,Euthanasia,1.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,0-1
58622,A737408,Euthanasia,12.0,Dog,beagle,True,https://dog.ceo/api/breed/Beagle Mix/images/random,10-19
59376,A738364,Euthanasia,12.0,Dog,germanshepherd,False,https://dog.ceo/api/breed/German Shepherd/images/random,10-19
59829,A738998,Euthanasia,4.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,2-5
60276,A739703,Euthanasia,0.0821917808219178,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
60326,A739785,Euthanasia,0.3287671232876712,Dog,beagle,True,https://dog.ceo/api/breed/Beagle Mix/images/random,0-1
60612,A740279,Euthanasia,2.0,Dog,chihuahua,False,https://dog.ceo/api/breed/Chihuahua Shorthair/images/random,0-1
62144,A742639,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
62146,A742640,Euthanasia,0.9041095890410958,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
62148,A742641,Euthanasia,3.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,2-5
63094,A743918,Euthanasia,17.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
67342,A750223,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
71792,A756374,Euthanasia,10.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,6-10
