,_id,category,coords,founded_year,latitude,longitude,name,number_of_employees,tamaño_empresa,total_money_raised
125,5cd43dad622ab737609a089c,web,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Conversition,10,startup,$0
126,5cd43dad622ab737609a00b7,advertising,"{'type': 'Point', 'coordinates': [-73.986951, 40.756054]}",2008,40.756054,-73.986951,Medialets,60,small,$28.4M
127,5cd43dad622ab737609a00b4,games_video,"{'type': 'Point', 'coordinates': [-73.9447994, 40.727434]}",2008,40.727434,-73.9447994,GEN247,12,small,$0
128,5cd43dad622ab737609a01a5,public_relations,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",2008,40.7564318,-73.9871847,Thomson Reuters,50000,big,$0
129,5cd43dad622ab737609a025e,public_relations,"{'type': 'Point', 'coordinates': [-73.9871847, 40.7564318]}",2008,40.7564318,-73.9871847,Thomson Reuters,50000,big,$0
130,5cd43dad622ab7376099fcec,social,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2007,40.757929,-73.985506,MeetMoi,15,small,$5.58M
131,5cd43dad622ab7376099fd44,search,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2012,40.757929,-73.985506,PeekYou,20,small,$1.83M
132,5cd43dad622ab7376099ffc8,software,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2008,40.757929,-73.985506,Pinch Media,6,startup,$560k
133,5cd43dad622ab7376099ff5d,network_hosting,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2006,40.757929,-73.985506,MyBloop,7,startup,$0
134,5cd43dad622ab7376099fe18,games_video,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",2007,40.757929,-73.985506,Camlink,4,startup,$0
135,5cd43dad622ab737609a02df,education,"{'type': 'Point', 'coordinates': [-73.9793465, 40.7568493]}",2008,40.7568493,-73.9793465,Unigo,9,startup,$2M
136,5cd43dad622ab7376099fda0,enterprise,"{'type': 'Point', 'coordinates': [-74.0094471, 40.6772802]}",2005,40.6772802,-74.0094471,Vemo,3,startup,$0
137,5cd43dad622ab7376099fd5f,mobile,"{'type': 'Point', 'coordinates': [-73.976348, 40.756799]}",2006,40.756799,-73.976348,Worklight,30,small,$17.6M
138,5cd43dad622ab737609a03ec,advertising,"{'type': 'Point', 'coordinates': [-73.9763479, 40.756799]}",2007,40.756799,-73.9763479,MediaMath,125,medium,$26.9M
139,5cd43dad622ab7376099fef4,enterprise,"{'type': 'Point', 'coordinates': [-73.98459, 40.759243]}",2008,40.759243,-73.98459,Salesconx,15,small,$1.3M
140,5cd43dad622ab737609a02b8,web,"{'type': 'Point', 'coordinates': [-74.039011, 40.747005]}",2007,40.747005,-74.039011,SuiteMatch,3,startup,$0
141,5cd43dad622ab737609a01ff,web,"{'type': 'Point', 'coordinates': [-74.039011, 40.747005]}",2007,40.747005,-74.039011,SuiteMatch,3,startup,$0
