,_id,category,coords,founded_year,latitude,longitude,name,number_of_employees,tamaño_empresa,total_money_raised
139,5cd962d86517e94a863b9d3c,web,"{'type': 'Point', 'coordinates': [-73.996122, 40.7508]}",2007,40.7508,-73.996122,GoLark,3,startup,
140,5cd962d86517e94a863ba757,web,"{'type': 'Point', 'coordinates': [-73.9952442, 40.751234]}",2007,40.751234,-73.9952442,YEAONAY,1,startup,
141,5cd962d86517e94a863ba7bc,web,"{'type': 'Point', 'coordinates': [-73.9565551, 40.714279]}",2008,40.714279,-73.9565551,Disrupto,7,startup,
142,5cd962d86517e94a863ba49c,web,"{'type': 'Point', 'coordinates': [-74.0348315, 40.7370784]}",2008,40.7370784,-74.0348315,IAmInTown,3,startup,
143,5cd962d86517e94a863b9e39,network_hosting,"{'type': 'Point', 'coordinates': [-73.990675, 40.752143]}",2006,40.752143,-73.990675,Social Sauce,10,startup,
144,5cd962d86517e94a863b9fbe,advertising,"{'type': 'Point', 'coordinates': [-73.992544, 40.752404]}",2007,40.752404,-73.992544,TradingUp Online,7,startup,
145,5cd962d86517e94a863b9f7b,ecommerce,"{'type': 'Point', 'coordinates': [-73.978733, 40.749277]}",2008,40.749277,-73.978733,Plentitube,5,startup,
146,5cd962d86517e94a863ba509,advertising,"{'type': 'Point', 'coordinates': [-73.973243, 40.74724]}",2008,40.74724,-73.973243,Transit Treasure,1,startup,
147,5cd962d86517e94a863ba4ea,software,"{'type': 'Point', 'coordinates': [-73.987871, 40.752539]}",2007,40.752539,-73.987871,PEX Card,11,small,5700000.0
148,5cd962d86517e94a863b9f83,public_relations,"{'type': 'Point', 'coordinates': [-73.991512, 40.753877]}",2008,40.753877,-73.991512,Ladies Who Launch,12,small,
149,5cd962d86517e94a863ba185,advertising,"{'type': 'Point', 'coordinates': [-73.991123, 40.753931]}",2007,40.753931,-73.991123,AdSide,14,small,
150,5cd962d86517e94a863ba23e,advertising,"{'type': 'Point', 'coordinates': [-73.991123, 40.753931]}",2007,40.753931,-73.991123,AdSide,14,small,
151,5cd962d86517e94a863b9ed0,network_hosting,"{'type': 'Point', 'coordinates': [-73.992152, 40.754698]}",2006,40.754698,-73.992152,Zoomabet,13,small,
152,5cd962d86517e94a863b9fcf,network_hosting,"{'type': 'Point', 'coordinates': [-73.989622, 40.754901]}",2007,40.754901,-73.989622,MYSTYLEPOST,6,startup,
153,5cd962d86517e94a863ba00e,games_video,"{'type': 'Point', 'coordinates': [-73.988543, 40.754762]}",2007,40.754762,-73.988543,My Damn Channel,10,startup,8660000.0
154,5cd962d86517e94a863ba7f0,analytics,"{'type': 'Point', 'coordinates': [-73.985647, 40.754937]}",2005,40.754937,-73.985647,OpTier,150,medium,77500000.0
155,5cd962d86517e94a863b9e61,web,"{'type': 'Point', 'coordinates': [-73.981237, 40.753918]}",2005,40.753918,-73.981237,Odeo,60,small,
