Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2004.01.21.a,2004,Unprovoked,VENEZUELA,N,2.5
2004.01.15.R,2004,Boat,SOUTH AFRICA,N,4.5
2004.01.12,2004,Unprovoked,AUSTRALIA,N,3.8003003003003
2004.01.07,2004,Unprovoked,SOUTH AFRICA,N,3.5
2004.01.03.b,2004,0,NEW ZEALAND,N,4.5503003003003
2004.01.03.a,2004,Sea Disaster,EGYPT,Y,5.25
2004.00.00,2004,Unprovoked,AUSTRALIA,N,4.7507507507507505
2003.12.31,2003,Boat,SOUTH AFRICA,N,6.0
2003.12.26,2003,0,USA,N,3.5
2003.12.13.b,2003,Unprovoked,USA,N,3.5
2003.12.13.a,2003,Unprovoked,NEW ZEALAND,Y,3.3003003003003
2003.12.08,2003,Unprovoked,AUSTRALIA,N,2.75
2003.11.30.b,2003,Unprovoked,AUSTRALIA,N,3.5
2003.11.30.a,2003,Unprovoked,AUSTRALIA,N,3.5
2003.11.27,2003,Unprovoked,SOUTH AFRICA,Y,2.5
2003.11.22,2003,Unprovoked,USA,N,2.5
2003.11.12.b,2003,Unprovoked,INDIA,N,3.5
2003.11.12.a,2003,Unprovoked,USA,N,4.0
2003.11.06.b,2003,Unprovoked,EGYPT,N,4.5
2003.11.06.a,2003,Unprovoked,SOUTH AFRICA,N,6.0
2003.11.01,2003,Unprovoked,AUSTRALIA,N,4.8003003003003
2003.11.00,2003,Provoked,PANAMA,N,5.5
2003.10.31.c,2003,Unprovoked,USA,N,2.5
2003.10.31.b,2003,Unprovoked,AUSTRALIA,N,2.5
2003.10.31.a,2003,Unprovoked,USA,N,2.5
2003.10.27,2003,Unprovoked,USA,N,3.0
2003.10.24,2003,0,USA,N,2.5
2003.10.14,2003,Unprovoked,USA,N,4.0
2003.10.06,2003,0,USA,Y,5.25
2003.10.05.e,2003,Unprovoked,USA,N,4.5
2003.10.05.d,2003,Unprovoked,USA,N,3.5
2003.10.05.c,2003,Provoked,USA,N,2.75
2003.10.05.b,2003,Unprovoked,USA,N,3.0
2003.10.05.a,2003,Unprovoked,USA,N,2.25
2003.09.29,2003,Unprovoked,FIJI,Y,3.3003003003003
2003.09.28,2003,Unprovoked,USA,N,3.0
2003.09.21,2003,Unprovoked,USA,N,3.0
2003.09.19,2003,Unprovoked,USA,N,3.0
2003.09.17,2003,Unprovoked,USA,N,3.5
2003.09.14.c,2003,Unprovoked,USA,N,2.5
2003.09.14.b,2003,Boat,SOUTH AFRICA,N,4.0
2003.09.14.a,2003,0,USA,N,3.0
2003.09.13.b,2003,Unprovoked,USA,N,2.5
2003.09.13.a,2003,Unprovoked,USA,N,2.8003003003003
2003.09.12,2003,Unprovoked,SOUTH AFRICA,Y,2.25
2003.09.00,2003,Unprovoked,USA,N,5.5
2003.08.29,2003,Provoked,USA,N,3.25
2003.08.19,2003,Unprovoked,USA,Y,2.25
2003.08.12,2003,0,USA,N,3.0
2003.08.08,2003,Unprovoked,SOUTH AFRICA,N,2.5
2003.07.26.R,2003,Unprovoked,AUSTRALIA,N,3.75
2003.07.20,2003,Unprovoked,USA,N,3.0
2003.07.15,2003,Unprovoked,USA,N,3.5
2003.07.09,2003,Unprovoked,BAHAMAS,N,2.5
2003.07.05.b,2003,Provoked,USA,N,2.75
2003.07.05.a,2003,Unprovoked,USA,N,3.5
2003.07.04,2003,Unprovoked,BAHAMAS,N,2.5
2003.07.00.c,2003,Unprovoked,USA,N,4.5
2003.07.00.b,2003,Unprovoked,FRENCH POLYNESIA,N,5.5
2003.07.00.a,2003,Unprovoked,NEW ZEALAND,N,5.0
2003.06.30,2003,Unprovoked,USA,N,3.0
2003.06.26,2003,Unprovoked,USA,N,2.8003003003003
2003.06.24.c,2003,Unprovoked,BRAZIL,Y,5.0
2003.06.24.b,2003,Unprovoked,USA,N,2.8003003003003
2003.06.24.a,2003,Unprovoked,USA,N,2.5
2003.06.22,2003,Unprovoked,USA,N,3.8003003003003
2003.06.19,2003,Unprovoked,USA,N,2.8003003003003
2003.06.08,2003,Unprovoked,USA,N,4.5
2003.06.00,2003,0,USA,N,4.0
2003.05.25,2003,Unprovoked,USA,N,3.0
2003.05.14,2003,Unprovoked,USA,N,2.5
2003.05.10,2003,Unprovoked,USA,N,2.5
2003.05.07,2003,Provoked,USA,N,2.25
2003.05.03,2003,Unprovoked,USA,N,3.5
2003.05.00,2003,Unprovoked,PHILIPPINES,N,6.0
2003.04.26,2003,Provoked,BRAZIL,N,5.25
2003.04.25,2003,Unprovoked,BRAZIL,N,3.0
2003.04.23.b,2003,Unprovoked,BRAZIL,N,2.25
2003.04.23.a,2003,Unprovoked,BRAZIL,N,4.5
2003.04.21.b,2003,Unprovoked,USA,N,2.5
2003.04.21.a,2003,Unprovoked,USA,N,3.0
2003.04.20.c,2003,Unprovoked,USA,N,2.8003003003003
2003.04.20.b,2003,Unprovoked,USA,N,2.5
2003.04.20.a,2003,Unprovoked,USA,N,2.5
2003.04.19,2003,Unprovoked,USA,N,3.0
2003.04.18,2003,Unprovoked,USA,N,3.0
2003.04.15,2003,Unprovoked,USA,N,3.0
2003.04.11,2003,Unprovoked,VENEZUELA,N,3.5
2003.04.09,2003,Unprovoked,USA,N,4.3003003003003
2003.04.04,2003,Unprovoked,USA,N,2.5
2003.03.10,2003,Provoked,USA,N,4.5
2003.02.27,2003,Unprovoked,NEW ZEALAND,N,2.5
2003.02.15.b,2003,Unprovoked,AUSTRALIA,N,2.8003003003003
2003.02.15.a,2003,Unprovoked,USA,N,2.5
2003.02.11,2003,Unprovoked,AUSTRALIA,N,3.5
2003.02.08,2003,Unprovoked,AUSTRALIA,Y,2.8003003003003
2003.01.17,2003,0,SOUTH AFRICA,Y,4.0
2003.01.03,2003,Unprovoked,COSTA RICA,N,4.5
2003.01.02,2003,Unprovoked,AUSTRALIA,N,3.5
2002.12.29,2002,Unprovoked,AUSTRALIA,N,3.5
2002.12.24,2002,Unprovoked,SOUTH AFRICA,N,2.5
2002.12.21,2002,Unprovoked,AUSTRALIA,N,3.5
2002.12.20,2002,0,AUSTRALIA,N,3.5
2002.12.16,2002,Unprovoked,AUSTRALIA,Y,2.5
2002.12.01,2002,Unprovoked,BRAZIL,Y,4.0
2002.11.28.b,2002,Unprovoked,MICRONESIA,N,4.3003003003003
2002.11.28.a,2002,Unprovoked,USA,N,2.5
2002.11.17,2002,Unprovoked,USA,N,2.5
2002.11.14,2002,Unprovoked,TURKS & CAICOS,N,2.25
2002.11.11,2002,Unprovoked,USA,N,2.5
2002.11.02,2002,Unprovoked,USA,N,3.0
2002.11.00.a,2002,Unprovoked,FRENCH POLYNESIA,N,4.0
2002.10.30,2002,Unprovoked,USA,N,2.5
2002.10.14,2002,Unprovoked,BRAZIL,Y,2.5
2002.10.11,2002,Unprovoked,USA,N,3.8003003003003
2002.10.05.b,2002,Unprovoked,USA,N,2.25
2002.10.05.a,2002,Unprovoked,USA,N,2.5
2002.10.03,2002,Unprovoked,USA,N,2.5
2002.09.30,2002,Unprovoked,USA,N,2.5
2002.09.29,2002,Unprovoked,USA,N,3.0
2002.09.27.c,2002,Unprovoked,USA,N,2.5
2002.09.27.b,2002,Provoked,USA,N,3.8003003003003
2002.09.27.a,2002,Provoked,TONGA,N,3.5
2002.09.21.b,2002,Unprovoked,USA,N,3.5
2002.09.21.a,2002,Unprovoked,USA,N,2.8003003003003
2002.09.16.b,2002,Unprovoked,BRAZIL,N,3.0
2002.09.16.a,2002,Unprovoked,USA,N,5.75
2002.09.13,2002,Unprovoked,SOUTH AFRICA,N,2.5
2002.09.09,2002,Unprovoked,USA,N,3.0
2002.09.05,2002,Provoked,USA,N,2.25
2002.08.28,2002,Unprovoked,USA,N,2.5
2002.08.17,2002,Unprovoked,USA,N,3.0
2002.08.14,2002,Unprovoked,USA,N,2.5
2002.08.11,2002,Unprovoked,USA,N,2.5
2002.08.07,2002,Unprovoked,USA,N,3.0
2002.08.06.R,2002,Provoked,UNITED KINGDOM,N,3.5
2002.08.05,2002,Unprovoked,USA,N,2.5
2002.07.26,2002,Unprovoked,USA,N,3.0
2002.07.20,2002,Unprovoked,USA,N,2.5
2002.07.10,2002,Provoked,USA,N,2.5
2002.07.09.b,2002,Provoked,USA,Y,2.5503003003003
2002.07.09.a,2002,Unprovoked,BRAZIL,N,3.0
2002.07.04,2002,Unprovoked,USA,N,2.5
2002.06.20.b,2002,Unprovoked,AUSTRALIA,N,3.5
2002.06.20.a,2002,Unprovoked,USA,N,3.5
2002.06.16,2002,0,INDONESIA,Y,7.25
2002.06.13.R2,2002,Unprovoked,PAPUA NEW GUINEA,N,7.0
2002.06.13.R1,2002,Unprovoked,PAPUA NEW GUINEA,Y,6.5
2002.06.11.b,2002,Unprovoked,USA,N,5.0
2002.06.11.a,2002,Unprovoked,USA,N,2.5
2002.06.09.b,2002,Unprovoked,USA,N,3.0
2002.06.09.a,2002,Unprovoked,USA,N,3.0
2002.06.03,2002,Unprovoked,SOUTH AFRICA,N,3.5
2002.05.31.b,2002,Unprovoked,USA,N,2.5
2002.05.31.a,2002,Unprovoked,USA,N,2.5
2002.05.22.b,2002,Provoked,USA,N,3.0
2002.05.22.a,2002,Unprovoked,USA,N,2.75
2002.05.21.R,2002,Unprovoked,COSTA RICA,N,4.5
2002.05.21,2002,Unprovoked,PAPUA NEW GUINEA,N,4.0
2002.05.13,2002,Unprovoked,USA,N,3.5
2002.05.10,2002,Unprovoked,BRAZIL,N,3.0
2002.05.07,2002,Provoked,AUSTRALIA,N,3.75
2002.04.30,2002,Unprovoked,AUSTRALIA,Y,2.25
2002.04.21,2002,0,AUSTRALIA,Y,4.25
2002.04.20,2002,Unprovoked,USA,N,2.5
2002.04.18,2002,Unprovoked,USA,N,3.0
2002.04.12,2002,Unprovoked,AUSTRALIA,N,3.0
2002.04.09,2002,Unprovoked,BAHAMAS,N,2.5
2002.04.02,2002,Unprovoked,USA,N,2.75
2002.04.01,2002,Unprovoked,USA,N,2.5
2002.03.25.b,2002,Unprovoked,USA,N,2.5
2002.03.25.a,2002,Unprovoked,USA,N,3.0
2002.03.24,2002,Unprovoked,BRAZIL,Y,3.5
2002.03.19,2002,Unprovoked,USA,N,2.5
2002.03.15.b,2002,Unprovoked,USA,N,2.8003003003003
2002.03.15.a,2002,Unprovoked,USA,N,3.0
2002.03.03,2002,0,NEW CALEDONIA,Y,3.5
2002.02.23,2002,Unprovoked,TURKS & CAICOS,Y,7.0
2002.02.16,2002,Unprovoked,AUSTRALIA,N,2.5
2002.02.11,2002,Unprovoked,FIJI,Y,4.0
2002.02.07,2002,Unprovoked,AUSTRALIA,N,2.5
2002.01.30.b,2002,Unprovoked,AUSTRALIA,N,2.5
2002.01.30.a,2002,Unprovoked,AUSTRALIA,N,4.0
2002.01.04,2002,Unprovoked,SOUTH AFRICA,N,2.5
2002.01.03,2002,Unprovoked,BRAZIL,Y,6.5
2002.01.01.b,2002,Unprovoked,SOUTH AFRICA,N,3.3003003003003
2002.01.01.a,2002,Unprovoked,USA,N,2.5
2001.12.21,2001,0,AUSTRALIA,N,3.0503003003003
2001.11.23,2001,Unprovoked,AUSTRALIA,N,3.5
2001.11.14,2001,Unprovoked,USA,N,5.25
2001.11.07,2001,0,AUSTRALIA,N,5.25
2001.10.07,2001,Unprovoked,SOUTH AFRICA,N,5.0
2001.10.02,2001,Unprovoked,AUSTRALIA,N,2.5
2001.09.30.b,2001,Unprovoked,MEXICO,N,2.8003003003003
2001.09.30.a,2001,Boat,AUSTRALIA,N,3.6006006006006004
2001.09.24,2001,Provoked,USA,N,2.75
2001.09.18,2001,Unprovoked,USA,N,3.0
2001.09.16,2001,0,USA,Y,2.5
2001.09.15.b,2001,Unprovoked,USA,N,2.25
2001.09.15.a,2001,Unprovoked,USA,N,3.0
2001.09.13,2001,Provoked,UNITED KINGDOM,N,5.5
2001.09.08,2001,Provoked,USA,N,4.25
2001.09.07.b,2001,Unprovoked,USA,N,3.0
2001.09.07.a,2001,0,USA,N,4.5
2001.09.03.b,2001,Unprovoked,USA,Y,2.5
2001.09.03.a,2001,Unprovoked,USA,N,3.0
2001.09.02,2001,Unprovoked,USA,N,2.8003003003003
2001.09.01,2001,Unprovoked,USA,Y,2.5
2001.08.31,2001,Unprovoked,BAHAMAS,N,2.5
2001.08.29,2001,Unprovoked,USA,N,3.0
2001.08.27,2001,Unprovoked,USA,N,3.0
2001.08.26,2001,Unprovoked,USA,N,3.0
2001.08.25,2001,Unprovoked,USA,N,3.5
2001.08.22,2001,Unprovoked,USA,N,2.5
2001.08.21,2001,Unprovoked,USA,N,3.0
2001.08.19.c,2001,Unprovoked,USA,N,3.0
2001.08.19.b,2001,Unprovoked,USA,N,3.0
2001.08.19.a,2001,Unprovoked,USA,N,3.5
2001.08.18.c,2001,Unprovoked,USA,N,2.5
2001.08.18.b,2001,Unprovoked,USA,N,2.5
2001.08.18.a,2001,Unprovoked,USA,N,2.5
2001.08.16,2001,Unprovoked,BAHAMAS,N,2.5
2001.08.12,2001,Unprovoked,THAILAND,N,4.0
2001.08.05,2001,Unprovoked,USA,N,5.5
2001.08.04,2001,Unprovoked,BAHAMAS,N,2.75
2001.08.03,2001,Boat,ITALY,N,7.5
2001.07.26,2001,Unprovoked,USA,N,5.5
2001.07.25,2001,Unprovoked,USA,N,4.5
2001.07.24,2001,Unprovoked,USA,N,5.0
2001.07.21,2001,Boat,USA,N,6.0
2001.07.15.b,2001,Unprovoked,USA,N,3.0
2001.07.15.a,2001,Unprovoked,USA,N,2.5
2001.07.06.b,2001,Unprovoked,MEXICO,N,3.3003003003003
2001.07.06.a,2001,Unprovoked,USA,N,2.8003003003003
2001.07.03,2001,Unprovoked,USA,N,7.0
2001.07.00,2001,Unprovoked,USA,N,3.0
2001.06.12,2001,Unprovoked,USA,N,3.5
2001.06.10,2001,Provoked,USA,N,2.25
2001.06.09,2001,0,AUSTRALIA,Y,3.75
2001.06.03,2001,Unprovoked,USA,N,2.25
2001.05.29,2001,Unprovoked,USA,N,4.5
2001.05.23 ,2001,Unprovoked,USA,N,3.5
2001.05.20,2001,Unprovoked,USA,N,4.0
2001.05.18,2001,Provoked,PHILIPPINES,N,5.0
2001.05.11,2001,0,MADAGASCAR,Y,6.5
2001.05.08,2001,Unprovoked,SOUTH AFRICA,N,4.0
2001.05.04,2001,Unprovoked,AUSTRALIA,N,3.0
2001.05.03,2001,Unprovoked,USA,N,2.5
2001.05.00,2001,Unprovoked,FIJI,Y,6.5
2001.04.28,2001,Unprovoked,USA,N,3.5
2001.04.13.b,2001,Unprovoked,USA,N,3.0
2001.04.13.a,2001,Unprovoked,USA,N,2.5
2001.04.12.e,2001,Unprovoked,USA,N,3.5
2001.04.12.d,2001,Unprovoked,USA,N,3.0
2001.04.12.c,2001,Unprovoked,USA,N,2.5
2001.04.12.b,2001,Unprovoked,USA,N,2.5
2001.04.12.a,2001,Unprovoked,USA,N,2.5
2001.04.11.d,2001,Unprovoked,USA,N,2.5
2001.04.11.c,2001,Unprovoked,USA,N,3.0
2001.04.11.a,2001,Unprovoked,USA,N,3.5
2001.04.10,2001,Unprovoked,USA,N,5.0
2001.04.08.b,2001,Unprovoked,SOUTH AFRICA,N,2.5
2001.04.08.a,2001,Provoked,AUSTRALIA,N,4.5
2001.04.05,2001,Unprovoked,USA,N,2.5
2001.04.02.b,2001,Unprovoked,BRAZIL,N,4.5
2001.04.02.a,2001,Unprovoked,AUSTRALIA,N,2.5
2001.03.23,2001,Unprovoked,USA,N,4.0
2001.03.09,2001,Unprovoked,USA,N,4.5
2001.03.08,2001,0,BRAZIL,N,4.0
2001.03.03,2001,Unprovoked,BRAZIL,Y,4.0
2001.03.00,2001,Sea Disaster,CARIBBEAN SEA,Y,6.5
2001.02.26,2001,Boat,AUSTRALIA,N,6.0
2001.02.11,2001,0,MALAYSIA,Y,5.25
2001.02.04,2001,Unprovoked,AUSTRALIA,N,2.5
2001.01.24.R,2001,Boat,AUSTRALIA,N,3.5
2001.01.24,2001,Unprovoked,CUBA,N,4.0
2001.01.21 ,2001,Boat,AUSTRALIA,N,6.0
2001.01.09,2001,Unprovoked,USA,N,4.5
2001.01.06,2001,Boat,NEW ZEALAND,N,5.0
2000.12.24,2000,Unprovoked,AUSTRALIA,N,4.5
2000.12.12,2000,Unprovoked,FIJI,Y,2.5
2000.12.11,2000,Boat,AUSTRALIA,N,6.0
2000.12.05,2000,Unprovoked,CANADA,N,3.5
2000.12.03,2000,Unprovoked,AUSTRALIA,N,2.5
2000.12.00,2000,Unprovoked,NEW ZEALAND,Y,5.5
2000.11.21,2000,Unprovoked,AUSTRALIA,N,3.5
2000.11.20,2000,0,AUSTRALIA,Y,3.5
2000.11.18,2000,Unprovoked,USA,N,2.5
2000.11.10,2000,0,USA,N,3.5
2000.11.06.b,2000,Unprovoked,AUSTRALIA,N,2.5
2000.11.06.a,2000,Unprovoked,AUSTRALIA,Y,2.5
2000.11.04,2000,Unprovoked,USA,N,2.5
2000.10.29,2000,Boat,AUSTRALIA,N,3.75
2000.10.20,2000,Unprovoked,USA,N,3.0
2000.10.18,2000,Unprovoked,USA,N,2.5
2000.10.14,2000,Unprovoked,USA,N,3.0
2000.10.09,2000,Unprovoked,USA,N,2.8003003003003
2000.10.06.b,2000,Unprovoked,USA,N,2.5
2000.10.06.a,2000,Unprovoked,USA,N,3.0
2000.10.02,2000,Unprovoked,USA,N,3.0
2000.09.29,2000,Unprovoked,USA,N,3.5
2000.09.25,2000,Unprovoked,AUSTRALIA,Y,2.5
2000.09.24,2000,Unprovoked,AUSTRALIA,Y,2.5
2000.09.18,2000,Provoked,AUSTRALIA,N,3.5
2000.09.16.b,2000,Unprovoked,OKINAWA,Y,2.5
2000.09.16.a,2000,Unprovoked,USA,N,7.0
2000.09.15,2000,Unprovoked,USA,N,3.0
2000.09.12,2000,Unprovoked,USA,N,3.0
2000.09.11,2000,Unprovoked,USA,N,2.5
2000.09.10.b,2000,Unprovoked,USA,N,3.5
2000.09.10.a,2000,Unprovoked,SOUTH AFRICA,N,2.5
2000.09.08.c,2000,Unprovoked,TANZANIA,Y,4.5
2000.09.08.b,2000,Unprovoked,USA,N,2.5
2000.09.08.a,2000,Unprovoked,REUNION,N,2.5
2000.09.00.b,2000,Unprovoked,TANZANIA,Y,7.5
2000.08.31,2000,Unprovoked,USA,N,2.5
2000.08.30,2000,Unprovoked,USA,Y,2.5
2000.08.27.R,2000,Provoked,USA,N,4.5
2000.08.21,2000,Unprovoked,USA,N,5.25
2000.08.15,2000,Unprovoked,USA,N,2.5
2000.08.13,2000,Unprovoked,USA,N,2.25
2000.08.12,2000,Unprovoked,USA,N,2.5
2000.08.11,2000,0,USA,N,3.5
2000.08.10,2000,0,USA,Y,4.5
2000.08.00,2000,Unprovoked,TANZANIA,Y,7.5
2000.07.25,2000,Unprovoked,USA,N,4.5
2000.07.22,2000,Unprovoked,USA,N,3.5
2000.07.17,2000,Unprovoked,USA,N,4.5
2000.07.16.b,2000,Unprovoked,USA,N,3.5
2000.07.16.a,2000,Unprovoked,SOUTH AFRICA,N,4.0
2000.07.15.b,2000,Unprovoked,SOUTH AFRICA,N,4.5
2000.07.15.a,2000,Unprovoked,SOUTH AFRICA,N,4.3003003003003
2000.07.12,2000,Unprovoked,TONGA,N,3.5
2000.07.10,2000,Unprovoked,USA,N,3.5
2000.07.09,2000,Unprovoked,USA,N,3.0
2000.07.07,2000,Unprovoked,USA,N,3.5
2000.07.06,2000,Unprovoked,USA,N,2.5
2000.07.04.b,2000,Unprovoked,USA,N,3.0
2000.07.04.a,2000,Unprovoked,USA,N,2.5
2000.07.02.b,2000,Unprovoked,USA,N,2.5
2000.07.02.a,2000,Unprovoked,USA,N,2.5
2000.07.00,2000,Unprovoked,TANZANIA,Y,7.5
2000.06.30,2000,Unprovoked,PAPUA NEW GUINEA,Y,5.5
2000.06.29,2000,Boat,NEW ZEALAND,N,5.0
2000.06.19,2000,Unprovoked,USA,N,3.0
2000.06.13,2000,Boat,USA,N,4.75
2000.06.10,2000,Unprovoked,USA,N,2.5
2000.06.09.b,2000,Unprovoked,USA,N,2.5
2000.06.09.a,2000,Unprovoked,USA,N,2.25
2000.06.02,2000,Unprovoked,USA,N,3.0
2000.06.00,2000,Unprovoked,TANZANIA,Y,6.0
2000.05.13,2000,Sea Disaster,NEW CALEDONIA,Y,5.75
2000.05.09,2000,0,AUSTRALIA,Y,6.5
2000.05.07.b,2000,Unprovoked,PAPUA NEW GUINEA,N,4.5
2000.05.07.a,2000,Unprovoked,PAPUA NEW GUINEA,Y,5.5
2000.04.14,2000,Unprovoked,USA,N,3.0
2000.04.09,2000,Unprovoked,USA,N,4.5
2000.03.31,2000,Unprovoked,USA,N,5.0
2000.03.30,2000,Unprovoked,AUSTRALIA,N,3.0
2000.03.26,2000,Unprovoked,USA,N,2.5
2000.03.24,2000,Unprovoked,USA,N,2.5
2000.03.15,2000,Unprovoked,NEW CALEDONIA,Y,2.8003003003003
2000.03.14,2000,Unprovoked,AUSTRALIA,N,3.5
2000.03.10,2000,Boat,AUSTRALIA,N,5.6006006006006
2000.03.09,2000,Boat,AUSTRALIA,N,6.5
2000.03.03.R,2000,0,NEW ZEALAND,0,4.5
2000.03.02,2000,Unprovoked,AUSTRALIA,N,5.0
2000.03.00,2000,Unprovoked,USA,N,2.5
2000.02.21,2000,Unprovoked,USA,N,3.8003003003003
2000.02.19,2000,Unprovoked,SOUTH AFRICA,N,4.0
2000.02.14,2000,Provoked,ENGLAND,N,4.5
2000.02.03,2000,Unprovoked,NEW ZEALAND,N,4.0
2000.02.01,2000,Unprovoked,AUSTRALIA,N,3.5
2000.01.28.R,2000,Boat,REUNION,Y,6.5
2000.01.05,2000,Unprovoked,THAILAND,Y,4.0
2000.00.00,2000,Boat,USA,N,5.45045045045045
1999.12.31.c,1999,Unprovoked,NEW ZEALAND,N,3.5
1999.12.31.b,1999,Unprovoked,NEW ZEALAND,N,3.5
1999.12.31.a,1999,Unprovoked,NEW ZEALAND,N,3.5
1999.12.26,1999,Unprovoked,BRAZIL,N,3.5
1999.12.14,1999,0,USA,Y,4.25
1999.12.06,1999,0,BRAZIL,N,3.0
1999.12.02,1999,Unprovoked,USA,N,3.5
1999.11.30,1999,Unprovoked,USA,N,3.0
1999.11.23,1999,Unprovoked,USA,N,2.5
1999.11.15,1999,Unprovoked,USA,N,4.5
1999.11.13,1999,Unprovoked,SOUTH AFRICA,N,3.5
1999.11.06,1999,Unprovoked,BRAZIL,N,3.0
1999.11.00.b,1999,Unprovoked,MARSHALL ISLANDS,N,3.5
1999.11.00.a,1999,Unprovoked,MARSHALL ISLANDS,N,3.5
1999.10.30.b,1999,Unprovoked,USA,N,3.0
1999.10.30.a,1999,Unprovoked,USA,N,3.0
1999.10.20,1999,Unprovoked,USA,N,3.8003003003003
1999.10.01,1999,Unprovoked,USA,N,2.5
1999.09.29,1999,Unprovoked,USA,N,3.5
1999.09.24,1999,Boat,ITALY,N,6.0
1999.09.16,1999,Unprovoked,USA,N,3.5
1999.09.10,1999,Unprovoked,USA,N,3.3003003003003
1999.09.05,1999,Unprovoked,USA,N,3.5
1999.09.04.b,1999,Provoked,USA,N,3.25
1999.09.04.a,1999,Unprovoked,USA,N,3.0
1999.08.26,1999,Unprovoked,USA,N,2.5
1999.08.24,1999,Unprovoked,USA,N,5.5
1999.08.23,1999,Unprovoked,MARSHALL ISLANDS,N,2.8003003003003
1999.08.21,1999,Unprovoked,USA,N,3.5
1999.08.16,1999,Unprovoked,USA,N,2.75
1999.08.05.a,1999,Unprovoked,USA,N,2.5
1999.08.05,1999,Unprovoked,BAHAMAS,N,2.5
1999.07.29,1999,Unprovoked,SOUTH AFRICA,N,2.5
1999.07.26,1999,Unprovoked,USA,N,2.5
1999.07.21,1999,Unprovoked,USA,N,2.5
1999.07.15,1999,Unprovoked,SOUTH AFRICA,Y,2.5
1999.07.06,1999,Unprovoked,USA,N,5.0
1999.07.04,1999,Unprovoked,USA,N,2.8003003003003
1999.07.03,1999,Unprovoked,SOUTH AFRICA,N,2.8003003003003
1999.06.19,1999,Unprovoked,USA,N,3.5
1999.06.17,1999,Unprovoked,USA,N,2.5
1999.06.12,1999,Unprovoked,USA,N,3.5
1999.06.09,1999,Unprovoked,USA,N,2.5
1999.05.29,1999,Unprovoked,AUSTRALIA,Y,2.5
1999.05.01,1999,Unprovoked,BRAZIL,N,2.8003003003003
1999.04.22,1999,Unprovoked,MAURITIUS,N,3.5
1999.04.11,1999,Unprovoked,REUNION,Y,2.5
1999.04.01,1999,Unprovoked,USA,N,4.5
1999.03.18.R,1999,Unprovoked,NEW ZEALAND,N,4.5
1999.03.18.b,1999,Provoked,BRAZIL,N,4.75
1999.03.18.a,1999,Unprovoked,USA,Y,3.0
1999.03.14.b,1999,Unprovoked,NEW CALEDONIA,N,3.8003003003003
1999.03.14.a,1999,Provoked,NEW ZEALAND,N,6.0
1999.03.08,1999,Unprovoked,USA,N,4.0
1999.03.05,1999,Unprovoked,USA,N,2.5
1999.02.26.R,1999,Boat,USA,N,5.75
1999.02.23,1999,Unprovoked,AUSTRALIA,N,3.3003003003003
1999.02.03,1999,Unprovoked,USA,N,2.5
1999.01.29,1999,Unprovoked,MAURITIUS,N,4.5
1999.01.13,1999,Unprovoked,SOUTH AFRICA,N,4.5
1999.01.07,1999,Boat,NEW ZEALAND,N,7.0
1999.01.03.R,1999,0,AUSTRALIA,N,3.25
1999.01.03,1999,Unprovoked,REUNION,Y,6.5
1999.00.00.b,1999,Unprovoked,SOUTH AFRICA,N,2.9504504504504503
1999.00.00.a,1999,0,USA,N,6.45045045045045
1998.12.24,1998,Provoked,USA,N,2.75
1998.12.22,1998,Unprovoked,AUSTRALIA,N,3.5
1998.12.20.R,1998,Unprovoked,SOUTH AFRICA,N,2.5
1998.12.18,1998,Unprovoked,SOUTH AFRICA,N,4.5
1998.12.15,1998,Unprovoked,AUSTRALIA,N,4.3003003003003
1998.11.21,1998,Unprovoked,USA,Y,2.5
1998.11.14,1998,Unprovoked,USA,N,2.5
1998.11.11,1998,Unprovoked,USA,N,3.0
1998.11.05,1998,Unprovoked,USA,N,3.5
1998.11.02.b,1998,Provoked,JAPAN,N,3.25
1998.11.02.a,1998,Unprovoked,BRAZIL,Y,2.8003003003003
1998.10.24,1998,Unprovoked,USA,N,3.3003003003003
1998.10.18,1998,Unprovoked,SOUTH AFRICA,N,4.0
1998.10.10,1998,Unprovoked,USA,N,5.0
1998.10.04,1998,Unprovoked,BRAZIL,N,4.5
1998.10.01.b,1998,Unprovoked,REUNION,N,8.0
1998.10.01.a,1998,Unprovoked,USA,N,3.0
1998.09.27,1998,Unprovoked,USA,N,4.0
1998.09.22,1998,Unprovoked,USA,N,3.0
1998.09.16.R,1998,Unprovoked,SOUTH AFRICA,N,4.3003003003003
1998.09.14,1998,Unprovoked,USA,N,3.5
1998.09.00,1998,Provoked,SENEGAL,N,4.0
1998.08.30,1998,Unprovoked,USA,N,3.0
1998.08.27,1998,0,ITALY,N,6.25
1998.08.26,1998,Unprovoked,USA,N,2.5
1998.08.23.R,1998,Unprovoked,USA,N,5.0
1998.08.15,1998,Unprovoked,BAHAMAS,N,2.5
1998.08.13,1998,Unprovoked,USA,N,3.5
1998.08.12,1998,Provoked,SOUTH AFRICA,N,4.5
1998.08.01.b,1998,Unprovoked,SOUTH AFRICA,N,3.5
1998.08.01.a,1998,Unprovoked,SOUTH AFRICA,N,2.5
1998.07.26,1998,Unprovoked,BRAZIL,N,4.0
1998.07.25,1998,Unprovoked,USA,N,3.6006006006006004
1998.07.06.b,1998,Unprovoked,SOUTH AFRICA,N,3.5
1998.07.11,1998,Unprovoked,SOUTH AFRICA,N,2.8003003003003
