,Year,Fatal_Y_N,count
292,1968,N,38
293,1968,Y,6
294,1969,N,26
295,1970,N,29
296,1970,Y,10
297,1971,N,19
298,1971,Y,8
299,1972,N,26
300,1972,Y,7
301,1973,N,17
302,1973,Y,9
303,1974,N,28
304,1974,Y,9
305,1975,N,39
306,1975,Y,8
307,1976,N,30
308,1976,Y,8
309,1977,N,20
310,1977,Y,5
311,1978,N,20
312,1978,Y,4
313,1979,N,16
314,1979,Y,9
315,1980,N,27
316,1980,Y,8
317,1981,N,34
318,1981,Y,8
319,1982,N,29
320,1982,Y,8
321,1983,N,38
322,1983,Y,7
323,1984,N,29
324,1984,Y,10
325,1985,N,31
326,1985,Y,6
327,1986,N,35
328,1986,Y,3
329,1987,N,26
330,1987,Y,9
331,1988,N,45
332,1988,Y,10
333,1989,N,39
334,1989,Y,11
335,1990,N,33
336,1990,Y,4
337,1991,N,29
338,1991,Y,7
339,1992,N,42
340,1992,Y,11
341,1993,N,39
342,1993,Y,16
343,1994,N,40
344,1994,Y,11
345,1995,N,54
346,1995,Y,14
347,1996,N,46
348,1996,Y,11
349,1997,N,42
350,1997,Y,10
351,1998,N,54
352,1998,Y,10
353,1999,N,58
354,1999,Y,6
355,2000,N,73
356,2000,Y,19
357,2001,N,76
358,2001,Y,9
359,2002,N,73
360,2002,Y,13
361,2003,N,72
362,2003,Y,9
363,2004,N,75
364,2004,Y,14
365,2005,N,92
366,2005,Y,9
367,2006,N,86
368,2006,Y,16
369,2007,N,97
370,2007,Y,10
371,2008,N,105
372,2008,Y,13
373,2009,N,94
374,2009,Y,17
375,2010,N,86
376,2010,Y,11
377,2011,N,109
378,2011,Y,17
379,2012,N,101
380,2012,Y,11
381,2013,N,103
382,2013,Y,16
383,2014,N,112
384,2014,Y,10
385,2015,N,121
386,2015,Y,10
387,2016,N,95
388,2016,Y,5
