,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
42,2016,COLUMBIA,Isla Provedencia,Scuba Diving,M,59,N
43,2016,SOUTH AFRICA,Western Cape Province,Spearfishing,M,43,N
44,2016,USA,South Carolina,Floating,M,42,N
45,2016,USA,Florida,Wading,M,,N
46,2016,USA,Hawaii,Surfing,M,,N
47,2016,AUSTRALIA,Western Australia,Spearfishing,M,19,N
48,2016,USA,Texas,Floating in tube,F,6,N
49,2016,USA,North Carolina,Standing,M,19,N
50,2016,USA,South Carolina,Surfing,M,27,N
51,2016,USA,Florida,Swimming,M,64,N
52,2016,AUSTRALIA,Western Australia,Diving,F,60,Y
53,2016,EGYPT,Suez,Swimming,M,23,N
55,2016,NEW CALEDONIA,,Kite surfing,M,,N
56,2016,AUSTRALIA,Western Australia,Surfing,M,29,Y
57,2016,USA,California,Swimming,F,52,N
58,2016,USA,Florida,Swimming,M,13,N
59,2016,USA,Florida,Swimming,F,57,N
60,2016,USA,Florida,Swimming,F,22,N
61,2016,USA,Florida,Swimming,F,11,N
62,2016,USA,Florida,Swimming,M,48,N
63,2016,USA,Florida,Teasing a shark,F,23,N
64,2016,USA,Hawaii,Floating,M,59,N
65,2016,NEW ZEALAND,North Island,Fishing,M,39,N
66,2016,INDONESIA,Bali,Surfing,M,24,N
67,2016,USA,Florida,Surfing,M,15,N
68,2016,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,,N
69,2016,AUSTRALIA,New South Wales,Swimming,M,12,N
