Case Number,Year,Country,Area
2015.10.17.c,2015,MOZAMBIQUE,Inhambane Province
2015.10.17.b,2015,USA,Hawaii
2015.10.17.a,2015,USA,Hawaii
2015.10.13,2015,USA,California
2015.10.09.b,2015,USA,South Carolina
2015.10.09.a,2015,USA,Hawaii
2015.10.08,2015,MOZAMBIQUE,Inhambane Province
2015.10.07,2015,AUSTRALIA,Western Australia
2015.10.05.b,2015,USA,Florida
2015.10.05.a,2015,USA,Texas
2015.10.04,2015,USA,Florida
2015.09.29,2015,USA,Florida
2015.09.26,2015,AUSTRALIA,Queensland
2015.09.24,2015,USA,California
2015.09.20.d,2015,USA,Florida
2015.09.20.c,2015,USA,Hawaii
2015.09.20.b,2015,USA,Florida
2015.09.20.a,2015,USA,Florida
2015.09.18,2015,USA,Florida
2015.09.17,2015,USA,Florida
2015.09.08,2015,AUSTRALIA,New South Wales
2015.09.06,2015,USA,California
2015.09.05,2015,USA,California
2015.09.04,2015,AUSTRALIA,New South Wales
2015.09.03,2015,USA,South Carolina
2015.09.01,2015,THAILAND,Phuket
2015.09.00,2015,FIJI,
2015.08.29.b,2015,USA,California
2015.08.29.a,2015,USA,California
2015.08.22.b,2015,USA,Florida
2015.08.22.a,2015,AUSTRALIA,New South Wales
2015.08.20,2015,USA,South Carolina
2015.08.19,2015,USA,Florida
2015.08.18.b,2015,USA,California
2015.08.18.a,2015,SPAIN,Alicante
2015.08.10,2015,USA,California
2015.07.31,2015,AUSTRALIA,New South Wales
2015.07.26.b,2015,USA,Florida
2015.07.26.a,2015,USA,South Carolina
2015.07.25,2015,AUSTRALIA,Tasmania
2015.07.23.b,2015,USA,California
2015.07.23.a,2015,AUSTRALIA,Victoria
2015.07.22,2015,REUNION,
2015.07.19,2015,SOUTH AFRICA,Eastern Cape Province
2015.07-10,2015,USA,California
2015.07.08,2015,USA,California
2015.07.06,2015,FRENCH POLYNESIA,Bora Bora
2015.07.04.b,2015,BAHAMAS,Grand Bahama Island
2015.07.04.a,2015,USA,North Carolina
2015.07.03,2015,AUSTRALIA,New South Wales
2015.07.02,2015,AUSTRALIA,New South Wales
2015.07.01,2015,USA,North Carolina
2015.06.30.b,2015,AUSTRALIA,New South Wales
2015.06.30.a,2015,USA,South Carolina
2015.06.27.b,2015,USA,North Carolina
2015.06.27.a,2015,SOUTH AFRICA,Western Cape Province
2015.06.26.c,2015,USA,Florida
2015.06.26.b,2015,SOUTH AFRICA,Western Cape Province
2015.06.26.a,2015,USA,South Carolina
2015.06.25.R,2015,AUSTRALIA,Western Australia
2015.06.25,2015,USA,North Carolina
2015.06.24.b,2015,USA,North Carolina
2015.06.24.a,2015,AUSTRALIA,Western Australia
2015.06.23,2015,USA,South Carolina
