Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
2007.08.12,12-Aug-07,2007,USA,Florida,N,Swimming,4869
2007.08.11,11-Aug-07,2007,USA,Florida,N,Walking out of the water after surfing,4868
2007.08.09.b,09-Aug-07,2007,USA,South Carolina,N,Swimming,4867
2007.08.09.a,09-Aug-07,2007,USA,South Carolina,N,Boogie Boarding,4866
2007.08.07,07-Aug-07,2007,USA,Florida,N,Jumped into the water,4865
2007.07.29,29-Jul-07,2007,USA,Florida,N,Surfing,4864
2007.07.28,28-Jul-07,2007,USA,California,N,Surfing,4863
2007.07.22,22-Jul-07,2007,USA,California,N,Surf paddling,4862
2007.07.21,21-Jul-07,2007,USA,California,N,Kayak Fishing,4861
2007.07.19.b,19-Jul-2007.b,2007,USA,Hawaii,N,Snorkeling,4860
2007.07.19.a,19-Jul-2007.a,2007,AUSTRALIA,Territory of Cocos (Keeling) Islands,N,Wading,4859
2007.07.18.b,18-Jul-07,2007,USA,North Carolina,N,Swimming,4858
2007.07.18.a,18-Jul-07,2007,NORWAY,Oslo Fjord,N,Scuba diving,4857
2007.07.17.b,17-Jul-07,2007,USA,California,N,Swimming,4856
2007.07.17.a,17-Jul-07,2007,USA,North Carolina,N,Wading,4855
2007.07.10,10-Jul-07,2007,BAHAMAS,Abaco Islands,N,Spearfishing,4854
2007.07.05,05-Jul-07,2007,USA,Florida,N,Surfing,4853
2007.07.04,04-Jul-07,2007,REUNION,,N,Body boarding,4852
2007.07.00,Jul-07,2007,SENEGAL,,UNKNOWN,Murder,4851
2007.06.30.b,30-Jun-07,2007,USA,Florida,N,Removing hook from shark,4850
2007.06.30.a,30-Jun-07,2007,USA,California,N,Swimming,4849
2007.06.25,25-Jun-07,2007,USA,Florida,N,Surfing,4848
2007.06.24,24-Jun-07,2007,USA,Hawaii,N,Surfing,4847
2007.06.17,17-Jun-07,2007,USA,Florida,N,Surfing,4846
2007.06.12,12-Jun-07,2007,USA,Florida,N,Swimming,4845
2007.06.05,05-Jun-07,2007,AUSTRALIA,New South Wales,N,Surfing,4844
2007.05.26,26-May-07,2007,USA,South Carolina,N,Wading,4843
2007.05.24,24-May-07,2007,USA,Virginia,N,Reviving a sedated shark,4842
2007.05.17.R,Reported 17-May-2007,2007,ENGLAND,Kent,N,Fishing,4841
2007.05.16,16-May-07,2007,AUSTRALIA,Western Australia,N,Wading,4840
2007.05.12,12-May-07,2007,AUSTRALIA,Victoria,N,Surfing,4839
2007.05.10,10-May-07,2007,USA,Florida,N,Surfing,4838
2007.05.09.R,Reported 09-May-2007,2007,SEYCHELLES,Bird Island,N,Snorkeling,4837
2007.05.08,08-May-07,2007,AUSTRALIA,New South Wales,Y,Swimming,4836
2007.05.07.b,07-May-07,2007,USA,Hawaii,N,Snorkeling,4835
2007.05.07.a,07-May-07,2007,USA,Florida,N,Swimming,4834
2007.05.04,04-May-07,2007,TURKS & CAICOS,Providenciales,Y,Sea Disaster,4833
2007.05.00,May-07,2007,BAHAMAS,Bimini Islands,N,Shark tagging,4832
2007.04.26,26-Apr-07,2007,AUSTRALIA,Queensland,N,Swimming / jumping off a jetty,4831
2007.04.22,22-Apr-07,2007,USA,Florida,N,Body boarding,4830
2007.04.20,20-Apr-07,2007,USA,Florida,N,Surfing,4829
2007.04.13.R,Reported      13-Apr-2007,2007,USA,Florida,N,Fishing,4828
2007.04.09,09-Apr-07,2007,NEW CALEDONIA,South Province,N,Surfing,4827
2007.04.01,01-Apr-07,2007,USA,Florida,N,Playing on a sandbar,4826
2007.03.31.b,31-Mar-07,2007,USA,Florida,N,Surfing,4825
2007.03.31.a,31-Mar-07,2007,USA,Florida,N,,4824
2007.03.22,22-Mar-07,2007,YEMEN,Muhafazat Hadramawt,Y,Murder,4823
2007.03.21,21-Mar-07,2007,USA,Florida,N,Surfing,4822
2007.03.20,20-Mar-07,2007,AUSTRALIA,New South Wales,N,Surfing,4821
2007.03.14.R,Reported 14-Mar-2007,2007,USA,Florida,N,Shark fishing,4820
2007.03.12,12-Mar-07,2007,AUSTRALIA,Queensland,N,Swimming,4819
2007.03.11,11-Mar-07,2007,USA,Florida,N,Surfing,4818
2007.03.05.R,Reported 05-Mar-2007,2007,NEW ZEALAND,Cook islans,N,Spearfishing,4817
2007.02.04,04-Feb-07,2007,COSTA RICA,,Y,Swimming,4816
2007.02.03,03-Feb-07,2007,AUSTRALIA,New South Wales,N,Boogie Boarding,4815
2007.02.00,Feb-07,2007,NEW CALEDONIA,Loyalty Islands,N,Spearfishing,4814
2007.01.25.b,25-Jan-07,2007,NEW CALEDONIA,North Province,N,Spearfishing (free diving),4813
2007.01.25.a,25-Jan-07,2007,USA,Florida,N,Shrimping,4812
2007.01.23,23-Jan-07,2007,AUSTRALIA,New South Wales,N,Diving,4811
2007.01.19,19-Jan-07,2007,AUSTRALIA,New South Wales,Y,Swimming,4810
2007.01.14,14-Jan-07,2007,SOUTH AFRICA,Eastern Cape Province,Y,Swimming / Body Surfing,4809
2007.01.09,09-Jan-07,2007,AUSTRALIA,New South Wales,N,Surfing,4808
2007.01.07,07-Jan-07,2007,USA,New York,N,Surfing,4807
2007.01.05,01-Jan-07,2007,USA,Hawaii,N,Surfing,4806
2006.12.18,18-Dec-06,2006,AUSTRALIA,Victoria,N,Surfing,4805
2006.12.11,11-Dec-06,2006,NEW ZEALAND,North Island,N,Surfing,4804
2006.12.10,10-Dec-06,2006,USA,California,N,Surfing,4803
2006.12.06,06-Dec-06,2006,SOUTH AFRICA,KwaZulu-Natal,N,Fishing,4802
2006.12.02,02-Dec-06,2006,AUSTRALIA,Western Australia,N,Body boarding,4801
2006.11.25,25-Nov-06,2006,PHILIPPINES,Surigao del Norte,Y,Sea Disaster,4800
2006.11.11,11-Nov-06,2006,USA,Hawaii,N,Swimming,4799
2006.11.09,09-Nov-06,2006,SOUTH AFRICA,Eastern Cape Province,N,Canoeing,4798
2006.10.31,31-Oct-06,2006,USA,Oregon,N,Surfing,4797
2006.10.16,16-Oct-06,2006,USA,Florida,N,Fishing,4796
2006.10.10,10-Oct-06,2006,USA,Florida,N,Surfing,4795
2006.10.07,07-Oct-06,2006,USA,Texas,N,Surfing,4794
2006.10.05,05-Oct-06,2006,USA,Florida,N,Playing soccer in the water,4793
2006.10.00.b,Oct-06,2006,BAHAMAS,New Providence Island,N,Free diving / modeling,4792
2006.10.00.a,Oct-06,2006,GULF OF ADEN,Between Somalia & Yemen,Y,Murder,4791
2006.09.30,30-Sep-06,2006,SOUTH AFRICA,Western Cape Province,N,Spearfishing,4790
2006.09.29,29-Sep-06,2006,USA,Florida,N,Surfing,4789
2006.09.18.R,Reported 18-Sep-2006,2006,USA,Florida,N,Diving / Kissing the shark,4788
2006.09.16,16-Sep-06,2006,USA,North Carolina,N,Surfing,4787
2006.09.14,14-Sep-06,2006,USA,Florida,N,Swimming,4786
2006.09.11,11-Sep-06,2006,USA,Florida,N,Surfing,4785
2006.09.04,04-Sep-06,2006,AUSTRALIA,Queensland,Y,Diving,4784
2006.09.03.b,03-Sep-06,2006,BRAZIL,,Y,,4783
2006.09.03.a,03-Sep-06,2006,USA,Florida,N,Standing,4782
2006.09.02,02-Sep-06,2006,USA,Florida,N,Swimming,4781
2006.09.02,02-Sep-06,2006,SOUTH AFRICA,Western Cape Province,N,Surfing,4780
2006.08.29.b,29-Aug-06,2006,USA,Oregon,N,Surfing,4779
2006.08.29.a,29-Aug-06,2006,AUSTRALIA,South Australia,N,Surfing,4778
2006.08.27,27-Aug-06,2006,REUNION,Saint-Gilles-les-Bains,N,Body boarding,4777
2006.08.22.b,22-Aug-06,2006,BRAZIL,Pernambuco,Y,,4776
2006.08.22.a,22-Aug-06,2006,BELIZE,Ambergris Caye,Y,Spearfishing,4775
2006.08.20.b,20-Aug-06,2006,ITALY,,Y,Sea Disaster,4774
2006.08.20.a,20-Aug-06,2006,REUNION,Saint-Pierre,Y,Surfing,4773
2006.08.15,15-Aug-06,2006,SOUTH AFRICA,Western Cape Province,N,Surfing,4772
2006.08.13,13-Aug-06,2006,SOUTH AFRICA,Western Cape Province,N,Lifesaving drill,4771
2006.08.00.b,Aug-06,2006,USA,North Carolina,N,Wading,4770
2006.08.00.a,Early Aug-2006,2006,REUNION,,N,Spearfishing,4769
2006.07.31.R,31-Jul-06,2006,USA,Kentucky,N,Touching sharks,4768
2006.07.31.a,31-Jul-06,2006,USA,Oregon,N,Surfing,4767
2006.07.29.b,29-Jul-06,2006,USA,California,N,Boogie Boarding,4766
2006.07.29.a,29-Jul-06,2006,USA,Florida,N,Surfing,4765
2006.07.28,28-Jul-06,2006,SOUTH AFRICA,Western Cape Province,N,Surf-skiing,4764
2006.07.25,25-Jul-06,2006,USA,Florida,N,Surfing,4763
2006.07.23,23-Jul-06,2006,USA,Texas,N,Surf fishing,4762
2006.07.17.R,Reported 17-Jul-2006,2006,AUSTRALIA,Torres Strait,N,,4761
2006.07.17,17-Jul-06,2006,USA,South Carolina,N,Standing,4760
2006.07.13,13-Jul-06,2006,SPAIN,Alicante,N,Swimming,4759
2006.07.12,12-Jul-06,2006,USA,South Carolina,N,Swimming,4758
2006.07.10,10-Jul-06,2006,BRAZIL,Pernambuco,Y,,4757
2006.07.09.b,09-Jul-06,2006,USA,Florida,N,Wading,4756
2006.07.09.a,09-Jul-2006.,2006,USA,Florida,N,Walking,4755
2006.07.08.b,08-Jul-06,2006,USA,South Carolina,N,Body boarding,4754
2006.07.08.a,08-Jul-06,2006,USA,Florida,N,Swimming,4753
2006.06.30.b,Jul-06,2006,USA,Florida,N,Spearfishing,4752
2006.06.30.a,Jul-06,2006,USA,Florida,N,Spearfishing,4751
2006.06.27,27-Jun-06,2006,USA,Florida,N,Body boarding,4750
2006.06.26,26-Jun-06,2006,USA,Florida,N,Fishing,4749
2006.06.24,24-Jun-06,2006,BAHAMAS,Andros Islands,N,Spearfishing,4748
2006.06.20,20-Jun-06,2006,USA,Florida,N,Surfing,4747
2006.06.18,18-Jun-06,2006,BRAZIL,Pernambuco,Y,Body boarding,4746
2006.06.17,17-Jun-06,2006,USA,California,N,Scuba diving,4745
2006.06.15,15-Jun-06,2006,USA,Florida,N,Surfing,4744
2006.06.07,07-Jun-06,2006,USA,South Carolina,N,Playing,4743
2006.06.05,05-Jun-06,2006,AUSTRALIA,South Australia,N,Surfing,4742
2006.05.31,31-May-06,2006,USA,Hawaii,N,Spearfishing,4741
2006.05.28,28-May-06,2006,USA,Hawaii,N,Tagging sharks,4740
2006.05.27,27-May-06,2006,USA,Hawaii,N,Surfing,4739
2006.05.24,24-May-06,2006,USA,Hawaii,N,Spearfishing,4738
2006.05.21,21-May-06,2006,BRAZIL,Pernambuco,N,Surfing,4737
2006.05.19,19-May-06,2006,USA,Guam,N,Scuba diving,4736
2006.05.10,05-May-06,2006,USA,Florida,N,,4735
2006.05.04,04-May-06,2006,USA,Florida,N,Swimming,4734
2006.05.02,02-May-06,2006,AUSTRALIA,Queensland,N,Snorkeling,4733
2006.04.23.R,Reported      23-Apr-2006,2006,USA,Florida,Y,,4732
2006.04.21,21-Apr-06,2006,USA,Florida,N,Surfing,4731
2006.04.19,19-Apr-06,2006,USA,Florida,N,Standing,4730
2006.04.13,13-Apr-06,2006,USA,Florida,N,Fishing,4729
2006.04.11,11-Apr-06,2006,AUSTRALIA,New South Wales,N,Surfing,4728
2006.04.09.b,09-Apr-06,2006,SOUTH AFRICA,Eastern Cape Province,N,Body boarding,4727
2006.04.09.a,09-Apr-06,2006,BRAZIL,Pernambuco,N,Swimming,4726
2006.04.03,03-Apr-06,2006,USA,Florida,N,Wading,4725
2006.03.28.R,Reported  28-Mar-2006,2006,Sierra Leone,Western Area,Y,Fishing,4724
2006.03.23,23-Mar-06,2006,USA,Hawaii,N,Surfing,4723
2006.03.22,22-Mar-06,2006,SOUTH AFRICA,Eastern Cape Province,Y,Swimming,4722
2006.03.19,18-Mar-06,2006,FIJI,Vitu Levu,N,Surfing,4721
2006.03.15,15-Mar-06,2006,AUSTRALIA,New South Wales,N,Surfing,4720
2006.02.27,27-Feb-06,2006,USA,Hawaii,N,Standing,4719
2006.02.23,23-Feb-06,2006,USA,Hawaii,Y,Free diving,4718
2006.02.13,13-Feb-06,2006,AUSTRALIA,Queensland,N,Wading,4717
2006.02.12.b,12-Feb-06,2006,AUSTRALIA,Queensland,N,Swimming,4716
2006.02.12.a,12-Feb-06,2006,AUSTRALIA,South Australia,N,Fishing,4715
2006.02.08,08-Feb-06,2006,SOUTH AFRICA,Eastern Cape Province,N,Surfing,4714
2006.02.01.b,01-Feb-06,2006,TONGA,Vava'u,Y,Swimming,4713
2006.02.01.a,01-Feb-06,2006,USA,Hawaii,N,Kayaking,4712
2006.01.28.R,Reported 28-Jan-2006,2006,ATLANTIC OCEAN,300 miles from Antigua,N,Competing in the Woodvale Atlantic Rowing Race,4711
2006.01.25,25-Jan-06,2006,SOUTH AFRICA,Eastern Cape Province,N,Spearfishing,4710
2006.01.23,23-Jan-06,2006,ATLANTIC OCEAN,800 miles from land,N,Competing in the Woodvale Atlantic Rowing Race,4709
2006.01.18,18-Jan-06,2006,USA,California,N,Night Surfing,4708
2006.01.15,15-Jan-06,2006,AUSTRALIA,Western Australia,N,Scuba diving,4707
2006.01.11,11-Jan-06,2006,BAHAMAS,Grand Bahama Island,N,Diving for lobsters,4706
2006.01.07,07-Jan-06,2006,AUSTRALIA,Queensland,Y,Swimming,4705
2006.01.04,04-Jan-06,2006,USA,Florida,N,Surfing,4704
2006.01.01,01-Jan-06,2006,SOUTH AFRICA,Western Cape Province,N,Diving for crayfish,4703
2005.12.24,24-Dec-05,2005,USA,Oregon,N,Surfing,4702
2005.12.21,21-Dec-05,2005,USA,Hawaii,N,Swimming,4701
2005.12.20,20-Dec-05,2005,ATLANTIC OCEAN,600 nm west of the Canary Islands,N,Competing in the Woodvale Atlantic Rowing Race,4700
2005.12.11,11-Dec-05,2005,AUSTRALIA,Queensland,N,Spearfishing,4699
2005.12.05.R,Reported 06-Dec-2005,2005,AUSTRALIA,South Australia,N,Fishing,4698
2005.11.29.R,Reported 29-Nov-2005,2005,USA,Florida,N,Surfing,4697
2005.11.27,27-Nov-05,2005,USA,Florida,N,Surfing,4696
2005.11.25.c,25-Nov-05,2005,AUSTRALIA,Victoria,N,Fishing,4695
2005.11.25.b,25-Nov-05,2005,AUSTRALIA,Victoria,N,Surfing,4694
2005.11.25.a,25-Nov-05,2005,SOUTH AFRICA,Eastern Cape Province,N,Surfing,4693
2005.11.24,24-Nov-2005-,2005,NEW CALEDONIA,Loyalty Islands,N,Spearfishing,4692
2005.11.21,21-Nov-05,2005,USA,Florida,N,Surfing,4691
2005.11.20,20-Nov-05,2005,USA,Florida,N,Surfing,4690
2005.11.16.R,Reported  16-Nov-2005,2005,NEW CALEDONIA,,N,,4689
2005.11.15,15-Nov-05,2005,SOUTH AFRICA,Eastern Cape Province,N,Fishing for sharks,4688
2005.11.12,12-Nov-05,2005,USA,Florida,N,Surfing,4687
2005.11.02.b,02-Nov-05,2005,USA,California,N,Surfing,4686
2005.11.02.a,02-Nov-05,2005,USA,California,N,Surfing,4685
2005.10.29,29-Oct-05,2005,USA,Florida,N,Wading,4684
2005.10.25,25-Oct-05,2005,ST. MAARTIN,Simpson Bay,N,Standing,4683
2005.10.22,22-Oct-05,2005,SOUTH AFRICA,Western Cape Province,N,Standing / Surfing,4682
2005.10.21,21-Oct-05,2005,USA,California,N,Surfing,4681
2005.10.19,19-Oct-05,2005,USA,California,N,Surfing,4680
2005.10.15,15-Oct-05,2005,USA,Florida,N,Wading,4679
2005.10.13,13-Oct-05,2005,USA,Hawaii,N,Surfing,4678
2005.10.11,11-Oct-05,2005,GRAND CAYMAN,East Wall,N,Scuba diving,4677
2005.10.06,06-Oct-05,2005,USA,Florida,N,Treading water/ Surfing,4676
2005.10.03,03-Oct-05,2005,BAHAMAS,Abaco Islands,N,Diving,4675
2005.10.01,01-Oct-05,2005,SOUTH AFRICA,Western Cape Province,N,Surf-skiing,4674
2005.09.27.R,Reported      27-Sep-2005,2005,AUSTRALIA,New South Wales,N,Surfing,4673
2005.09.24,24-Sep-05,2005,AUSTRALIA,South Australia,N,Surfing,4672
2005.09.23,23-Sep-05,2005,AUSTRALIA,Western Australia,N,Surfing,4671
2005.09.22,22-Sep-05,2005,USA,Florida,N,Surfing,4670
2005.09.20,20-Sep-05,2005,USA,South Carolina,N,Body surfing,4669
2005.09.11,11-Sep-05,2005,USA,South Carolina,Y,Surfing,4668
2005.09.07,07-Sep-05,2005,AUSTRALIA,New South Wales,N,Standing,4667
2005.09.05,05-Sep-05,2005,USA,North Carolina,N,Wading,4666
2005.09.04.a,04-Sep-05,2005,AUSTRALIA,South Australia,N,Surfing,4665
2005.09.02.b,02-Sep-05,2005,USA,Florida,N,Standing / Surfing,4664
2005.09.02.a,02-Sep-05,2005,THAILAND,,Y,Removing shark from net,4663
2005.08.24.b,24-Aug-05,2005,AUSTRALIA,South Australia,Y,Scuba diving,4662
2005.08.24.a,24-Aug-05,2005,USA,California,N,Surfing,4661
2005.08.22,22-Aug-05,2005,USA,South Carolina,N,"Boogie boarding, kicked at object in the water",4660
2005.08.21,21-Aug-05,2005,USA,South Carolina,N,Swimming,4659
2005.08.19,19-Aug-05,2005,USA,Texas,N,Walking,4658
2005.08.14,14-Aug-05,2005,SOUTH AFRICA,Western Cape Province,N,,4657
2005.08.12,12-Aug-05,2005,USA,North Carolina,N,Surfing,4656
2005.08.06,06-Aug-05,2005,USA,South Carolina,N,Swimming,4655
2005.08.01,01-Aug-05,2005,Seychelles,Inner Islands,Y,Fishing,4654
2005.07.27,27-Jul-05,2005,USA,Florida,N,Wading,4653
2005.07.23,23-Jul-05,2005,USA,Florida,N,Surfing,4652
2005.07.22,22-Jul-05,2005,USA,Florida,N,Surfing,4651
2005.07.17.b,17-Jul-05,2005,LIBERIA,,Y,Swimming,4650
2005.07.17.a,17-Jul-05,2005,CHINA,Shanghai,N,Scuba diving in aquarium tank,4649
2005.07.15.R,Reported      15-Jul-2005,2005,AUSTRALIA,,N,,4648
2005.07.15,15-Jul-05,2005,USA,North Carolina,N,Swimming,4647
2005.07.13,13-Jul-05,2005,USA,Texas,N,Holding onto an inflatable boat,4646
2005.07.01,01-Jul-05,2005,USA,Florida,N,Standing,4645
2005.06.27,27-Jun-05,2005,USA,Florida,N,Fishing,4644
2005.06.25,25-Jun-05,2005,USA,Florida,Y,Swimming with boogie board,4643
2005.06.22,22-Jun-05,2005,VANUATU,Malampa Province,Y,Swimming,4642
2005.06.21,20-Jun-05,2005,MEXICO ,Baja California,N,Surfing,4641
2005.06.18,18-Jun-05,2005,USA,Hawaii,N,Swimming,4640
2005.06.16,16-Jun-05,2005,USA,Florida,N,Swimming,4639
2005.06.13,13-Jun-05,2005,SOUTH KOREA,South Ch'ungch'ong Province,N,Diving,4638
2005.06.07,07-Jun-05,2005,USA,South Carolina,N,Boogie boarding,4637
2005.06.05,05-Jun-05,2005,USA,New Jersey,N,Surfing,4636
2005.06.04,04-Jun-05,2005,SOUTH AFRICA,Western Cape Province,Y,Spearfishing (Free diving),4635
2005.06.02,02-Jun-05,2005,USA,Texas,N,Wading,4634
2005.05.28,28-May-05,2005,USA,Florida,N,Swimming,4633
2005.05.27,27-May-05,2005,USA,Florida,N,Crouching in 2' of water,4632
2005.05.25,25-May-05,2005,SOUTH AFRICA,Eastern Cape Province,N,Surfing,4631
2005.05.15,15-May-05,2005,AUSTRALIA,Queensland,N,Spearfishing,4630
2005.05.14,14-May-05,2005,USA,Hawaii,N,Kayaking,4629
2005.05.03,03-May-05,2005,MADAGASCAR,,N,Fishing,4628
2005.05.02.R,02-May-05,2005,USA,South Carolina,N,Sea Disaster,4627
2005.05.02,02-May-05,2005,USA,Hawaii,N,Surfing,4626
2005.04.25,25-Apr-05,2005,AUSTRALIA,New South Wales,N,Fishing,4625
2005.04.17.R,17-Apr-05,2005,AUSTRALIA,New South Wales,N,,4624
2005.04.16.b,16-Apr-05,2005,AUSTRALIA,Northern Territory,N,Spearfishing,4623
2005.04.16.a,16-Apr-05,2005,AUSTRALIA,New South Wales,N,Surfing,4622
2005.04.13,13-Apr-05,2005,USA,Florida,N,Wading,4621
2005.04.09,09-Apr-05,2005,USA,Florida,N,Surfing,4620
2005.04.07,07-Apr-05,2005,USA,Texas,N,Surfing,4619
2005.04.06,06-Apr-05,2005,USA,Florida,N,,4618
2005.04.06,06-Apr-05,2005,HONDURAS,Bay Islands,N,SCUBA Diving,4617
2005.03.28,28-Mar-05,2005,SOUTH AFRICA,Western Cape Province,N,Surfing,4616
2005.03.27.R,Reported    27-Mar-2005,2005,AUSTRALIA,New South Wales,N,Surfing,4615
2005.03.25,25-Mar-05,2005,VENEZUELA,,N,Surfing,4614
2005.03.19,19-Mar-05,2005,AUSTRALIA,Western Australia,Y,Snorkeling,4613
2005.03.12,12-Mar-05,2005,USA,New Mexico,N,Diving in aquarium display tank,4612
2005.03.10,10-Mar-05,2005,SOUTH AFRICA,KwaZulu-Natal,N,,4611
2005.03.09,09-Mar-05,2005,NEW ZEALAND,North Island,N,Fishing,4610
2005.03.05,05-Mar-05,2005,SOLOMON ISLANDS,Santa Isabel Province,N,Diving,4609
2005.02.26,26-Feb-05,2005,AUSTRALIA,Queensland,N,Swimming,4608
2005.02.22,22-Feb-05,2005,USA,Florida,N,Spearfishing,4607
2005.02.16,16-Feb-05,2005,USA,Hawaii,N,Surfing,4606
2005.02.13,13-Feb-05,2005,USA,Florida,N,Spearfishing,4605
2005.02.04,04-Feb-05,2005,BRAZIL,Bahia,N,Surfing,4604
2005.01.20,20-Jan-05,2005,CUBA,Santiago de Cuba Province,N,Swimming,4603
2005.01.19,19-Jan-05,2005,AUSTRALIA,Victoria,N,Spearfishing,4602
2005.01.14,14-Jan-05,2005,AUSTRALIA,Victoria,N,Attempting to drive shark away from sailing regatta,4601
2005.01.08,08-Jan-05,2005,NEW ZEALAND,North Island,N,Fishing from a kayak,4600
2004.12.26,26-Dec-04,2004,SRI LANKA,Eastern Province,N,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",4599
2004.12.16,16-Dec-04,2004,AUSTRALIA,South Australia,Y,Scurfing (surfboard being  towed behind a boat),4598
2004.12.11,11-Dec-04,2004,AUSTRALIA,Queensland,Y,Spearfishing,4597
2004.11.27,27-Nov-04,2004,SOUTH AFRICA,Eastern Cape Province,N,Surfing,4596
2004.11.26,26-Nov-04,2004,SOUTH AFRICA,Eastern Cape Province,N,Playing,4595
2004.11.15,15-Nov-04,2004,SOUTH AFRICA,Western Cape Province,Y,Swimming,4594
2004.11.11.b,11-Nov-04,2004,USA,California,N,Surfing,4593
2004.11.11.a,11-Nov-04,2004,VANUATU,Malampa Province,N,Snorkeling,4592
2004.11.00,Nov-04,2004,NEW CALEDONIA,North Province,N,Diving,4591
2004.10.31,31-Oct-04,2004,CUBA,Camaguey Province,N,Diving,4590
2004.10.30.x,30-Oct-04,2004,NEW ZEALAND,North Island,N,,4589
2004.10.30.a,30-Oct-04,2004,SOUTH AFRICA,Western Cape Province,N,Chumming for white sharks,4588
2004.10.21,21-Oct-04,2004,AUSTRALIA,New South Wales,N,Surfing,4587
2004.10.10,10-Oct-04,2004,USA,California,N,Surfing,4586
2004.10.09.b,09-Oct-04,2004,USA,Hawaii,N,Spearfishing,4585
2004.10.09.a,09-Oct-04,2004,SOUTH AFRICA,Eastern Cape Province,N,Surfing,4584
2004.10.06,06-Oct-04,2004,REUNION,Conservatória District,N,Body boarding,4583
2004.10.02,02-Oct-04,2004,USA,California,N,Surfing,4582
2004.10.01,01-Oct-04,2004,USA,California,N,Surfing,4581
2004.09.25,25-Sep-04,2004,AUSTRALIA,Queensland,N,Spearfishing/ filming,4580
2004.09.20,20-Sep-04,2004,USA,Oregon,N,Surfing,4579
2004.09.10,10-Sep-04,2004,USA,Texas,N,Surf fishing,4578
2004.09.08,08-Sep-04,2004,BRAZIL,Pernambuco,Y,Swimming,4577
2004.09.04,04-Sep-04,2004,USA,South Carolina ,N,Jumping,4576
2004.08.29,29-Aug-04,2004,USA,Florida,N,Walking,4575
2004.08.21,21-Aug-04,2004,BRAZIL,Pernambuco,N,Swimming,4574
2004.08.20,20-Aug-04,2004,USA,California,N,Surfing,4573
2004.08.15,15-Aug-04,2004,USA,California,Y,Diving,4572
2004.08.06,06-Aug-04,2004,USA,Florida,N,Swimming,4571
2004.08.03,03-Aug-04,2004,AUSTRALIA,New South Wales,N,Spearfishing,4570
2004.08.00,Aug-04,2004,SOUTH AFRICA,KwaZulu-Natal,N,Fishing,4569
2004.07.31,31-Jul-04,2004,USA,Florida,N,Surfing,4568
2004.07.30,30-Jul-04,2004,RUSSIA,Kuril Islands in the Pacific,N,Diving & fishing with net,4567
2004.07.28,28-Jul-04,2004,USA,North Carolina,N,Surfing,4566
2004.07.27.b,27-Jul-04,2004,USA,North Carolina,N,Swimming,4565
2004.07.27.a,27-Jul-04,2004,USA,Texas,N,Swimming,4564
2004.07.25,25-Jul-04,2004,USA,Texas,N,Wading / fishing & carrying a bag of fish,4563
2004.07.19.R," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,AUSTRALIA,Western Australia,N,Fishing,4562
2004.07.15,15-Jul-04,2004,JAPAN,Wakayama Prefecture,N,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,4561
2004.07.10,10-Jul-04,2004,AUSTRALIA,Western Australia,Y,Surfing,4560
2004.07.02.b,02-Jul-04,2004,EGYPT,Sinai Peninsula,N,Snorkeling,4559
2004.07.02.a,02-Jul-04,2004,USA,Alabama,N,Wading,4558
2004.06.26.b,26-Jun-04,2004,USA,California,N,Surfing,4557
2004.06.26.a,26-Jun-04,2004,AUSTRALIA,Western Australia,N,Crayfishing,4556
2004.06.14,14-Jun-04,2004,USA,Florida,N,In water with diving seabirds,4555
2004.06.10.b,10-Jun-04,2004,AUSTRALIA,Western Australia,N,Body boarding,4554
2004.06.10.a,10-Jun-04,2004,USA,Florida,N,Swimming,4553
2004.06.02,02-Jun-04,2004,SOUTH AFRICA,Western Cape Province,Y,"Swimming, poaching perlemoen",4552
2004.05.29,29-May-04,2004,USA,Texas,N,Wading,4551
2004.05.23.b,23-May-04,2004,BRAZIL,Pernambuco,N,Swimming,4550
2004.05.28,28-May-04,2004,USA,California,N,Surfing,4549
2004.05.23.a,23-May-04,2004,USA,Florida,N,Boogie-boarding / swimming,4548
2004.05.22.c,22-May-04,2004,USA,Florida,N,Swimming,4547
2004.05.22.b,22-May-04,2004,USA,Florida,N,,4546
2004.05.22.a,22-May-04,2004,BRAZIL,Pernambuco,N,Wading,4545
2004.05.18,18-May-04,2004,BAHAMAS,Abaco Islands,N,Free diving & spearfishing,4544
2004.05.04,04-May-04,2004,USA,Texas,N,Tandem surfing,4543
2004.05.01,01-May-04,2004,BRAZIL,Pernambuco,Y,Swimming,4542
2004.04.26,26-Apr-04,2004,AUSTRALIA,New South Wales,N,Diving,4541
2004.04.22,22-Apr-04,2004,NEW ZEALAND,North Island,N,Fishing,4540
2004.04.13.b,13-Apr-04,2004, TONGA,Nuku'alofa,Y,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,4539
2004.04.13.a,13-Apr-04,2004, TONGA,Nuku'alofa,Y,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,4538
2004.04.07,07-Apr-04,2004,USA,Hawaii,Y,Surfing,4537
2004.04.05,05-Apr-04,2004,SOUTH AFRICA,Western Cape Province,N,Surfing,4536
2004.04.04,04-Apr-04,2004,USA,Hawaii,Y,Surfing,4535
