,Case Number,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,pdf,href,original order
295,2014.08.09.R,09-Aug-14,2014,Unprovoked,BAHAMAS,,,Spearfishing,Puncture wounds to right foot and ankle,N,Unknown,"2014.08.09.R-Hindley, pdf","http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09.R-Hindley, pdf",5697
296,2014.08.09,09-Aug-14,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,Puncture wounds to right foot & ankle,N,13h30,2014.08.09-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09-CocoaBeach.pdf,5696
297,2014.08.08,08-Aug-14,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,Minor lacerations to left heel and big toe,N,Afternoon,2014.08.08-Trentacosta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-Trentacosta.pdf,5695
298,2014.08.06,06-Aug-14,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,Lacerations to right leg & foot,N,14h00,2014.08.14-Harris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.14-Harris.pdf,5694
299,2014.08.05,05-Aug-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,Lacerations to  foot,N,Unknown,2014.08.05-Tulip.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.05-Tulip.pdf,5693
300,2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,Foot bitten,N,Unknown,2014.08.08-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-CocoaBeach.pdf,5692
301,2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,Laceration to ankle,N,13h00,2014.08.02-Sanhueza.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.02-Sanhueza.pdf,5691
302,2014.08.01,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,Lower limbs & thigh bitten,N,14h00,2014.08.01-Smithers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.01-Smithers.pdf,5690
303,2014.08.00,Aug-14,2014,Invalid,,,,Sea disaster,Shark involvement prior to death not confirmed,Y,Unknown,2014.08.00-Cuban-refugees.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.00-Cuban-refugees.pdf,5689
304,2014.07.27,27-Jul-14,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,Left foot bitten,N,Unknown,2014.07.27-SunsetBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.27-SunsetBeach.pdf,5688
305,2014.07.22,22-Jul-14,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,Lacerations to right wrist & calf,N,15h00,2014.07.22-Rintz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.22-Rintz.pdf,5687
306,2014.07.21,21-Jul-14,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,Lacerations to right knee,N,Early afternoon,2014.07.21-Crick.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.21-Crick.pdf,5686
307,2014.07.20,20-Jul-14,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,Minor injury,N,Unknown,2014.07.20-Tenerife.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.20-Tenerife.pdf,5685
308,2014.07.16,16-Jul-14,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,Lacerations to left foot,N,17h50,2014.07.16-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.16-Maui.pdf,5684
309,2014.07.14,14-Jul-14,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,Puncture wounds to foot,N,14h30,2014.07.14-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.14-Moore.pdf,5683
310,2014.07.13,13-Jul-14,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,"Missing after a dive, shark involvement considered probable, but not confirmed",Y,Night,2014.07.13-Petty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.13-Petty.pdf,5682
311,2014.07.12,12-Jul-14,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,Lacerations to hand and wrist,N,Unknown,2014.07.12-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.12-Jewell.pdf,5681
312,2014.07.09,09-Jul-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to foot,N,14h00,2014.07.09-Durham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.09-Durham.pdf,5680
313,2014.07.05.b,05-Jul-14,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,09h30,2014.07.05.b-Robles.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.b-Robles.pdf,5679
314,2014.07.05.a,05-Jul-14,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,"No injury, surboard bitten",N,07h00 - 08h00,2014.07.05.a-Surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.a-Surfer.pdf,5678
315,2014.07.03,03-Jul-14,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,Right hand bitten,N,18h15-18h30,2014.07.03-Fairbourne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.03-Fairbourne.pdf,5677
316,2014.06.27.R,Reported 27-Jun-2014,2014,Boat,ST. MARTIN,,20 miles from shore,Transatlantic Rowing,His boat was holed by a shark,N,Unknown,2014.06.27-Mooney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.27-Mooney.pdf,5676
317,2014.06.25,25-Jun-14,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,No injury but shark took his pole spear,N,13h00,2014.06.25-Adams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.25-Adams.pdf,5675
318,2014.06.18.b,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,"No injury, surfboard 'attacked'",N,17h01,2014.06.18.b-Longhurst.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.b-Longhurst.pdf,5674
319,2014.06.18.a,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,Lacerations to knee,N,17h00,2014.06.18.a-McKinnon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.a-McKinnon.pdf,5673
320,2014.06.17.R,Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,Unknown,2014.06.17.R-Wright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.17.R-Wright.pdf,5672
321,2014.06.09.c,09-Jun-14,2014,Unprovoked,BRAZIL,,500 km off the coast of Pernambuco,Fishing,Severe injury to arm,N,Unknown,2014.06.09.c-Sunarko.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.c-Sunarko.pdf,5671
322,2014.06.09.b,09-Jun-14,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,"Abrasion to right hand, lacerations to left forearm",N,17h00,2014.06.09.b-Vance.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.b-Vance.pdf,5670
323,2014.06.09.a,09-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,Minor injury to torso,N,09h45,2014.06.09.a-Berry.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09-Berry.pdf,5669
324,2014.06.08,08-Jun-14,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,Left arm bitten,N,Afternoon,2014.06.08-Takahashi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.08-Takahashi.pdf,5668
325,2014.06.07,07-Jun-14,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,Shallow lacerations & puncture wounds below shoulder,N,Afternoon,2014.06.07-Medina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.07-Medina.pdf,5667
326,2014.06.01.c,01-Jun-14,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,Laceration to right lower leg,N,13h30,2014.06.01.c-Vaughn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.c-Vaughn.pdf,5666
327,2014.06.01.b,01-Jun-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,Lacerations & puncture wounds to ankle and foot,N,Morning,2014.06.01.b-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.b-Smith.pdf,5665
328,2014.06.01.a,01-Jun-14,2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,Laceration to left hand,N,Unknown,2014.06.01.a-PalmyraAtoll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.a-PalmyraAtoll.pdf,5664
329,2014.05.27.R,24-May-14,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,Lacerations to legs,N,Unknown,2014.05.27.R-Freeman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.27.R-Freeman.pdf,5663
330,2014.05.23,23-May-14,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,Lacerations to left thigh and hip,N,Morning,2014.05.23-Barnabas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.23-Barnabas.pdf,5662
331,2014.05.22,22-May-14,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,Unknown,2014.05.22-Aquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.22-Aquarium.pdf,5661
332,2015.11.20,20-Nov-15,2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,Lacerations to left calf,N,10h15,2015.11.20-Hurley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf,5661
333,2014.05.15,15-May-14,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,Calf bitten,N,11h30,2014.05.15-Tatsch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.15-Tatsch.pdf,5660
334,2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,"No injury, but surfboard severely damaged",N,09h30,"2014.05.14-McLeod, pdf","http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.14-McLeod, pdf",5659
335,2014.05.13,13-May-14,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,Lacerations and puncture wounds to right foot,N,11h00,2014.05.13-Cosa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.13-Cosa.pdf,5658
336,2014.05.11,11-May-14,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,Puncture wounds to right thigh,N,Unknown,2014.05.11-Meadows.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.11-Meadows.pdf,5657
337,2014.05.10.R,Reported 10-May-2014,2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N,Unknown,2014.05.10.R-Roseman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.10.R-Roseman.pdf,5656
338,2014.05.06,06-May-14,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,Lacerations to left foot,N,15h00,2014.05.06-Popp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.06-Popp.pdf,5655
339,2014.05.01,01-May-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Laceration to right hand and cuts on fingertips,N,15h00,2014.05.01-Nolet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.01-Nolet.pdf,5654
340,2014.04.24,24-Apr-14,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,Minor injury,N,Unknown,2014.04.24-WA.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.24-WA.pdf,5653
341,2014.04.22,22-Apr-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,Laceration & puncture wounds to right foot,N,15h30,2014.04.22-CocoaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.22-CocoaBeach.pdf,5652
342,2014.04.15,15-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Minor lacerations to left foot,N,09h57,2014.04.15-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.15-NSB.pdf,5651
343,2014.04.12.R,Reported 12-Apr-2014,2014,Boat,SOUTH AFRICA,,,Shark watching,"No injury to occupants, shark bit pontoon",N,Unknown,.2014.04.12.R-inflatable,http://sharkattackfile.net/spreadsheets/pdf_directory/.2014.04.12.R-inflatable,5650
344,2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N,Morning,2014.04.12-McDougall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.12-McDougall.pdf,5649
345,2014.04.04.b,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor puncture wounds to lower left leg,N,13h50,2014.04.04.b-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.b-NSB.pdf,5648
346,2014.04.04.a,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to foot,N,13h30,2014.04.04.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.a-NSB.pdf,5647
347,2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,FATAL,Y,08h20,2014.04.03-Armstrong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.03-Armstrong.pdf,5646
348,2014.03.29,29-Mar-14,2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,Shark bites may have been post mortem,Y,13h30,2014.03.29-WesternAustralia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.29-WesternAustralia.pdf,5645
349,2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,FATAL,Y,15h00,2014.03.22.b-SecondBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.b-SecondBeach.pdf,5644
350,2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,Lacerations to left forearm,N,Unknown,2014.03.22.a-Hoffman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.a-Hoffman.pdf,5643
351,2014.03.21,21-Mar-14,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,Lacerations to toes and heel of right foot,N,Unknown,2014.03.21-Cozzen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.21-Cozzen.pdf,5642
352,2014.03.18.c,18-Mar-14,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,,Kite Surfing,Lacerations to calf,N,17h58,2014.03.18.c-Borgna,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.c-Borgna,5641
353,2014.03.18.b,18-Mar-14,2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,Shark leapt onto surfboard; surfer uninjured ,N,Morning,2014.03.18.b-Byrne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.b-Byrne.pdf,5640
354,2014.03.13,13-Mar-14,2014,Invalid,CAYMAN ISLANDS,,,Scuba diving / culling lionfish,"Caribbean reef shark buzzed him. No injury, no attack. ",N,Unknown,2014.03.13-Dimitri.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.13-Dimitri.pdf,5639
355,2014.03.18,18-Mar-14,2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,Unknown,"Injuries to wrist/hand by a mackerel, not a shark",N,17h00,2014.03.18-NSW.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18-NSW.pdf,5638
356,2014.03.12,12-Mar-14,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,Minor lacerations to foot,N,18h00,2014.03.12-LightouseBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.12-LightouseBeach.pdf,5637
357,2014.03.02,02-Mar-14,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,Lacerations to toes,N,Unknown,2014.03.02-Fugitt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.02-Fugitt.pdf,5636
358,2014.02.20,20-Feb-14,2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,Lacerations to lower leg,N,16h00,2014.02.20-FrenchPolynesia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.20-FrenchPolynesia.pdf,5635
359,2014.02.17,Reported 17-Feb-2014,2014,Boat,PAPUA NEW GUINEA,,,Sailing,"No injury to occupants, hull bitten",N,Night,2014.02.17.R-OneDLL,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.17.R-OneDLL,5634
360,2014.02.08,08-Feb-14,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,FATAL,Y,12h00,2014.02.08-Kellett.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.08-Kellett.pdf,5633
361,2014.02.07.b,07-Feb-14,2014,Provoked,TRINIDAD & TOBAGO,Trinidad,,Fishing,Possibly a PROVOKED INCIDENT,N,Unknown,2014.02.07.b-Torres.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,5632
362,2014.02.07,07-Feb-14,2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,Lacerations to leg,N,20h30,2014.02.07-PorpoiseBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,5631
363,2014.01.26,26-Jan-14,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,Unknown,2014.01.26-O'Connor.pf,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,5630
364,2014.01.25,25-Jan-14,2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,Minor injury to left lower leg & heel,N,Unknown,2014.01.25-Grant,http://sharkattackfile.net/spreadsheets/pdf_directory/w014.01.25-Grant.pdf,5629
365,2014.01.04,04-Jan-14,2014,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,5 cm bite to left foot,N,Unknown,2014.01.04-Rianto.pdf,pdf_directory2014.01.04-Riano.pdf ,5628
366,2014.00.00,2014,2014,Boat,NEW ZEALAND,,Stewart Island,Filming a documentary,"No injury to occupants, shark nudged and bit boat",N,Unknown,2014.00.00-Jeff-Andy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.00.00-Jeff-Andy.pdf,5627
367,2013.12.25,25-Dec-13,2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,Leg bitten,N,11h00,2013.12.25-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.25-NewCaledonia.pdf ,5626
368,2013.12.16,16-Dec-13,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,Injuries to left thigh,N,08h45,2013.12.16-Browne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.16-Browne.pdf,5625
369,2013.12.13,13-Dec-13,2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,,Attempting to remove fishing net from submerged object,Severe injury to arm,N,Unknown,2013.12.13-Kiribati.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.13-Kiribati.pdf,5624
370,2013.12.11,11-Dec-13,2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,Lacerations to right hand & knee,N,08h00,2013.12.11-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.11-Hawaii.pdf,5623
371,2013.12.10,10-Dec-13,2013,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,Right foot bitten,N,14h30,2013.12.10-Baughman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.10-Baughman.pdf,5622
372,2013.12.05,05-Dec-13,2013,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,"Puncture wounds to hand, laceration to leg",N,18h15,2013.12.05-PortMacquarie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.05-PortMacquarie.pdf,5621
373,2013.12.02,02-Dec-13,2013,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,FATAL,Y,09h00,2013.12.02-Briney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.02-Briney.pdf,5620
374,2013.11.30,30-Nov-13,2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbells Beach, ",Body boarding,FATAL,Y,14h00,2013.11.30-ZacYoung.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.30-ZacYoung.pdf,5619
375,2013.11.29,29-Nov-13,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,Right calf bitten,N,13h00,2013.11.29-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.29-Maui.pdf,5618
376,2013.11.23.a,23-Nov-13,2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,FATAL,Y,09h00,2013.11.23.a-Boyd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.23.a-Boyd.pdf,5617
377,2013.11.22,22-Nov-13,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,"No injury, board bitten",N,10h30,2013.11.22-Gardiner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.22-Gardiner,5616
378,2013.11.12,12-Nov-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,"No injury, board bumped by shark",N,15h00,2013.11.12-Daly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.12-Daly,5615
379,2013.11.10,10-Nov-13,2013,Provoked,BAHAMAS,,Off Cape Eleuthera,Shark fishing,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,11h00,2013.11.10-Bahamas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.10-Bahamas,5614
380,2013.11.07.b,07-Nov-13,2013,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,"No injury, swim fin bitten",N,Afternoon,2013.11.07.b-Gates.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.b-Gates,5613
381,2013.11.07.a,07-Nov-13,2013,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,Foot bitten,N,Unknown,2013.11.07.a-Melian.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.a-Melian,5612
382,2013.10.31,31-Oct-13,2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,Severe bite to right calf & anklel,N,15h19,2013.10.31-ChristianBrandon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.31-ChristianBrandon,5611
383,2013.10.28,28-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,Lacerations to right arm,N,Afternoon,2013.10.28-Simmons.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.28-Simmons,5610
384,2013.10.26.b,26-Oct-13,2013,Unprovoked,REUNION,dÉtang-Salé,Ravine Mula,Body boarding,Right leg severed,N,16h30,2013.10.26.b-Tanguy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.b-Tanguy,5609
385,2013.10.26.a,26-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,"No injury, swim fin shredded",N,10h55,2013.10.26.a-Robinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.a-Robinson.pdf,5608
386,2013.10.24,24-Oct-13,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,Injuries to right foot,N,18h15,2013.10.24-Joyce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.24-Joyce.pdf,5607
387,2013.10.23,23-Oct-13,2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,"3"" laceration to left hip",N,15h55,2013.10.23-ShaneMills.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.23-ShaneMills.pdf,5606
388,2013.10.20,20-Oct-13,2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,"No injury, shark bit surfboard",N,11h00,2013.10.20-Horton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.20-Horton.pdf,5605
389,2013.10.19,19-Oct-13,2013,Unprovoked,USA,Florida,Miami Beach,Wading,Bitten on left calf & foot,N,Late afternoon,2013.10.19-Hamby.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.19-Hamby.pdf,5604
390,2013.10.11,11-Oct-13,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,FATAL,Y,11h30,2013.10.11-Vd-Westhuizen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.11-Vd-Westhuizen.pdf,5603
391,2013.10.08,08-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,"Injuries to torso, head and face",N,10h30,2013.10.08-Pickering.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.08-Pickering.pdf,5602
392,2013.10.05,06-Oct-13,2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,Laceration to thigh,N,08h45,2013.10.06-Scrivner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.06-Scrivner.pdf,5601
