,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
275,2014.09.21,21-Sep-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.21-Lefebvre.pdf,5717
276,2014.09.13.R,Reported 12-Sep-2014,2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Feeding fish,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.12.R-Moorea.pdf,5716
277,2014.09.13,13-Sep-14,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,N,18h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.13-Browning.pdf,5715
278,2014.09.09,09-Sep-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,Y,10h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.09-Wilcox.pdf,5714
279,2014.09.06,06-Sep-14,2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.06-Robson.pdf,5713
280,2014.09.03,03-Sep-14,2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.03-Plymouthkayakers.pdf,5712
281,2014.09.02,02-Sep-14,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,N,20h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.02-FletcherBeach.pdf,5711
282,2014.09.00,Sep-14,2014,Unprovoked,SPAIN,Catalonia,Salou,Playing with an air mattress,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.09.00-Salou.pdf,5710
283,2014.08.31,31-Aug-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,N,16h40,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.31-Masterson.pdf,5709
284,2014.08.29.b,29-Aug-14,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.b-Murphy.pdf,5708
285,2014.08.29.a,29-Aug-14,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",Unknown,N,16h18,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.29.a-AtlanticBeach.pdf,5707
286,2014.08.28,28-Aug-14,2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.28-Vickers.pdf,5706
287,2014.08.27.c,27-Aug-14,2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.c-Spain.pdf,5705
288,2014.08.27.b,27-Aug-14,2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.b-Anderson.pdf,5704
289,2014.08.27.a,27-Aug-14,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.27.a-Surfside.pdf,5703
290,2014.08.25,Reported 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.25.R-Wiley.pdf,5702
291,2014.08.24,24-Aug-14,2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.24-Diggs.pdf,5701
292,2014.08.16,16-Aug-14,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.16-Haling.pdf,5700
293,2014.08.12,12-Aug-14,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,N,11h10,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.15-Hayes.pdf,5699
294,2014.08.10,10-Aug-14,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.10-Hallandale.pdf,5698
295,2014.08.09.R,09-Aug-14,2014,Unprovoked,BAHAMAS,,,Spearfishing,N,Unknown,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09.R-Hindley, pdf",5697
296,2014.08.09,09-Aug-14,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.09-CocoaBeach.pdf,5696
297,2014.08.08,08-Aug-14,2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-Trentacosta.pdf,5695
298,2014.08.06,06-Aug-14,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.14-Harris.pdf,5694
299,2014.08.05,05-Aug-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.05-Tulip.pdf,5693
300,2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.08-CocoaBeach.pdf,5692
301,2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.02-Sanhueza.pdf,5691
302,2014.08.01,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.01-Smithers.pdf,5690
303,2014.08.00,Aug-14,2014,Invalid,,,,Sea disaster,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.08.00-Cuban-refugees.pdf,5689
304,2014.07.27,27-Jul-14,2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.27-SunsetBeach.pdf,5688
305,2014.07.22,22-Jul-14,2014,Unprovoked,REUNION,Saint-Leu,,Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.22-Rintz.pdf,5687
306,2014.07.21,21-Jul-14,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,N,Early afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.21-Crick.pdf,5686
307,2014.07.20,20-Jul-14,2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.20-Tenerife.pdf,5685
308,2014.07.16,16-Jul-14,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,N,17h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.16-Maui.pdf,5684
309,2014.07.14,14-Jul-14,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.14-Moore.pdf,5683
310,2014.07.13,13-Jul-14,2014,Invalid,BAHAMAS,West End,Tiger Beach,Shark diving,Y,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.13-Petty.pdf,5682
311,2014.07.12,12-Jul-14,2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.12-Jewell.pdf,5681
312,2014.07.09,09-Jul-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.09-Durham.pdf,5680
313,2014.07.05.b,05-Jul-14,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,N,09h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.b-Robles.pdf,5679
314,2014.07.05.a,05-Jul-14,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,N,07h00 - 08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.05.a-Surfer.pdf,5678
315,2014.07.03,03-Jul-14,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,N,18h15-18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.07.03-Fairbourne.pdf,5677
316,2014.06.27.R,Reported 27-Jun-2014,2014,Boat,ST. MARTIN,,20 miles from shore,Transatlantic Rowing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.27-Mooney.pdf,5676
317,2014.06.25,25-Jun-14,2014,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.25-Adams.pdf,5675
318,2014.06.18.b,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,N,17h01,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.b-Longhurst.pdf,5674
319,2014.06.18.a,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.18.a-McKinnon.pdf,5673
320,2014.06.17.R,Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.17.R-Wright.pdf,5672
321,2014.06.09.c,09-Jun-14,2014,Unprovoked,BRAZIL,,500 km off the coast of Pernambuco,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.c-Sunarko.pdf,5671
322,2014.06.09.b,09-Jun-14,2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.b-Vance.pdf,5670
323,2014.06.09.a,09-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,N,09h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.09.a-Berry.pdf,5669
324,2014.06.08,08-Jun-14,2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.08-Takahashi.pdf,5668
325,2014.06.07,07-Jun-14,2014,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.07-Medina.pdf,5667
326,2014.06.01.c,01-Jun-14,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.c-Vaughn.pdf,5666
327,2014.06.01.b,01-Jun-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.b-Smith.pdf,5665
328,2014.06.01.a,01-Jun-14,2014,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.06.01.a-PalmyraAtoll.pdf,5664
329,2014.05.27.R,24-May-14,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.27.R-Freeman.pdf,5663
330,2014.05.23,23-May-14,2014,Unprovoked,FRANCE,Wallis and Futuna,Wallis Island,Scuba diving,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.23-Barnabas.pdf,5662
331,2014.05.22,22-May-14,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.22-Aquarium.pdf,5661
332,2015.11.20,20-Nov-15,2015,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,N,10h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.20-Hurley.pdf,5661
333,2014.05.15,15-May-14,2014,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.15-Tatsch.pdf,5660
334,2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,N,09h30,"http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.14-McLeod, pdf",5659
335,2014.05.13,13-May-14,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.13-Cosa.pdf,5658
336,2014.05.11,11-May-14,2014,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.11-Meadows.pdf,5657
337,2014.05.10.R,Reported 10-May-2014,2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.10.R-Roseman.pdf,5656
338,2014.05.06,06-May-14,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.06-Popp.pdf,5655
339,2014.05.01,01-May-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.05.01-Nolet.pdf,5654
340,2014.04.24,24-Apr-14,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.24-WA.pdf,5653
341,2014.04.22,22-Apr-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.22-CocoaBeach.pdf,5652
342,2014.04.15,15-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,09h57,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.15-NSB.pdf,5651
343,2014.04.12.R,Reported 12-Apr-2014,2014,Boat,SOUTH AFRICA,,,Shark watching,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/.2014.04.12.R-inflatable,5650
344,2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.12-McDougall.pdf,5649
345,2014.04.04.b,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.b-NSB.pdf,5648
346,2014.04.04.a,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.04.a-NSB.pdf,5647
347,2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,Y,08h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.04.03-Armstrong.pdf,5646
348,2014.03.29,29-Mar-14,2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,Y,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.29-WesternAustralia.pdf,5645
349,2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,Y,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.b-SecondBeach.pdf,5644
350,2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.22.a-Hoffman.pdf,5643
351,2014.03.21,21-Mar-14,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.21-Cozzen.pdf,5642
352,2014.03.18.c,18-Mar-14,2014,Unprovoked,NEW CALEDONIA,Baie de Sainte-Marie,,Kite Surfing,N,17h58,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.c-Borgna,5641
353,2014.03.18.b,18-Mar-14,2014,Unprovoked,AUSTRALIA,Victoria,Winkipop Beach,Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18.b-Byrne.pdf,5640
354,2014.03.13,13-Mar-14,2014,Invalid,CAYMAN ISLANDS,,,Scuba diving / culling lionfish,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.13-Dimitri.pdf,5639
355,2014.03.18,18-Mar-14,2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,Unknown,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.18-NSW.pdf,5638
356,2014.03.12,12-Mar-14,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,N,18h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.12-LightouseBeach.pdf,5637
357,2014.03.02,02-Mar-14,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.03.02-Fugitt.pdf,5636
358,2014.02.20,20-Feb-14,2014,Unprovoked,FRENCH POLYNESIA,Society Islands,Huahine,Kitesurfing,N,16h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.20-FrenchPolynesia.pdf,5635
359,2014.02.17,Reported 17-Feb-2014,2014,Boat,PAPUA NEW GUINEA,,,Sailing,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.17.R-OneDLL,5634
360,2014.02.08,08-Feb-14,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,Y,12h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.08-Kellett.pdf,5633
361,2014.02.07.b,07-Feb-14,2014,Provoked,TRINIDAD & TOBAGO,Trinidad,,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.07.b-Torres.pdf,5632
362,2014.02.07,07-Feb-14,2014,Unprovoked,NEW ZEALAND,South Island,Porpoise Bay,Surfing,N,20h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.02.07-PorpoiseBay.pdf,5631
363,2014.01.26,26-Jan-14,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.01.26-O'Connor.pf,5630
364,2014.01.25,25-Jan-14,2014,Unprovoked,NEW ZEALAND,South Island,Garden Bay near Cosy Nook,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.01.25-Grant,5629
365,2014.01.04,04-Jan-14,2014,Sea Disaster,JAPAN,Okinawa Prefecture,Off Miyako Island,Sea disaster,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.01.04-Rianto.pdf,5628
366,2014.00.00,2014,2014,Boat,NEW ZEALAND,,Stewart Island,Filming a documentary,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2014.00.00-Jeff-Andy.pdf,5627
367,2013.12.25,25-Dec-13,2013,Unprovoked,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Snorkeling,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.25-NewCaledonia.pdf,5626
368,2013.12.16,16-Dec-13,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.16-Browne.pdf,5625
369,2013.12.13,13-Dec-13,2013,Unprovoked,KIRIBATI,740 miles SE of Tarawa Atoll,,Attempting to remove fishing net from submerged object,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.13-Kiribati.pdf,5624
370,2013.12.11,11-Dec-13,2013,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,N,08h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.11-Hawaii.pdf,5623
371,2013.12.10,10-Dec-13,2013,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,N,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.10-Baughman.pdf,5622
372,2013.12.05,05-Dec-13,2013,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,N,18h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.05-PortMacquarie.pdf,5621
373,2013.12.02,02-Dec-13,2013,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,Y,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.12.02-Briney.pdf,5620
374,2013.11.30,30-Nov-13,2013,Unprovoked,AUSTRALIA,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,Y,14h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.30-ZacYoung.pdf,5619
375,2013.11.29,29-Nov-13,2013,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.29-Maui.pdf,5618
376,2013.11.23.a,23-Nov-13,2013,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,Y,09h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.23.a-Boyd.pdf,5617
377,2013.11.22,22-Nov-13,2013,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.22-Gardiner.pdf,5616
378,2013.11.12,12-Nov-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Trigg Beach, Perth",Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.12-Daly.pdf,5615
379,2013.11.10,10-Nov-13,2013,Provoked,BAHAMAS,,Off Cape Eleuthera,Shark fishing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.10-Bahamas.pdf,5614
380,2013.11.07.b,07-Nov-13,2013,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.b-Gates.pdf,5613
381,2013.11.07.a,07-Nov-13,2013,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.11.07.a-Melian.pdf,5612
382,2013.10.31,31-Oct-13,2013,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,N,15h19,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.31-ChristianBrandon.pdf,5611
383,2013.10.28,28-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,Turquoise Bay,Snorkeling,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.28-Simmons.pdf,5610
384,2013.10.26.b,26-Oct-13,2013,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Body boarding,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.b-Tanguy.pdf,5609
385,2013.10.26.a,26-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,N,10h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.26.a-Robinson.pdf,5608
386,2013.10.24,24-Oct-13,2013,Unprovoked,AUSTRALIA,New South Wales,South Narrabeen Beach,Surfing,N,18h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.24-Joyce.pdf,5607
387,2013.10.23,23-Oct-13,2013,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,N,15h55,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.23-ShaneMills.pdf,5606
388,2013.10.20,20-Oct-13,2013,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.20-Horton.pdf,5605
389,2013.10.19,19-Oct-13,2013,Unprovoked,USA,Florida,Miami Beach,Wading,N,Late afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.19-Hamby.pdf,5604
390,2013.10.11,11-Oct-13,2013,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,Y,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.11-Vd-Westhuizen.pdf,5603
391,2013.10.08,08-Oct-13,2013,Unprovoked,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.08-Pickering.pdf,5602
392,2013.10.05,06-Oct-13,2013,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,N,08h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.06-Scrivner.pdf,5601
393,2013.10.05,10-Oct-13,2013,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.10.05-Standridge.pdf,5600
394,2013.09.29.b,29-Sep-13,2013,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,10h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.b-BrevardSurfer.pdf,5599
395,2013.09.29.a,29-Sep-13,2013,Provoked,ISRAEL,Southern District,Ashdod,Diving,N,11h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.29.a-Lev.pdf,5598
396,2013.09.25, 25-Sep-2013,2013,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.25-EthanHand.pdf,5597
397,2013.09.21.b, 21-Sep-2013,2013,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.b-OrmondBeach.pdf,5596
398,2013.09.21.a, 21-Sep-2013,2013,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.21.a-Dugan.pdf,5595
399,2013.09.14, 14-Sep-2013,2013,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.14-Kalck.pdf,5594
400,2013.09.12, 12-Sep-2013,2013,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.09.12-Portman.pdf,5593
