,%-Sin daños,%-Daño bajo,%-Daño medio,%-Daño alto,%-Mortal
White,27.447833065810595,2.086677367576244,11.556982343499197,38.68378812199037,20.224719101123597
Tiger,14.583333333333334,2.0833333333333335,16.666666666666668,42.916666666666664,23.75
Bull,1.7543859649122806,1.7543859649122806,26.900584795321638,50.292397660818715,19.29824561403509
Blacktip,3.9603960396039604,7.920792079207921,28.712871287128714,59.40594059405941,0
Nurse,4.651162790697675,6.976744186046512,20.930232558139537,66.27906976744185,1.1627906976744187
Bronze,23.4375,6.25,21.875,40.625,7.8125
