Year,Type,Country,Area,Location,Activity,Sex,Fatal
2016,Unprovoked,Fiji,Vanua Levu,Unknown,Diving,M,Y
2016,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,N
2016,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,Fishing,M,N
2016,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Swimming,M,N
2016,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Surfing,M,N
2016,Unprovoked,NEW CALEDONIA,South Province,Yate,Fishing,M,N
2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Bathing,F,N
2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Other,M,N
2016,Invalid,AUSTRALIA,Tasmania,Nettley Bay,Surfing,M,N
2016,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,Bathing,F,N
2016,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Surfing,M,N
2016,Boat,SOUTH AFRICA,KwaZulu-Natal,Unknown,Fishing,M,N
2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,N
2016,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",Surfing,F,N
2016,Unprovoked,USA,Texas,Off Surfside,Fishing,M,N
2016,Boat,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Fishing,M,N
2016,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",Boarding,M,N
2016,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Surfing,M,N
2016,Unprovoked,AUSTRALIA,Queensland,Heron Island,Bathing,M,N
2016,Unprovoked,AUSTRALIA,Queensland,Miall Island,Fishing,M,N
2015,Boat,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,Fishing,M,N
2015,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Swimming,F,N
2015,Unprovoked,USA,Hawaii,La'aloa Beach Park,Boarding,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,Bondi Beach,Surfing,M,N
2015,Unprovoked,BRAZIL,Pernambuco,Fernano de Noronha,Diving,M,N
2015,Unprovoked,ARUBA,Unknown,Boat capsized,Other,M,Y
2015,Boat,AUSTRALIA,New South Wales,Lake Macquarie,Fishing,Unknown,N
2015,Unprovoked,BAHAMAS,Unknown,Off Andros Island,Fishing,M,N
2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpande,Swimming,F,N
2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,N
2015,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,N
2015,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,M,N
2015,Unprovoked,AUSTRALIA,New South Wales,East Ballina,Surfing,M,N
2015,Invalid,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Surfing,F,N
2015,Unprovoked,USA,Hawaii,"Kehena Beach, Hawaii",Swimming,M,N
2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Bathing,F,N
2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Maxixe,Fishing,M,N
2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Fishing,M,N
2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Boarding,M,N
2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,N
2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,N
2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing,F,Y
2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,N
2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,N
2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Fishing,M,N
2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boarding,F,N
2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,N
2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,N
2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,N
2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Boarding,M,N
2015,Unprovoked,USA,Texas,Galveston,Bathing,M,N
2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,N
2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,N
2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Fishing,M,N
2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Fishing,M,N
2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Bathing,M,N
2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Other,M,N
