Year,Type,Country,Area,Location,Activity,Sex,Fatal
2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",Bathing,M,N
2003,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Swimming,M,N
2003,Unprovoked,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",Swimming,M,N
2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,Y
2003,Invalid,SOUTH AFRICA,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",Unknown,M,Y
2003,Unprovoked,COSTA RICA,North Pacific coast,Playa Tamarindo ,Surfing,M,N
2003,Unprovoked,AUSTRALIA,Western Australia,Left break at the Hot Spot at Sheringa Beach,Surfing,F,N
2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,N
2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,N
2002,Unprovoked,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Diving,M,N
2002,Invalid,AUSTRALIA,Queensland,Golden Beach,Swimming,M,N
2002,Unprovoked,AUSTRALIA,Queensland,Miami Lake,Swimming,M,Y
2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Y
2002,Unprovoked,MICRONESIA,Caroline Islands,"Pision Reef, Truk",Diving,M,N
2002,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Boarding,M,N
2002,Unprovoked,USA,Hawaii,Ka'anapali,Swimming,F,N
2002,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,N
2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,N
2002,Unprovoked,FRENCH POLYNESIA,Society Islands,Tetiaroa,Fishing,M,N
2002,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,N
2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",Swimming,M,Y
2002,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,N
2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2002,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,N
2002,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,N
2002,Unprovoked,USA,Hawaii,"Kahala, O'ahu",Surfing,M,N
2002,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,N
2002,Provoked,TONGA,Vava'u,Swimming with humpback whales,Swimming,M,N
2002,Unprovoked,USA,Oregon,Cape Kiwanda,Surfing,M,N
2002,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,N
2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",Swimming,M,N
2002,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Boarding,Unknown,N
2002,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Surfing,M,N
2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boarding,M,N
2002,Provoked,USA,Florida,"Daytona Beach Shores, Volusia County",Bathing,M,N
2002,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,N
2002,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,N
2002,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,N
2002,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",Bathing,M,N
2002,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,N
2002,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",Bathing,M,N
2002,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,N
2002,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,N
2002,Provoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
2002,Provoked,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Fishing,M,Y
2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Surfing,M,N
2002,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Bathing,F,N
2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,N
2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,N
2002,Invalid,INDONESIA,Unknown,"Shark caught in Indonesia, offloaded to trawler that docked at Samut Prakan, 20 miles south of Bangkok, Thailand",Unknown,Unknown,Y
2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",Unknown,Unknown,N
2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Other,Unknown,Y
2002,Unprovoked,USA,Hawaii,"Anini Beach, Kaua'i",Surfing,Unknown,N
2002,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,N
2002,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
2002,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,N
2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Other,M,N
2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,N
2002,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Swimming,M,N
2002,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ",Fishing,M,N
2002,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Surfing,M,N
2002,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,N
2002,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,Other,M,N
2002,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,N
2002,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Surfing,M,N
2002,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,N
2002,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Surfing,M,Y
2002,Invalid,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing,M,Y
2002,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County",Surfing,M,N
2002,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,N
2002,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Bathing,M,N
2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,N
2002,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming,M,N
2002,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Boarding,M,N
2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Bathing,F,N
2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,Y
2002,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,N
2002,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,N
2002,Invalid,NEW CALEDONIA,Loyalty Islands,Lifou,Fishing,M,Y
2002,Unprovoked,TURKS & CAICOS,Unknown,Unknown,Fishing,M,Y
2002,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),Unknown,Unknown,M,Y
2002,Unprovoked,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Canoeing,M,N
2002,Unprovoked,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,M,N
2002,Unprovoked,AUSTRALIA,Western Australia,Collie River ,Swimming,M,N
2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,M,N
2002,Unprovoked,BRAZIL,Pernambuco,Candeias,Swimming,Unknown,Y
2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surfing,M,N
2002,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,N
2001,Invalid,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,N
2001,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,N
2001,Unprovoked,USA,Hawaii,"Kapalua, Maui",Surfing,Unknown,N
2001,Invalid,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",Surfing,M,N
2001,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,Boarding,M,N
2001,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,N
2001,Unprovoked,MEXICO,Guerrero,Ixtapa,Surfing,M,N
2001,Boat,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane ",Unknown,M,N
2001,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2001,Invalid,USA,Florida,"2 miles off Pompano Beach, Broward County",Diving,M,Y
2001,Unprovoked,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boarding,M,N
2001,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,N
2001,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,N
2001,Provoked,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,N
2001,Unprovoked,USA,Florida,"Key Biscayne, Dade County",Bathing,M,N
2001,Invalid,USA,South Carolina,"Waites Island, Horry County",Swimming,F,N
2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,M,Y
2001,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,N
2001,Unprovoked,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Bathing,M,N
2001,Unprovoked,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming,M,Y
2001,Unprovoked,BAHAMAS,Abaco Islands,North of Grand Cay,Fishing,M,N
2001,Unprovoked,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Bathing,F,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,M,N
2001,Unprovoked,USA,Florida,"Daytona, Volusia County ",Surfing,M,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N
2001,Unprovoked,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,N
2001,Unprovoked,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Fishing,M,N
2001,Unprovoked,THAILAND,Rayong Province,Laem Mae Pim Beach,Other,M,N
2001,Unprovoked,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",Unknown,F,N
2001,Unprovoked,BAHAMAS,Grand Bahama Island,Freeport,Swimming,M,N
2001,Boat,ITALY,Unknown,Rimini,Fishing,Unknown,N
2001,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,F,N
2001,Unprovoked,USA,Florida,"Taverniier, Monroe County",Unknown,M,N
2001,Unprovoked,USA,Florida,"Marathon , Monroe County",Unknown,F,N
2001,Boat,USA,Massachusetts,Chatham Island,Fishing,Unknown,N
2001,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,N
2001,Unprovoked,USA,Florida,"Amelia Island, Nassau County",Boarding,M,N
2001,Unprovoked,MEXICO,Baja California,Ensenada,Surfing,M,N
2001,Unprovoked,USA,Florida,Gulf Islands National Seashore,Swimming,M,N
2001,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County ",Unknown,Unknown,N
2001,Unprovoked,USA,Georgia,"Jekyll Island, Glynn County",Swimming,M,N
2001,Unprovoked,USA,Texas,Padre Island National Seashore,Swimming,M,N
2001,Provoked,USA,California,Catalina Island,Fishing,M,N
2001,Invalid,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Other,M,Y
2001,Unprovoked,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Bathing,F,N
2001,Unprovoked,USA,Texas,Galveston Island,Unknown,M,N
2001,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,N
2001,Unprovoked,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,N
2001,Provoked,PHILIPPINES,Zamboanga del Sur Province,Unknown,Fishing,M,N
2001,Invalid,MADAGASCAR,Unknown,Shipwrecked Ferry M/V Samsonnette,Unknown,M,Y
2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,N
2001,Unprovoked,AUSTRALIA,New South Wales,Noraville,Surfing,M,N
2001,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,N
2001,Unprovoked,FIJI,Taveuni,Unknown,Fishing,M,Y
2001,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Unknown,M,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,N
2001,Unprovoked,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,N
2001,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unknown,N
2001,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,N
2001,Provoked,AUSTRALIA,New South Wales,Bronte Beach,Snorkeling,M,N
2001,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,M,N
2001,Unprovoked,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",Other,F,N
2001,Unprovoked,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,M,N
2001,Unprovoked,USA,Hawaii,"Sandy Beach, Oahu",Boarding,M,N
2001,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,N
2001,Invalid,BRAZIL,Bahia,Nova Vicosa,Other,M,N
2001,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,Y
2001,Sea Disaster,CARIBBEAN SEA,Unknown,Between St. Maarten & Anguilla,Boarding,Unknown,Y
2001,Boat,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing,Unknown,N
2001,Invalid,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Unknown,F,Y
2001,Unprovoked,AUSTRALIA,New South Wales,Broome Head,Surfing,M,N
2001,Boat,AUSTRALIA,New South Wales,South West Rocks,Canoeing,M,N
2001,Unprovoked,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,N
2001,Boat,AUSTRALIA,South Australia,Adelaide,Fishing,Unknown,N
2001,Unprovoked,USA,California,"Sunset Cliffs, San Diego",Surfing,M,N
2001,Boat,NEW ZEALAND,North Island,Sandy Bay/Whananaki,Canoeing,M,N
2000,Unprovoked,AUSTRALIA,Queensland,Flinders Cay,Diving,M,N
2000,Unprovoked,FIJI,Taveuni,Garden Island Resort,Swimming,M,Y
2000,Boat,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing,Unknown,N
2000,Unprovoked,CANADA,New Brunswick,Bay of Fundy,Diving,M,N
2000,Unprovoked,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Fishing,M,N
2000,Unprovoked,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",Surfing,F,Y
2000,Unprovoked,AUSTRALIA,Queensland,Orpheus Island,Diving,M,N
2000,Invalid,AUSTRALIA,South Australia,Ceduna,Other,M,Y
2000,Unprovoked,USA,Florida,"Bonita Springs, Lee County",Swimming,M,N
2000,Invalid,USA,Florida,"Vaughn Beach, Flagler County",Bathing,F,N
2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,N
2000,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,Y
2000,Unprovoked,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,N
2000,Boat,AUSTRALIA,Queensland,Peel Island,Fishing,Unknown,N
2000,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,N
2000,Unprovoked,USA,Hawaii,Olowalu,Swimming,F,N
2000,Unprovoked,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,N
2000,Unprovoked,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,N
2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2000,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,N
2000,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,N
2000,Unprovoked,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,M,Y
2000,Unprovoked,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,M,Y
2000,Provoked,AUSTRALIA,New South Wales,Wollongong,Other,M,N
2000,Unprovoked,OKINAWA,Miyako Island,Sunayama Beach,Surfing,M,Y
2000,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Unknown,Unknown,N
2000,Unprovoked,USA,Florida,"Fort Pierce Inlet, St Lucie County",Surfing,M,N
2000,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,N
2000,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Surfing,M,N
2000,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,M,N
2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Diving,M,N
2000,Unprovoked,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,M,Y
2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Bathing,M,N
2000,Unprovoked,REUNION,Saint-Pierre,Pic du Diable ,Surfing,M,N
2000,Unprovoked,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",Swimming,Unknown,Y
2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,N
2000,Unprovoked,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Other,M,Y
2000,Provoked,USA,Alaska,Prince William Sound,Other,M,N
2000,Unprovoked,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming,M,N
2000,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Surfing,M,N
2000,Unprovoked,USA,Florida,"South Jacksonville Beach, Duval County",Surfing,M,N
2000,Unprovoked,USA,Florida,"St. Augustine, St. Johns County",Bathing,F,N
2000,Invalid,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,M,N
2000,Invalid,USA,Florida,Florida Keys,Other,M,Y
2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,N
2000,Unprovoked,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,N
2000,Unprovoked,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,M,N
2000,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,N
2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,N
2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,N
2000,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,South of Durban,Surfing,M,N
2000,Unprovoked, TONGA,Minerva Reef,Treated at Nuku-alofa,Diving,M,N
2000,Unprovoked,USA,Florida,"Daytona  Beach, Volusia County",Bathing,M,N
2000,Unprovoked,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming,M,N
2000,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Other,M,N
2000,Unprovoked,USA,North Carolina,"Pine Island, Corolla, Currituck County",Other,F,N
2000,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Bathing,F,N
2000,Unprovoked,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County",Fishing,F,N
2000,Unprovoked,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Bathing,F,N
2000,Unprovoked,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Bathing,F,N
2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Unknown,M,Y
2000,Boat,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,M,N
2000,Unprovoked,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Bathing,M,N
2000,Boat,USA,Florida,"Pensacola Bay, Escambia County",Sailing,Unknown,N
2000,Unprovoked,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,N
2000,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,N
2000,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,N
2000,Unprovoked,TANZANIA,Unknown,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,M,Y
2000,Sea Disaster,NEW CALEDONIA,South Province,Mont Dore,Boarding,Unknown,Y
2000,Invalid,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",Unknown,Unknown,Y
2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Bathing,M,N
2000,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,M,Y
2000,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Bathing,M,N
2000,Unprovoked,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boarding,M,N
2000,Unprovoked,USA,Florida,Santa Rosa Sound Escambia County,Fishing,M,N
2000,Unprovoked,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,M,N
2000,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Boarding,F,N
2000,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,N
2000,Unprovoked,NEW CALEDONIA,North Province,Poum,Fishing,M,Y
2000,Unprovoked,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,M,N
2000,Boat,AUSTRALIA,New South Wales,Parramatta River,Canoeing,Unknown,N
2000,Invalid,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Canoeing,M,Unknown
2000,Unprovoked,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,M,N
2000,Unprovoked,USA,Louisiana,Midnight Lump (38 miles offshore),Fishing,M,N
2000,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Unknown,M,N
2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Surfing,M,N
2000,Provoked,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Other,M,N
2000,Unprovoked,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,N
2000,Unprovoked,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,N
2000,Boat,REUNION,Unknown,Saint Pierre,Boarding,M,Y
2000,Unprovoked,THAILAND,Phang nga Province,Phang nga Island,Diving,M,Y
2000,Boat,USA,Florida,"Boca Grande, Lee County",Fishing,M,N
1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Surfing,M,N
1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Swimming,F,N
1999,Unprovoked,NEW ZEALAND,South Island,Oreti Beach,Bathing,F,N
1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,N
1999,Invalid,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Diving,M,Y
1999,Invalid,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Fishing,M,N
1999,Unprovoked,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,M,N
1999,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,M,N
1999,Unprovoked,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,F,N
1999,Unprovoked,USA,California,"Waddell Reef, Santa Cruz County",Surfing,M,N
1999,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Surfing,M,N
1999,Unprovoked,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Surfing,M,N
1999,Unprovoked,MARSHALL ISLANDS,Alinglaplap Atoll,Island J4H,Swimming,M,N
1999,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Boarding,M,N
1999,Unprovoked,USA,Florida,"Gulfstream Park beach, Palm Beach County",Surfing,M,N
1999,Unprovoked,USA,Florida,"Pet Den, Satellite Beach, Brevard County",Surfing,M,N
1999,Unprovoked,USA,Hawaii,Old Kona Airport State Park,Surfing,M,N
1999,Unprovoked,USA,Florida,"South side of Ponce de Leon Inlet, Volusia County",Surfing,M,N
1999,Boat,ITALY,Adriatic Sea,San Benedetto,Fishing,Unknown,N
1999,Unprovoked,USA,Florida,"Cape Canaveral, Brevard County",Bathing,F,N
1999,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Bathing,F,N
1999,Unprovoked,USA,Florida,"Fort Pierce Inlet, St. Lucie County",Surfing,M,N
1999,Provoked,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Bathing,M,N
1999,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,N
1999,Unprovoked,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,M,N
1999,Unprovoked,USA,North Carolina,"Fort Fisher, New Hanover County",Surfing,M,N
1999,Unprovoked,MARSHALL ISLANDS,Ralik Chain,Kwajalein Atoll,Fishing,M,N
1999,Unprovoked,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Other,M,N
1999,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
1999,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Fishing,M,N
1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Kogebaai,Surfing,M,N
1999,Unprovoked,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming,M,N
1999,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,M,N
1999,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Boarding,M,Y
1999,Unprovoked,USA,South Carolina,Charleston,Unknown,M,N
1999,Unprovoked,USA,Florida,"Pensacola  Beach, Escambia County",Bathing,F,N
1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,M,N
1999,Unprovoked,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Other,M,N
1999,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,N
1999,Unprovoked,USA,Florida,"Atlantiic Beach, Duval County",Swimming,M,N
1999,Unprovoked,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Other,M,N
