,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
998,2008,Unprovoked,USA,Wading,F,13,Puncture wounds & 3-inch laceration to right calf,N,12h05
1006,2008,Unprovoked,USA,Snorkeling,F,44,Forearm bitten ,N,08h45
1008,2008,Unprovoked,USA,Wading,F,8,Lacerations to dorsum of right foot ,N,13h00
1014,2008,Unprovoked,USA,Swimming,F,14,Lacerations to  right foot,N,19h30
1015,2008,Unprovoked,USA,,F,17,Lacerations to right foot,N,14h21
1024,2008,Unprovoked,USA,Kayaking,F,40," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00
1025,2008,Unprovoked,USA,Wading,F,35,Lacerations to lower right calf,N,11h10
1029,2008,Unprovoked,USA,Body surfing,F,15,Foot bitten,N,18h30
1067,2008,Unprovoked,AUSTRALIA,Surfing,F,14,Abrasions to elbow; collided with shark,N,
1082,2007,Unprovoked,NEW ZEALAND,Surfing,F,27,"No injury, shark bit surfboard & severed leash",N,
1092,2007,Unprovoked,AUSTRALIA,Surf-skiing,F,52,small laceration to wrist,N,11h30
1098,2007,Unprovoked,NEW CALEDONIA,Swimming,F,23,FATAL,Y,Early morning
1099,2007,Unprovoked,BAHAMAS,Spearfishing,F,48,Thigh bitten,N,12h00
1100,2007,Unprovoked,USA,Surfing,F,27,"No injury to surfer, surfboard bitten",N,08h15
1101,2007,Unprovoked,EGYPT,Swimming,F,18,"Severe lacerations to lower left leg, ankle and foot",N,07h00
1103,2007,Unprovoked,USA,Surfing,F,27,Laceration to foot,N,
1107,2007,Unprovoked,USA,Surfing,F,27,"No injury, surfboard bitten",N,Early morning
1109,2007,Unprovoked,USA,Wading,F,58,Puncture wounds & 2-inch laceration to calf,N,11h45
1110,2007,Unprovoked,USA,Wading,F,36,Laceration to right big toe,N,13h42
1112,2007,Unprovoked,USA,Jumping,F,12,Tiny punctures to arm,N,Morning
1124,2007,Unprovoked,USA,Swimming,F,15,"Minor injury, small lacerations to right foot",N,17h35
1128,2007,Unprovoked,USA,Jumped into the water,F,19,Lacerations to arm,N,Afternoon
1138,2007,Unprovoked,USA,Wading,F,30,Lacerations to right thigh & left foot,N,13h00
1139,2007,Unprovoked,BAHAMAS,Spearfishing,F,48,"Lacerations to thumb, ring and pinky fingers of right hand ",N,11h00
1144,2007,Unprovoked,USA,Swimming,F,27,Hand bitten,N,10h00
1148,2007,Unprovoked,USA,Swimming,F,27,Right foot bitten,N,11h00
1150,2007,Unprovoked,USA,Wading,F,27,Lacerations to lower leg,N,17h00
1151,2007,Provoked,USA,Reviving a sedated shark,F,40,Left shin bitten by captive shark PROVOKED INCIDENT,N,Morning
1153,2007,Unprovoked,AUSTRALIA,Wading,F,38,Left heel & calf bitten,N,14h30
1155,2007,Unprovoked,USA,Surfing,F,21,Knee bitten,N,16h00
1158,2007,Unprovoked,USA,Snorkeling,F,63,Right foot bitten,N,08h30
1161,2007,Provoked,BAHAMAS,Shark tagging,F,20,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,
1162,2007,Unprovoked,AUSTRALIA,Swimming / jumping off a jetty,F,13,Lower leg & foot injured,N,18h00
1172,2007,Unprovoked,AUSTRALIA,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00
1174,2007,Unprovoked,AUSTRALIA,Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30
1201,2006,Unprovoked,BAHAMAS,Free diving / modeling,F,26,Puncture wounds to left foot,N,
1223,2006,Unprovoked,USA,Wading,F,59,Lacerations & punctures to left foot,N,12h00
1235,2006,Unprovoked,USA,Swimming,F,21,Ankle & foot bitten,N,13h30
1239,2006,Unprovoked,USA,Body boarding,F,14,Foot bitten,N,11h00
1241,2006,Unprovoked,USA,Spearfishing,F,28,Lacerations & puncture wound  to arm,N,
1243,2006,Unprovoked,USA,Body boarding,F,9,Right calf bitten,N,11h10
1246,2006,Unprovoked,USA,Surfing,F,22,2-inch puncture wounds on right foot,N,13h00
1250,2006,Unprovoked,USA,Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45
1257,2006,Unprovoked,USA,Scuba diving,F,30,Laceration to leg,N,15h30
1259,2006,Unprovoked,USA,Swimming,F,20,2 lacerations on lower right leg,N,16h30
1263,2006,Unprovoked,USA,Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,15h00
1270,2006,Unprovoked,USA,Surfing,F,28,5 puncture wounds in left calf,N,11h30
1274,2006,Unprovoked,USA,Standing,F,15,Deep laceration to right calf,N,16h30
1280,2006,Unprovoked,TONGA,Swimming,F,24,Severe bite to right leg FATAL,Y,18h00
1284,2006,Boat,ATLANTIC OCEAN,Competing in the Woodvale Atlantic Rowing Race,F,28,"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,
1288,2006,Unprovoked,AUSTRALIA,Swimming,F,21,FATAL,Y,17h15
1313,2005,Unprovoked,USA,Surfing,F,20,Leg bitten,N,10h30
1316,2005,Unprovoked,GRAND CAYMAN,Scuba diving,F,57,No injury ,N,15h00
1324,2005,Unprovoked,USA,Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30
1327,2005,Unprovoked,USA,Wading,F,18,Calf severely lacerated,N,15h20
1340,2005,Unprovoked,USA,Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00
1347,2005,Unprovoked,USA,Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00
1350,2005,Unprovoked,USA,Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15
1351,2005,Unprovoked,VANUATU,Swimming,F,7,FATAL,Y,Afternoon
1355,2005,Unprovoked,SOUTH KOREA,Diving,F,38,Knee bitten,N,
1356,2005,Unprovoked,USA,Boogie boarding,F,11,Foot lacerated,N,11h30 
1361,2005,Unprovoked,USA,Crouching in 2' of water,F,27,Right arm & torso bitten,N,18h30
1372,2005,Unprovoked,USA,Wading,F,70,Right lower leg bitten,N,
1375,2005,Unprovoked,USA,,F,27,Left calf injured,N,
1399,2004,Unprovoked,SOUTH AFRICA,Swimming,F,77,FATAL,Y,07h00
1417,2004,Unprovoked,USA,Jumping,F,17,Left knee & leg bitten,N,15h40
1418,2004,Unprovoked,USA,Walking,F,38,Heel bitten,N,17h30
1425,2004,Unprovoked,USA,Surfing,F,20,Right foot bitten,N,13h00
1427,2004,Unprovoked,USA,Surfing,F,28,Right calf bitten,N,17h30
1428,2004,Unprovoked,USA,Swimming,F,13,Right forearm & wrist lacerated,N,17h00
1429,2004,Unprovoked,USA,Swimming,F,19,Right foot bitten,N,16h30
1434,2004,Unprovoked,EGYPT,Snorkeling,F,27,Hand severed,N,
1438,2004,Unprovoked,USA,In water with diving seabirds,F,27,Foot bitten,N,
1447,2004,Unprovoked,USA,,F,9,Foot bitten,N,Afternoon
1448,2004,Unprovoked,BRAZIL,Wading,F,24,Hips & thighs bitten,N,16h00
1465,2004,Unprovoked,USA,Snorkeling,F,27,Lacerations to left foot,N,10h00
1494,2003,Unprovoked,USA,Surfing,F,35,Severe abrasion to left lateral calf,N,15h30
1503,2003,Unprovoked,USA,Surfing,F,13,Left arm severed below shoulder,N,07h30
1508,2003,Unprovoked,USA,Surfing,F,27,Minor puncture wounds in hand,N,15h00
1512,2003,Unprovoked,USA,Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55
1526,2003,Unprovoked,USA,"Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15
1531,2003,Unprovoked,USA,Wading,F,15,Heel & sole of left foot,N,14h37
1542,2003,Unprovoked,USA,Standing,F,12,2 lacerations to the thigh,N,Afternoon
1552,2003,Unprovoked,USA,Walking,F,9,Laceration to right lower leg,N,12h20
1569,2003,Provoked,USA,Petting captive sharks,F,27,Hand nipped PROVOKED INCIDENT,N,
1577,2003,Unprovoked,AUSTRALIA,Surfing,F,27,"No injury, but her surfboard was bitten",N,13h00
1578,2002,Unprovoked,AUSTRALIA,Snorkeling,F,18,Left arm lacerated,N,
1586,2002,Unprovoked,USA,Swimming,F,34,Right shoulder forarm & wrist bitten,N,10h45
1587,2002,Unprovoked,TURKS & CAICOS,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,08h40
1591,2002,Unprovoked,USA,Swimming,F,60,Left foot bitten ,N,11h56
1610,2002,Unprovoked,USA,Swimming,F,29,Both arms & leg bitten,N,17h00
1617,2002,Unprovoked,USA,Swimming,F,15,Calf bitten,N,17h00
1621,2002,Unprovoked,USA,Standing,F,9,"Calf, foot & hand bitten",N,17h15
1623,2002,Unprovoked,USA,Swimming,F,11,Small lacerations on right lower leg,N,14h25
1650,2002,Unprovoked,USA,Wading,F,11,Foot bitten,N,10h10
1671,2001,Unprovoked,AUSTRALIA,Snorkeling,F,20,Lacerations to right forearm & shoulder injured,N,13h00
1684,2001,Unprovoked,USA,Swimming,F,23,Left buttock & foot  severed,N,18h00
1688,2001,Unprovoked,USA,Standing,F,29,Punctures & lacerations on elbow & forearm,N,13h30
1695,2001,Unprovoked,USA,Surfing,F,17,Lacerations to lower leg,N,13h06
1696,2001,Unprovoked,USA,Surfing,F,17,Left foot lacerated,N,11h20
1702,2001,Unprovoked,USA,,F,27,Toe bitten,N,
1705,2001,Unprovoked,USA,,F,27,Survived,N,
1707,2001,Unprovoked,USA,,F,27,2 bites behind knee,N,
1718,2001,Unprovoked,USA,Wading,F,29,3 puncture wounds on each side of her left  hand,N,Shortly before 13h00
1743,2001,Unprovoked,BRAZIL,Batin,F,12,Left thigh bitten,N,
1754,2001,Unprovoked,CUBA,Swimming,F,55,Left arm bitten,N,
1763,2000,Unprovoked,NEW ZEALAND,Surfing,F,27,FATAL,Y,
1773,2000,Unprovoked,USA,Swimming / snorkeling,F,56,Right side of back / torso lacerated,N,11h20
1786,2000,Unprovoked,USA,Surfing,F,26,Puncture wounds on knee,N,12h00
1800,2000,Unprovoked,USA,Standing,F,44,Severely bitten on lower leg ,N,16h45
1805,2000,Unprovoked,USA,Snorkeling,F,45,Leg pinched,N,
1815,2000,Unprovoked,USA,Playing,F,12,Calf lacerated,N,16h30
1816,2000,Unprovoked,USA,Wading,F,20,Left inner thigh,N,18h00
1817,2000,Unprovoked,USA,"Spearfishing, holding mesh bag with speared fish",F,55,Lower right calf lacerated,N,12h00
1818,2000,Unprovoked,USA,Wading,F,13,Left calf & hand lacerated,N,17h00
1819,2000,Unprovoked,USA,Standing,F,19,Left thigh lacerated,N,14h45
1838,2000,Unprovoked,USA,Boogie boarding,F,14,Right knee lacerated,N,11h15
1856,1999,Unprovoked,NEW ZEALAND,Swimming,F,13,Arm bitten,N,
1857,1999,Unprovoked,NEW ZEALAND,Bathing,F,12,A cut on her hand,N,
1863,1999,Unprovoked,USA,Swimming,F,51,"Buttock bitten, hands lacerated",N,17h20
1875,1999,Unprovoked,USA,Wading,F,61,Thigh (posterior) bitten,N,
1876,1999,Unprovoked,USA,Wading,F,10,Toes lacerated,N,Afternoon
1892,1999,Unprovoked,USA,Wading in school of baitfish,F,30,Lacerations knee to ankle,N,Afternoon
1900,1999,Unprovoked,MAURITIUS,Swimming,F,41,Thigh bitten,N,06h00
1905,1999,Unprovoked,USA,"Swimming, towing a kayak",F,29,"FATAL, arm bitten ",Y,20h30
1909,1999,Unprovoked,USA,Swimming near pod of whales,F,29,Tissue removed knee to thigh,N,10h45
1921,1998,Unprovoked,AUSTRALIA,Standing,F,21,2 puncture wounds in left leg,N,15h30
1924,1998,Unprovoked,AUSTRALIA,Surfing,F,21,Leg injured,N,Afternoon
1931,1998,Unprovoked,USA,Swimming,F,17,Minor lacerations on right ankle & foot,N,Afternoon
1964,1998,Unprovoked,USA,Swimming,F,14,Ankle & foot bitten,N,14h30
1967,1998,Unprovoked,MOZAMBIQUE,Towing rubber dinghy,F,35,"FATAL, torso & abdomen bitten, forearm severed ",Y,15h05
1997,1997,Unprovoked,USA,Swimming,F,14,Laceration & 3 puncture wounds to anterior right thigh,N,08h30
2007,1997,Unprovoked,USA,Floating on raft,F,12,Small lacerations on right lower leg,N,14h16
2012,1997,Unprovoked,USA,Wading,F,10,Wrist & am bitten,N,
2023,1997,Unprovoked,FIJI,Snorkeling,F,47,"Bitten on inner thigh, leg surgically amputated",N,14h30
2033,1997,Unprovoked,AUSTRALIA,Swimming,F,21,Left leg biten,N,
2037,1997,Boat,AUSTRALIA,Rowing ,F,49,"Bruised, when shark struck scull & catapulted her into the water",N,
2045,1996,Unprovoked,NEW CALEDONIA,Attempting to attract dolphins,F,27,Hand bitten,N,
2065,1996,Unprovoked,USA,Standing,F,8,Survived,N,19h30
2072,1996,Unprovoked,USA,Standing,F,63,Laceration on left foot,N,14h00
2074,1996,Unprovoked,USA,Body surfing,F,24,"Lacerations to left shin, heel & foot",N,Afternoon
2084,1996,Unprovoked,AUSTRALIA,Swimming,F,16,Puncture wounds on leg ,N,
2086,1996,Unprovoked,AUSTRALIA,Swimming breast stoke,F,47,Left arm & leg lacerated,N,07h00
2089,1996,Provoked,USA,Swimming in fish tank,F,32,5 punctures to hand from captive shark PROVOKED INCIDENT,N,
2096,1996,Unprovoked,AUSTRALIA,Swimming,F,13,Lacerations to left calf,N,
2110,1995,Unprovoked,AUSTRALIA,Playing / standing,F,15,Laceration to thigh,N,14h30
2116,1995,Unprovoked,USA,Swimming,F,19,Left elbow and bicep bitten,N,15h40
2135,1995,Unprovoked,USA,"""Riding waves on a board""",F,14,Left foot bitten,N,
2144,1995,Unprovoked,USA,Swimming,F,7,Right foot bitten,N,
2149,1995,Provoked,USA,Fishing,F,32,Minor laceration to leg from a hooked shark PROVOKED INCIDENT,N,
2152,1995,Unprovoked,USA,Kayaking,F,27,Minor injuries,N,
2156,1995,Unprovoked,USA,Swimming,F,10,Leg bitten,N,14h00
2158,1995,Unprovoked,HONG KONG,Swimming,F,45,"FATAL, left  leg & forearm severed",Y,
2164,1995,Unprovoked,SOUTH KOREA,Diving for abalone,F,44,Right leg severed FATAL,Y,
2169,1995,Unprovoked,AUSTRALIA,Surf skiing,F,27,"No injury, knocked off board by shark",N,
2189,1994,Unprovoked,USA,"Surfing, paddling seawards",F,34,Right thigh & board bitten,N,09h45
2193,1994,Provoked,USA,Wading,F,9,Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT,N,13h00
2195,1994,Unprovoked,USA,Swimming,F,30,Right side of abdomen & left hand bitten,N,
2198,1994,Unprovoked,USA,Jumped off rocks into white water,F,12,Left calf bitten,N,11h15
2211,1994,Unprovoked,USA,Wading,F,36,Lower left calf & ankle  lacerated,N,
2219,1994,Unprovoked,CHILE,Swimming alongside NOAA research vessel Discoverer,F,19,Leg severed mid-thigh,N,11h58
2234,1994,Unprovoked,HONG KONG,Playing volleyball with friends,F,27,Both legs lacerated,N,
2242,1993,Unprovoked,USA,Swimming,F,26,Thigh & hand lacerated,N,10h00
2243,1993,Boat,USA,Kayaking,F,34,"No Injury, Kayak holed",N,14h30
2256,1993,Unprovoked,USA,Riding floatation device,F,19,Severe lacerations to abdomen & thighs,N,10h00
2262,1993,Unprovoked,USA,Playing,F,12,Right knee bitten,N,18h12
2266,1993,Unprovoked,MEXICO,Scuba diving,F,42,FATAL,Y,19h30
2269,1993,Unprovoked,AUSTRALIA,Scuba diving at seal colony,F,34,FATAL,Y,10h55
2271,1993,Unprovoked,USA,Swimming,F,60,"No injury, bumped by shark",N,Dusk
2272,1993,Unprovoked,HONG KONG,,F,27,"Missing, believed taken by a shark",Y,
2273,1993,Unprovoked,SOMALIA,Swimming,F,27,FATAL,Y,
2309,1992,Unprovoked,USA,Standing,F,18,Right ankle & calf bitten,N,15h00
2312,1992,Unprovoked,BAHAMAS,"Snorkeling, carrying a speared fish in her hand",F,34,Left hand bitten,N,
2319,1992,Unprovoked,USA,Standing,F,42,Lacerations to left foot,N,12h33
2324,1992,Unprovoked,VANUATU,Swimming,F,21,Right leg was bitten above and below the knee and an artery was punctured,N,
2332,1992,Unprovoked,USA,"Surfing, paddling seawards",F,36,"Foot bitten, crescent of bitemarks in both sides of board",N,>06h45
2349,1991,Unprovoked,USA,Snorkeling,F,41,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,09h00
2350,1991,Unprovoked,USA,Snorkeling,F,27,Right calf abraded,N,09h00
2360,1991,Unprovoked,USA,Wading,F,10,Bite to left thigh & calf,N,16h35
2362,1991,Boat,ITALY,Canoeing,F,40,No Injury to occupant; canoe bitten,N,15h30
2373,1991,Unprovoked,HONG KONG,Swimming ,F,65,Abdomen bitten & leg severed  FATAL,Y,Between 06h00 & 07h20
2388,1990,Unprovoked,USA,Scuba diving (but on surface),F,27,Leg bitten,N,15h00
2404,1990,Unprovoked,USA,Wading,F,53,10-inch laceration to right foot,N,Evening
2406,1990,Unprovoked,SOUTH AFRICA,Scuba diving (but on surface),F,21,"FATAL, thigh bitten  ",Y,15h45
2409,1990,Unprovoked,AUSTRALIA,Snorkeling,F,30,Lacerations,N,
2431,1989,Unprovoked,AUSTRALIA,Swimming,F,31,Puncture marks to right calf,N,
2447,1989,Unprovoked,BAHAMAS,Spearfishing,F,31,Severe hand and arm injuries; right hand surgically amputated,N,
2453,1989,Unprovoked,USA,Playing ,F,9,Leg bitten,N,
2471,1989,Unprovoked,USA,Kayaking,F,24,"FATAL, thigh bitten, hands lacerated  ",Y,10h15
2476,1989,Unprovoked,PAPUA NEW GUINEA,"Scuba diving, hand feeding sharks",F,27,Thigh & calf bitten,N,
2488,1988,Unprovoked,USA,Wading,F,23,Leg lacerated,N,
2490,1988,Unprovoked,USA,Walking,F,27,Dennis' hand injured; Ann's right forearm bitten,N,15h45
2499,1988,Unprovoked,USA,Swimming,F,15,Punctures & deep scratches to foot & buttock,N,10h30
2508,1988,Unprovoked,SOUTH KOREA,Shell diving,F,38,FATAL,Y,
2518,1988,Unprovoked,USA,Standing ,F,30,Foot bitten,N,
2524,1988,Unprovoked,SOUTH AFRICA,Lying atop surfboard,F,15,"Leg bitten, surgically amputated",N,07h40
2547,1987,Unprovoked,USA,Body surfing,F,32,Left foot bitten,N,18h30
2548,1987,Unprovoked,USA,Wading,F,16,Puncture wounds to right foot,N,14h30
2557,1987,Unprovoked,USA,Swimming,F,16,Right arm severed above elbow,N,18h00
2579,1986,Unprovoked,USA,Swimming,F,6,Hip & thigh bitten,N,18h00
2588,1986,Unprovoked,AUSTRALIA,Scuba diving,F,27,Survived,N,
2624,1985,Unprovoked,USA,Wading,F,13,Right calf bitten,N,17h00
2627,1985,Unprovoked,USA,Playing in knee-deep water,F,10,2/3rd of left calf removed,N,
2632,1985,Unprovoked,AUSTRALIA,Free diving for scallops,F,33,FATAL,Y,12h30
2649,1984,Unprovoked,USA,Surfing or body surfing,F,23,"9"" laceration to right forearm ",N,13h30
2663,1984,Unprovoked,USA,Swimming,F,13,Lacerations on right foot,N,14h30
2664,1984,Unprovoked,USA,Swimming,F,18,Legs severely lacerated,N,12h00
2669,1984,Unprovoked,USA,Towing her sister on plastic ski board,F,13,Foot bitten,N,17h00
2681,1984,Unprovoked,SOUTH AFRICA,,F,14,Remains recovered 1-4-1984 showed evidence of defense wounds,Y,
2698,1983,Unprovoked,USA,Swimming,F,14,Foot bitten,N,Morning
2700,1983,Unprovoked,USA,Diving,F,22,Right leg severely bitten,N,Morning
2702,1983,Sea Disaster,AUSTRALIA,Swimming from the New Venture ,F,21,"FATAL, shark seized her by the chest and took her underwater ",Y,04h00
2706,1983,Unprovoked,USA,Windsurfing,F,39,Left ankle nipped (3 punctures wounds),N,Afternoon
2744,1982,Unprovoked,SOUTH AFRICA,Swimming,F,18,"Left knee, lower leg & foot bitten",N,12h00
2751,1982,Unprovoked,USA,Swimming,F,19,Laceration to left leg,N,14h30
2756,1982,Unprovoked,USA,,F,8,Foot bitten,N,11h00
2765,1982,Unprovoked,USA,Wading,F,27,Left leg bitten,N,
2766,1982,Unprovoked,USA,Swimming,F,27,Right foot bitten,N,
2767,1982,Unprovoked,USA,Swimming,F,75,Shark-bitten body found floating 1.5 miles offshore. Bruises suggested she may have been bitten by the shark before drowning,Y,Prior to 10h37
2793,1981,Unprovoked,USA,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",F,19,FATAL,Y,Daybreak
2795,1981,Unprovoked,USA,Swimming,F,16,"Foot bitten between arch & big toe, no stitches required",N,
2802,1981,Unprovoked,SOUTH KOREA,Shell diving,F,27,FATAL,Y,12h30
2832,1980,Unprovoked,USA,Wading,F,10,Bitten behind knee & lower leg,N,
2836,1980,Unprovoked,USA,Standing,F,22,"No injury, shark bit her bathing suit",N,Afternoon
2839,1980,Provoked,USA,Scuba diving,F,44,Laceration to lower leg   PROVOKED INCIDENT,N,
2843,1980,Unprovoked,MEXICO,Body surfing,F,13,Right calf bitten,N,Early afternoon
2846,1980,Sea Disaster,PHILIPPINES,Sinking of the ferryboat Bongbong 1,F,27,FATAL,Y,
2906,1978,Unprovoked,USA,Surfing,F,27,Foot bitten,N,
2907,1978,Unprovoked,VANUATU,Swimming,F,27,FATAL,Y,
