,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
4206,1951,Unprovoked,ITALY,Swimming,F,21,FATAL,Y,
4210,1951,Unprovoked,GREECE,Swimming,F,16,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",Y,
4285,1949,Unprovoked,AUSTRALIA,Bathing,F,22,"Left arm severed above elbow, recovered 5 days afterwards from sharks gut",N,
4314,1948,Unprovoked,IRAN,Bathing or washing,F,60,"FATAL, left arm & left buttock severed ",Y,
4383,1946,Unprovoked,AUSTRALIA,Swimming,F,14,"FATAL, left leg severed, right leg injured  ",Y,
4387,1946,Unprovoked,PERSIAN GULF,Bitten after dhow shipwrecked,F,27,"Abdomen bitten, but she survived. Most of the 40 others that survived the wreck, were taken by sharks",N,
4402,1945,Unprovoked,PANAMA,Bathing with her mother,F,81,Foot bitten,N,
4419,1944,Unprovoked,USA,Bathing,F,15,Left calf bitten,N,
4463,1942,Unprovoked,AUSTRALIA,Dog paddling or standing,F,15,"FATAL, legs bitten ",Y,10h50
4491,1942,Unprovoked,AUSTRALIA,Swimming,F,28,"FATAL, bitten in two  ",Y,15h00
4550,1940,Unprovoked,NEW GUINEA,,F,27,FATAL,Y,
4574,1939,Sea Disaster,SRI LANKA,She was on a ship that was torpedoes & was in the water awaiting rescue,F,27,Leg severely bitten,N,
4656,1936,Provoked,AUSTRALIA,Touching the mouth of a supposedly dead shark,F,27,Finger bitten PROVOKED INCIDENT,N,
4673,1935,Unprovoked,CROATIA,Swimming,F,22,FATAL,Y,15h00
4681,1935,Unprovoked,,Diving,F,27,Laceration to left leg,N,
4695,1934,Unprovoked,AUSTRALIA,Splashing,F,13,Hands severed,N,20h15
4699,1934,Unprovoked,AUSTRALIA,Bathing,F,38,FATAL,Y,
4706,1934,Unprovoked,CROATIA,Swimming,F,18,FATAL,Y,
4728,1933,Unprovoked,USA,Swimming,F,27,Foot bitten,N,
4732,1933,Unprovoked,USA,Standing,F,27,Left calf bitten,N,
4759,1932,Unprovoked,FIJI,Free diving with goggles,F,27,FATAL,Y,
4763,1932,Unprovoked,PHILIPPINES,Standing,F,27,"FATAL, torso bitten ",Y,
