Year,Month,Type,Fatal,Sex,Country,Case Number,Decade
1950,10,Unprovoked,N,M,AUSTRALIA,1950.10.04,Años 40
1950,10,Unprovoked,N,M,USA,1950.10.08,Años 40
1950,11,Boating,N,M,AUSTRALIA,1950.11.12,Años 40
1950,6,Sea Disaster,Y,M,USA,1950.06.06,Años 40
1950,12,Unprovoked,Y,M,AUSTRALIA,1950.12.16,Años 40
1950,12,Unprovoked,N,UNKNOWN,AUSTRALIA,1950.12.19.R,Años 40
1950,12,Unprovoked,N,M,AUSTRALIA,1950.12.31,Años 40
1950,8,Provoked,N,M,EL SALVADOR,1950.08.06,Años 40
1950,5,Unprovoked,N,M,SOUTH AFRICA,1950.05.24,Años 40
1950,11,Unprovoked,N,M,AUSTRALIA,1950.11.25,Años 40
1950,4,Sea Disaster,Y,M,AUSTRALIA,1950.04.09.b,Años 40
1950,5,Boating,N,M,ITALY,1950.05.01,Años 40
1950,6,Unprovoked,N,M,FIJI,1950.00.00.a,Años 40
1950,6,Unprovoked,N,M,NEW CALEDONIA,1950.00.00.b,Años 40
1950,6,Unprovoked,Y,M,SINGAPORE,1950.00.00.d,Años 40
1950,6,Unprovoked,Y,UNKNOWN,GREECE,1950.00.00.e,Años 40
1950,6,Unprovoked,N,M,PANAMA,1950.00.00.f,Años 40
1950,6,Unprovoked,N,M,USA,1950.00.00.h,Años 40
1950,6,Unprovoked,Y,M,INDONESIA,1950.00.00.i,Años 40
1950,6,Unprovoked,Y,M,LIBERIA,1950.00.00.j,Años 40
1950,6,Unprovoked,N,M,NEW CALEDONIA,1950.00.00.c,Años 40
1950,6,Unprovoked,N,M,SRI LANKA,1950.00.00.l,Años 40
1950,6,Boating,N,M,AUSTRALIA,1950.00.00.m,Años 40
1950,1,Unprovoked,N,M,AUSTRALIA,1950.01.12.R,Años 40
1950,2,Unprovoked,Y,M,SOUTH AFRICA,1950.02.11,Años 40
1950,2,Unprovoked,N,M,AUSTRALIA,1950.02.18.R,Años 40
1950,3,Unprovoked,Y,M,SOUTH AFRICA,1950.03.08,Años 40
1950,3,Unprovoked,N,M,SOUTH AFRICA,1950.03.26,Años 40
1950,4,Unprovoked,N,M,SOUTH AFRICA,1950.04.09.a,Años 40
1950,6,Unprovoked,N,M,SRI LANKA,1950.00.00.k,Años 40
1951,8,Unprovoked,N,M,GREECE,1951.08.17.b,Años 50
1951,9,Unprovoked,Y,M,AUSTRALIA,1951.09.02-R,Años 50
1951,9,Unprovoked,N,M,ITALY,1951.09.03.R,Años 50
1951,9,Unprovoked,Y,F,ITALY,1951.09.29,Años 50
1951,10,Unprovoked,Y,M,AUSTRALIA,1951.10.22,Años 50
1951,11,Unprovoked,N,M,SOUTH AFRICA,1951.11.29,Años 50
1951,11,Unprovoked,N,M,SOUTH AFRICA,1951.11.28.a,Años 50
1951,11,Unprovoked,N,M,JAMAICA,1951.11.28.b,Años 50
1951,12,Unprovoked,Y,M,AUSTRALIA,1951.12.06,Años 50
1951,12,Provoked,N,M,AUSTRALIA,1951.12.16,Años 50
1951,12,Unprovoked,Y,M,MOZAMBIQUE,1951.12.21,Años 50
1951,8,Unprovoked,Y,F,GREECE,1951.08.17.a,Años 50
1951,11,Unprovoked,Y,M,PHILIPPINES,1951.11.23.R,Años 50
1951,8,Unprovoked,N,M,ITALY,1951.08.16.R,Años 50
1951,6,Unprovoked,Y,M,USA,1951.06.25,Años 50
1951,7,Unprovoked,N,M,USA,1951.07.19.R,Años 50
1951,8,Unprovoked,Y,UNKNOWN,COLUMBIA,1951.08.00,Años 50
1951,6,Unprovoked,Y,UNKNOWN,NEW GUINEA,1951.00.00,Años 50
1951,1,Unprovoked,Y,M,SOUTH AFRICA,1951.01.21,Años 50
1951,2,Unprovoked,N,M,AUSTRALIA,1951.02.01,Años 50
1951,2,Unprovoked,N,M,SOUTH AFRICA,1951.02.19,Años 50
1951,3,Unprovoked,N,M,SOUTH AFRICA,1951.03.15,Años 50
1951,2,Unprovoked,N,M,AUSTRALIA,1951.02.03,Años 50
1951,3,Provoked,N,M,AUSTRALIA,1951.03.26,Años 50
1951,5,Provoked,N,UNKNOWN,ITALY,1951.05.09.R,Años 50
1951,5,Unprovoked,N,M,MEXICO,1951.05.22,Años 50
1951,6,Unprovoked,N,M,FRENCH POLYNESIA,1951.06.00,Años 50
1951,7,Unprovoked,N,M,PACIFIC OCEAN,1951.07.11,Años 50
1951,3,Unprovoked,N,M,AUSTRALIA,1951.03.24,Años 50
1952,8,Provoked,Y,UNKNOWN,ITALY,1952.08.05,Años 50
1952,7,Provoked,N,M,USA,1952.07.27.b,Años 50
1952,7,Provoked,N,M,USA,1952.07.27.c,Años 50
1952,7,Boating,N,UNKNOWN,USA,1952.07.27.d,Años 50
1952,10,Unprovoked,N,M,PAPUA NEW GUINEA,1952.10.12,Años 50
1952,7,Sea Disaster,Y,M,USA,1952.07.27.a,Años 50
1952,12,Unprovoked,Y,M,USA,1952.12.07,Años 50
1952,8,Unprovoked,Y,M,USA,1952.08.03,Años 50
1952,8,Provoked,N,M,ITALY,1952.08.04,Años 50
1952,12,Unprovoked,N,M,AUSTRALIA,1952.12.21,Años 50
1952,12,Unprovoked,N,M,AUSTRALIA,1952.12.24,Años 50
1952,12,Unprovoked,Y,M,USA,1952.12.03,Años 50
1952,7,Provoked,N,M,USA,1952.07.13,Años 50
1952,3,Unprovoked,N,M,NETHERLANDS ANTILLES,1952.03.30,Años 50
1952,5,Unprovoked,N,M,USA,1952.05.27,Años 50
1952,7,Unprovoked,N,M,USA,1952.07.05,Años 50
1952,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1952.00.00.b,Años 50
1952,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1952.00.00.c,Años 50
1952,6,Unprovoked,Y,M,LIBERIA,1952.00.00.e,Años 50
1952,1,Unprovoked,N,M,AUSTRALIA,1952.01.07,Años 50
1952,6,Unprovoked,N,M,PAPUA NEW GUINEA,1952.00.00.d,Años 50
1952,6,Unprovoked,Y,M,USA,1952.00.00.a,Años 50
1952,4,Provoked,N,M,SUDAN,1952.04.00,Años 50
1952,4,Boating,N,UNKNOWN,AUSTRALIA,1952.04.06,Años 50
1952,5,Unprovoked,N,M,INDIA,1952.05.00,Años 50
1952,5,Unprovoked,N,M,AUSTRALIA,1952.05.07.R,Años 50
1952,1,Provoked,N,M,MAURITIUS,1952.01.23,Años 50
1953,9,Unprovoked,N,M,USA,1953.09.03.R,Años 50
1953,7,Sea Disaster,N,UNKNOWN,PACIFIC OCEAN,1953.07.11,Años 50
1953,7,Provoked,N,M,USA,1953.07.16,Años 50
1953,7,Unprovoked,Y,M,USA,1953.07.26,Años 50
1953,7,Unprovoked,Y,F,MEXICO,1953.07.31,Años 50
1953,9,Unprovoked,N,M,USA,1953.09.02,Años 50
1953,9,Sea Disaster,N,M,USA,1953.09.18,Años 50
1953,12,Unprovoked,N,M,SOUTH AFRICA,1953.12.22,Años 50
1953,9,Unprovoked,Y,M,PHILIPPINES,1953.09.27,Años 50
1953,10,Provoked,N,M,AUSTRALIA,1953.10.00,Años 50
1953,12,Unprovoked,N,M,AUSTRALIA,1953.12.00,Años 50
1953,12,Unprovoked,N,M,AUSTRALIA,1953.12.13,Años 50
1953,7,Boating,N,M,CANADA,1953.07.09,Años 50
1953,12,Unprovoked,N,F,SOUTH AFRICA,1953.12.30,Años 50
1953,9,Unprovoked,N,M,USA,1953.09.20.R,Años 50
1953,7,Unprovoked,N,M,USA,1953.07.04,Años 50
1953,7,Unprovoked,N,F,USA,1953.07.15,Años 50
1953,6,Provoked,N,M,AUSTRALIA,1953.06.00,Años 50
1953,7,Unprovoked,N,M,PANAMA,1953.07.00,Años 50
1953,6,Unprovoked,N,F,USA,1953.00.00.a,Años 50
1953,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1953.00.00.b,Años 50
1953,6,Unprovoked,N,M,AUSTRALIA,1953.00.00.c,Años 50
1953,1,Boating,N,UNKNOWN,AUSTRALIA,1953.01.08,Años 50
1953,1,Provoked,N,M,AUSTRALIA,1953.01.20,Años 50
1953,2,Unprovoked,N,M,AUSTRALIA,1953.02.15,Años 50
1953,2,Provoked,N,M,USA,1953.02.18,Años 50
1953,2,Unprovoked,N,M,AUSTRALIA,1953.02.00,Años 50
1953,3,Sea Disaster,Y,UNKNOWN,INDIAN OCEAN,1953.03.00.c,Años 50
1953,3,Unprovoked,N,M,AUSTRALIA,1953.03.19.R,Años 50
1953,3,Unprovoked,N,M,AUSTRALIA,1953.03.22,Años 50
1953,4,Unprovoked,N,M,IRAN,1953.04.00.a,Años 50
1953,4,Unprovoked,N,M,IRAN,1953.04.00.b,Años 50
1953,4,Unprovoked,N,F,USA,1953.04.04,Años 50
1953,4,Boating,N,UNKNOWN,AUSTRALIA,1953.04.07,Años 50
1953,3,Unprovoked,Y,M,PAPUA NEW GUINEA,1953.03.00.a,Años 50
1954,9,Unprovoked,Y,M,AUSTRALIA,1954.09.04,Años 50
1954,7,Boating,UNKNOWN,M,ITALY,1954.07.27,Años 50
1954,7,Unprovoked,Y,M,SINGAPORE,1954.07.28,Años 50
1954,7,Unprovoked,N,M,ECUADOR,1954.07.30,Años 50
1954,8,Provoked,N,M,CUBA,1954.08.12.a,Años 50
1954,8,Provoked,N,M,CUBA,1954.08.12.b,Años 50
1954,8,Unprovoked,N,M,ITALY,1954.08.19,Años 50
1954,9,Unprovoked,Y,M,HONG KONG,1954.09.15,Años 50
1954,12,Unprovoked,Y,M,AMERICAN SAMOA,1954.12.29,Años 50
1954,10,Boating,UNKNOWN,UNKNOWN,CROATIA,1954.10.02.b,Años 50
1954,10,Provoked,N,M,UNITED KINGDOM,1954.10.06,Años 50
1954,10,Sea Disaster,Y,M,USA,1954.10.07,Años 50
1954,11,Unprovoked,N,M,USA,1954.11.20,Años 50
1954,12,Unprovoked,N,M,SOUTH AFRICA,1954.12.04,Años 50
1954,12,Unprovoked,Y,M,PAPUA NEW GUINEA,1954.12.09,Años 50
1954,12,Unprovoked,Y,M,AUSTRALIA,1954.12.11,Años 50
1954,7,Unprovoked,Y,M,THE BALKANS,1954.07.15,Años 50
1954,9,Unprovoked,N,M,USA,1954.09.21,Años 50
1954,7,Unprovoked,N,UNKNOWN,USA,1954.07.04.R,Años 50
1954,6,Unprovoked,Y,M,IRAN,1954.00.00.e,Años 50
1954,7,Unprovoked,Y,M,GREECE,1954.07.02.R,Años 50
1954,6,Unprovoked,N,M,IRAN,1954.00.00 f,Años 50
1954,7,Unprovoked,N,M,BERMUDA,1954.07.03,Años 50
1954,6,Unprovoked,Y,F,IRAN,1954.00.00 g,Años 50
1954,6,Unprovoked,N,M,PAPUA NEW GUINEA,1954.00.00.a,Años 50
1954,6,Unprovoked,N,M,USA,1954.00.00.b,Años 50
1954,6,Unprovoked,Y,M,MEXICO,1954.00.00.c,Años 50
1954,1,Unprovoked,N,M,PAPUA NEW GUINEA,1954.01.15,Años 50
1954,1,Unprovoked,N,M,ARGENTINA,1954.01.22.a,Años 50
1954,6,Unprovoked,N,M,MARTINIQUE,1954.00.00.d,Años 50
1954,1,Unprovoked,N,M,AUSTRALIA,1954.01.30,Años 50
1954,2,Unprovoked,Y,M,AUSTRALIA,1954.02.27,Años 50
1954,6,Provoked,N,M,USA,1954.06.29,Años 50
1954,4,Provoked,N,M,SUDAN?,1954.04.00,Años 50
1954,5,Unprovoked,N,UNKNOWN,PAPUA NEW GUINEA,1954.05.00,Años 50
1954,5,Unprovoked,Y,M,PAPUA NEW GUINEA,1954.05.26.R,Años 50
1954,6,Unprovoked,Y,M,HONG KONG,1954.06.00,Años 50
1954,1,Unprovoked,N,M,AUSTRALIA,1954.01.22.b,Años 50
1954,6,Unprovoked,N,M,AUSTRALIA,1954.06.27,Años 50
1955,8,Unprovoked,Y,F,CROATIA,1955.08.26,Años 50
1955,8,Unprovoked,Y,M,AMERICAN SAMOA,1955.08.08,Años 50
1955,8,Boating,N,UNKNOWN,AUSTRALIA,1955.08.00.a,Años 50
1955,8,Unprovoked,N,M,NORTH ATLANTIC OCEAN,1955.08.00.c,Años 50
1955,8,Provoked,N,M,USA,1955.08.30.a,Años 50
1955,7,Unprovoked,Y,M,JAPAN,1955.07.25,Años 50
1955,8,Provoked,N,M,USA,1955.08.04.R,Años 50
1955,8,Unprovoked,Y,M,JAPAN,1955.08.30.b,Años 50
1955,12,Boating,N,UNKNOWN,USA,1955.12.11,Años 50
1955,9,Unprovoked,N,M,USA,1955.09.04,Años 50
1955,9,Unprovoked,N,M,USA,1955.09.20,Años 50
1955,9,Sea Disaster,N,M,NORTH PACIFIC OCEAN,1955.09.23.a,Años 50
1955,9,Sea Disaster,Y,M,NORTH PACIFIC OCEAN,1955.09.23.b,Años 50
1955,10,Provoked,N,M,AUSTRALIA,1955.10.16,Años 50
1955,11,Unprovoked,N,M,PAPUA NEW GUINEA,1955.11.00,Años 50
1955,11,Unprovoked,N,M,PAPUA NEW GUINEA,1955.11.16,Años 50
1955,12,Boating,N,UNKNOWN,AUSTRALIA,1955.12.31,Años 50
1955,7,Unprovoked,N,M,USA,1955.07.23,Años 50
1955,9,Unprovoked,N,M,USA,1955.09.03,Años 50
1955,7,Unprovoked,Y,M,MONTENEGRO,1955.07.15,Años 50
1955,2,Unprovoked,N,M,USA,1955.02.10,Años 50
1955,5,Provoked,N,M,USA,1955.05.08,Años 50
1955,7,Unprovoked,Y,F,YEMEN,1955.07.07,Años 50
1955,6,Unprovoked,N,M,PAPUA NEW GUINEA,1955.00.00.a,Años 50
1955,6,Unprovoked,N,M,COLUMBIA,1955.00.00.b,Años 50
1955,6,Unprovoked,Y,M,MADAGASCAR,1955.00.00.e,Años 50
1955,6,Provoked,N,M,CUBA,1955.00.00.d,Años 50
1955,1,Unprovoked,Y,M,SOUTH AFRICA,1955.01.15,Años 50
1955,1,Unprovoked,Y,M,AUSTRALIA,1955.01.17,Años 50
1955,2,Boating,N,UNKNOWN,AUSTRALIA,1955.02.00,Años 50
1955,2,Boating,N,UNKNOWN,AUSTRALIA,1955.02.01.,Años 50
1955,6,Unprovoked,UNKNOWN,UNKNOWN,USA,1955.00.00.f,Años 50
1955,2,Unprovoked,Y,M,AUSTRALIA,1955.02.05,Años 50
1955,2,Unprovoked,N,M,USA,1955.02.06,Años 50
1955,3,Provoked,N,M,AUSTRALIA,1955.03.00.a,Años 50
1955,3,Unprovoked,N,M,PAPUA NEW GUINEA,1955.03.00.b,Años 50
1955,3,Unprovoked,Y,M,AUSTRALIA,1955.03.09,Años 50
1955,4,Unprovoked,N,M,USA,1955.04.00,Años 50
1955,4,Unprovoked,N,M,PAPUA NEW GUINEA,1955.04.12,Años 50
1955,4,Unprovoked,N,M,PAPUA NEW GUINEA,1955.04.13.R,Años 50
1955,2,Unprovoked,N,M,INDIA,1955.02.04,Años 50
1955,5,Unprovoked,N,M,PAPUA NEW GUINEA,1955.05.00,Años 50
1956,8,Provoked,N,M,AUSTRALIA,1956.08.15.b,Años 50
1956,8,Unprovoked,N,M,USA,1956.08.15.a,Años 50
1956,8,Unprovoked,N,M,SOUTH AFRICA,1956.08.01,Años 50
1956,8,Provoked,Y,M,UNITED KINGDOM,1956.08.00.e,Años 50
1956,8,Unprovoked,N,M,PAPUA NEW GUINEA,1956.08.00.a,Años 50
1956,8,Boat,N,UNKNOWN,MALTA,1956.08.00.c,Años 50
1956,8,Unprovoked,N,M,PAPUA NEW GUINEA,1956.08.00.b,Años 50
1956,7,Provoked,Y,M,USA,1956.07.28,Años 50
1956,8,Unprovoked,Y,M,USA,1956.08.15.R,Años 50
1956,8,Provoked,Y,M,UNITED KINGDOM,1956.08.00.d,Años 50
1956,8,Unprovoked,N,M,PAPUA NEW GUINEA,1956.08.20,Años 50
1956,12,Unprovoked,Y,M,GABON,1956.12.15.R,Años 50
1956,9,Unprovoked,N,M,ITALY,1956.09.00.a,Años 50
1956,9,Unprovoked,Y,M,MAYOTTE,1956.09.00.b,Años 50
1956,9,Unprovoked,Y,M,OTRO,1956.09.13,Años 50
1956,9,Unprovoked,N,M,USA,1956.09.23,Años 50
1956,10,Unprovoked,Y,M,PAPUA NEW GUINEA,1956.10.00,Años 50
1956,10,Unprovoked,N,M,SENEGAL,1956.10.07,Años 50
1956,10,Unprovoked,N,M,PAPUA NEW GUINEA,1956.10.20,Años 50
1956,10,Unprovoked,N,M,SOUTH AFRICA,1956.10.27,Años 50
1956,12,Provoked,N,M,NEW ZEALAND,1956.12.09,Años 50
1956,12,Unprovoked,Y,M,PAPUA NEW GUINEA,1956.12.24,Años 50
1956,12,Unprovoked,Y,M,PAPUA NEW GUINEA,1956.12.26,Años 50
1956,8,Unprovoked,Y,M,PAPUA NEW GUINEA,1956.08.25,Años 50
1956,7,Provoked,N,M,USA,1956.07.26,Años 50
1956,7,Unprovoked,N,F,USA,1956.07.17,Años 50
1956,7,Unprovoked,N,M,USA,1956.07.12,Años 50
1956,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1956.00.00.a,Años 50
1956,6,Unprovoked,N,M,PAPUA NEW GUINEA,1956.00.00.b,Años 50
1956,7,Unprovoked,Y,M,MALTA,1956.07.20,Años 50
1956,6,Unprovoked,UNKNOWN,F,USA,1956.00.00.d,Años 50
1956,6,Provoked,N,M,USA,1956.00.00.e,Años 50
1956,6,Unprovoked,Y,F,GREECE,1956.00.00.f,Años 50
1956,6,Sea Disaster,Y,M,OTRO,1956.00.00.g,Años 50
1956,6,Unprovoked,N,M,PAPUA NEW GUINEA,1956.00.00.h,Años 50
1956,1,Unprovoked,N,M,AUSTRALIA,1956.01.05,Años 50
1956,1,Unprovoked,Y,M,COSTA RICA,1956.01.16,Años 50
1956,1,Unprovoked,N,M,AUSTRALIA,1956.01.16.R,Años 50
1956,6,Unprovoked,N,UNKNOWN,PAPUA NEW GUINEA,1956.00.00.c,Años 50
1956,2,Unprovoked,Y,M,AUSTRALIA,1956.02.26,Años 50
1956,2,Unprovoked,N,M,AUSTRALIA,1956.02.10.R,Años 50
1956,6,Unprovoked,N,M,AUSTRALIA,1956.06.28,Años 50
1956,6,Sea Disaster,Y,UNKNOWN,MID ATLANTIC OCEAN,1956.06.20,Años 50
1956,5,Boating,N,UNKNOWN,SOUTH AFRICA,1956.05.26.R,Años 50
1956,5,Unprovoked,Y,M,CUBA,1956.05.07,Años 50
1956,6,Boating,Y,M,PORTUGAL,1956.06.22,Años 50
1956,3,Boating,UNKNOWN,UNKNOWN,ITALY,1956.03.25,Años 50
1956,3,Unprovoked,N,M,AUSTRALIA,1956.03.11,Años 50
1956,3,Unprovoked,Y,M,AUSTRALIA,1956.03.04,Años 50
1956,3,Unprovoked,N,M,AUSTRALIA,1956.03.00.b,Años 50
1956,5,Unprovoked,N,UNKNOWN,AUSTRALIA,1956.05.00,Años 50
1957,10,Unprovoked,Y,F,SOLOMON ISLANDS,1957.10.23,Años 50
1957,5,Unprovoked,N,M,AUSTRALIA,1957.05.11,Años 50
1957,7,Unprovoked,N,M,AUSTRALIA,1957.07.09,Años 50
1957,7,Unprovoked,Y,M,USA,1957.07.15,Años 50
1957,7,Provoked,N,M,USA,1957.07.24,Años 50
1957,8,Provoked,N,M,USA,1957.08.00,Años 50
1957,9,Unprovoked,N,M,MARSHALL ISLANDS,1957.09.02,Años 50
1957,10,Unprovoked,Y,M,SOLOMON ISLANDS,1957.10.24,Años 50
1957,12,Unprovoked,Y,M,SOUTH AFRICA,1957.12.23,Años 50
1957,5,Unprovoked,N,M,SOLOMON ISLANDS,1957.05.07,Años 50
1957,11,Sea Disaster,N,UNKNOWN,PACIFIC OCEAN,1957.11.08,Años 50
1957,12,Unprovoked,N,M,SOUTH AFRICA,1957.12.18,Años 50
1957,12,Unprovoked,Y,M,SOUTH AFRICA,1957.12.20,Años 50
1957,12,Unprovoked,N,M,SOUTH AFRICA,1957.12.26,Años 50
1957,12,Unprovoked,N,F,SOUTH AFRICA,1957.12.30,Años 50
1957,12,Unprovoked,N,M,AUSTRALIA,1957.12.31,Años 50
1957,11,Boat,N,UNKNOWN,AUSTRALIA,1957.11.04.R,Años 50
1957,5,Unprovoked,N,M,USA,1957.05.00,Años 50
1957,2,Unprovoked,N,M,USA,1957.02.05,Años 50
1957,4,Unprovoked,N,M,AUSTRALIA,1957.04.23,Años 50
1957,4,Unprovoked,Y,M,USA,1957.04.28,Años 50
1957,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1957.00.00.a,Años 50
1957,6,Unprovoked,N,M,IRAN,1957.00.00.c,Años 50
1957,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1957.00.00.b,Años 50
1957,6,Unprovoked,N,M,IRAN,1957.00.00.d,Años 50
1957,6,Unprovoked,N,M,FIJI,1957.00.00.e,Años 50
1957,6,Unprovoked,N,M,USA,1957.00.00.f,Años 50
1957,6,Unprovoked,Y,M,CUBA,1957.00.00.g,Años 50
1957,6,Unprovoked,N,UNKNOWN,USA,1957.00.00.j,Años 50
1957,6,Boat,N,UNKNOWN,CUBA,1957.00.00.h,Años 50
1957,2,Unprovoked,N,M,USA,1957.02.00,Años 50
1957,2,Unprovoked,UNKNOWN,M,AUSTRALIA,1957.02.02,Años 50
1957,4,Provoked,N,M,USA,1957.04.22,Años 50
1957,2,Unprovoked,N,M,FIJI,1957.02.24,Años 50
1957,4,Unprovoked,N,M,SOLOMON ISLANDS,1957.04.07.a,Años 50
1957,4,Unprovoked,N,M,PAPUA NEW GUINEA,1957.04.07.b,Años 50
1957,4,Unprovoked,N,M,AUSTRALIA,1957.04.13,Años 50
1957,1,Unprovoked,Y,M,SOUTH AFRICA,1957.01.05,Años 50
1958,9,Provoked,N,M,USA,1958.09.01,Años 50
1958,8,Boat,N,UNKNOWN,MEXICO,1958.08.31,Años 50
1958,8,Unprovoked,N,F,CROATIA,1958.08.01,Años 50
1958,7,Unprovoked,Y,F,MEXICO,1958.07.31.R,Años 50
1958,7,Unprovoked,Y,M,KENYA,1958.07.08,Años 50
1958,7,Unprovoked,N,M,USA,1958.07.27.a,Años 50
1958,7,Unprovoked,Y,M,USA,1958.07.10,Años 50
1958,9,Unprovoked,N,M,BAHAMAS,1958.09.06,Años 50
1958,7,Unprovoked,N,M,USA,1958.07.27.b,Años 50
1958,9,Unprovoked,Y,M,ANDAMAN / NICOBAR ISLANDAS,1958.09.13,Años 50
1958,10,Unprovoked,N,M,USA,1958.10.12,Años 50
1958,10,Provoked,N,M,MEXICO,1958.10.00.b,Años 50
1958,10,Unprovoked,N,M,USA,1958.10.05,Años 50
1958,7,Sea Disaster,Y,M,PACIFIC OCEAN,1958.07.04.b,Años 50
1958,11,Unprovoked,Y,M,PAPUA NEW GUINEA,1958.11.07.R,Años 50
1958,11,Unprovoked,Y,M,AUSTRALIA,1958.11.23,Años 50
1958,12,Unprovoked,Y,M,AMERICAN SAMOA,1958.12.12,Años 50
1958,12,Unprovoked,Y,M,USA,1958.12.13,Años 50
1958,12,Unprovoked,Y,M,SOUTH AFRICA,1958.12.23,Años 50
1958,12,Unprovoked,N,UNKNOWN,PAPUA NEW GUINEA,1958.12.27,Años 50
1958,12,Boat,UNKNOWN,UNKNOWN,TURKEY,1958.12.28,Años 50
1958,10,Unprovoked,N,M,PAPUA NEW GUINEA,1958.10.00.a,Años 50
1958,7,Sea Disaster,N,M,PACIFIC OCEAN,1958.07.04.a,Años 50
1958,11,Boat,N,UNKNOWN,USA,1958.11.05,Años 50
1958,7,Unprovoked,Y,M,PAPUA NEW GUINEA,1958.07.01,Años 50
1958,7,Provoked,N,M,USA,1958.07.02,Años 50
1958,6,Unprovoked,Y,M,SOUTH AFRICA,1958.00.00.a,Años 50
1958,6,Boat,N,UNKNOWN,SOUTH AFRICA,1958.00.00.b,Años 50
1958,6,Unprovoked,N,M,PAPUA NEW GUINEA,1958.00.00.c,Años 50
1958,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1958.00.00.e,Años 50
1958,6,Unprovoked,Y,UNKNOWN,PAPUA NEW GUINEA,1958.00.00.f,Años 50
1958,6,Provoked,N,M,PANAMA,1958.00.00.h,Años 50
1958,6,Provoked,N,UNKNOWN,SAMOA,1958.00.00.i,Años 50
1958,6,Provoked,N,M,TONGA,1958.00.00.j,Años 50
1958,1,Unprovoked,Y,M,SOUTH AFRICA,1958.01.09,Años 50
1958,1,Unprovoked,N,M,AUSTRALIA,1958.01.19,Años 50
1958,6,Unprovoked,Y,M,PAPUA NEW GUINEA,1958.00.00.d,Años 50
1958,2,Provoked,N,M,USA,1958.02.01,Años 50
1958,1,Unprovoked,N,M,AUSTRALIA,1958.01.27,Años 50
1958,7,Unprovoked,N,M,USA,1958.07.00.a,Años 50
1958,6,Provoked,N,M,USA,1958.06.26,Años 50
1958,6,Provoked,N,M,USA,1958.06.17,Años 50
1958,4,Provoked,N,M,USA,1958.04.30,Años 50
1958,6,Unprovoked,N,M,USA,1958.06.24,Años 50
1958,4,Unprovoked,Y,F,SOUTH AFRICA,1958.04.05,Años 50
1958,4,Unprovoked,Y,M,SOUTH AFRICA,1958.04.03,Años 50
1958,4,Unprovoked,N,M,PAPUA NEW GUINEA,1958.04.00,Años 50
1958,4,Unprovoked,N,M,TAIWAN,1958.04.19,Años 50
1958,7,Unprovoked,N,M,BAHAMAS,1958.07.00.b,Años 50
1959,9,Sea Disaster,N,M,USA,1959.09.26.b,Años 50
1959,8,Unprovoked,Y,M,USA,1959.08.15.a,Años 50
1959,9,Unprovoked,N,M,PHILIPPINES,1959.09.30,Años 50
1959,9,Boat,UNKNOWN,UNKNOWN,USA,1959.09.26.a,Años 50
1959,9,Boat,N,UNKNOWN,USA,1959.09.11,Años 50
1959,9,Unprovoked,Y,UNKNOWN,INDIA,1959.09.10.R,Años 50
1959,9,Unprovoked,Y,F,MEXICO,1959.09.00,Años 50
1959,8,Boat,N,UNKNOWN,AZORES,1959.08.31.R,Años 50
1959,8,Unprovoked,Y,M,JAPAN,1959.08.11,Años 50
1959,8,Sea Disaster,Y,UNKNOWN,PHILIPPINES,1959.08.14.a,Años 50
1959,8,Provoked,N,M,USA,1959.08.13,Años 50
1959,8,Provoked,N,M,CROATIA,1959.08.12,Años 50
1959,8,Unprovoked,N,F,USA,1959.08.10,Años 50
1959,7,Provoked,N,UNKNOWN,USA,1959.07.30,Años 50
1959,7,Unprovoked,N,M,USA,1959.07.28,Años 50
1959,10,Unprovoked,N,M,FIJI,1959.10.00,Años 50
1959,7,Unprovoked,Y,M,JAPAN,1959.07.25.b,Años 50
1959,8,Provoked,N,M,USA,1959.08.14.b,Años 50
1959,10,Unprovoked,Y,M,FIJI,1959.10.02,Años 50
1959,12,Sea Disaster,Y,F,MALDIVE ISLANDS,1959.12.00,Años 50
1959,10,Unprovoked,N,UNKNOWN,PAPUA NEW GUINEA,1959.10.05,Años 50
1959,7,Boat,N,UNKNOWN,USA,1959.07.25.a,Años 50
1959,12,Boat,N,UNKNOWN,AUSTRALIA,1959.12.29,Años 50
1959,12,Boat,N,UNKNOWN,AUSTRALIA,1959.12.28,Años 50
1959,12,Unprovoked,Y,UNKNOWN,PAPUA NEW GUINEA,1959.12.26,Años 50
1959,12,Unprovoked,Y,M,AUSTRALIA,1959.12.19.b,Años 50
1959,12,Sea Disaster,Y,M,PHILIPPINES,1959.12.19.a,Años 50
1959,12,Provoked,N,M,AUSTRALIA,1959.12.11,Años 50
1959,12,Boat,N,M,NEW ZEALAND,1959.12.03,Años 50
1959,11,Unprovoked,N,M,AUSTRALIA,1959.11.29,Años 50
1959,11,Unprovoked,N,M,AUSTRALIA,1959.11.28,Años 50
1959,11,Unprovoked,N,M,AUSTRALIA,1959.11.22,Años 50
1959,11,Boat,N,UNKNOWN,SOUTH AFRICA,1959.11.15,Años 50
