,Year,Ocean_Sea
275,2014,NORTH_ATLANTIC
277,2014,NORTH_PACIFIC
279,2014,GULF_OF_MEXICO
280,2014,NORTH_ATLANTIC
281,2014,NORTH_ATLANTIC
283,2014,NORTH_ATLANTIC
284,2014,NORTH_ATLANTIC
285,2014,NORTH_ATLANTIC
286,2014,NORTH_ATLANTIC
288,2014,NORTH_ATLANTIC
289,2014,NORTH_ATLANTIC
290,2014,NORTH_ATLANTIC
291,2014,NORTH_ATLANTIC
293,2014,NORTH_ATLANTIC
294,2014,NORTH_ATLANTIC
295,2014,NORTH_ATLANTIC
296,2014,NORTH_ATLANTIC
297,2014,NORTH_ATLANTIC
298,2014,NORTH_ATLANTIC
299,2014,NORTH_ATLANTIC
300,2014,NORTH_ATLANTIC
301,2014,NORTH_ATLANTIC
304,2014,NORTH_ATLANTIC
306,2014,NORTH_ATLANTIC
308,2014,NORTH_PACIFIC
309,2014,NORTH_ATLANTIC
310,2014,NORTH_ATLANTIC
311,2014,NORTH_ATLANTIC
312,2014,NORTH_ATLANTIC
313,2014,NORTH_PACIFIC
314,2014,NORTH_PACIFIC
315,2014,NORTH_ATLANTIC
316,2014,CARIBBEAN_SEA
317,2014,NORTH_ATLANTIC
321,2014,SOUTH_ATLANTIC
322,2014,NORTH_ATLANTIC
325,2014,GULF_OF_MEXICO
326,2014,NORTH_ATLANTIC
328,2014,NORTH_PACIFIC
332,2015,SOUTH_PACIFIC
333,2014,NORTH_ATLANTIC
335,2014,NORTH_ATLANTIC
336,2014,GULF_OF_MEXICO
337,2014,NORTH_ATLANTIC
338,2014,NORTH_ATLANTIC
339,2014,NORTH_ATLANTIC
341,2014,NORTH_ATLANTIC
342,2014,NORTH_ATLANTIC
345,2014,NORTH_ATLANTIC
346,2014,NORTH_ATLANTIC
350,2014,NORTH_ATLANTIC
351,2014,NORTH_ATLANTIC
354,2014,CARIBBEAN_SEA
357,2014,NORTH_ATLANTIC
361,2014,CARIBBEAN_SEA
370,2013,NORTH_PACIFIC
371,2013,NORTH_ATLANTIC
373,2013,NORTH_PACIFIC
375,2013,NORTH_PACIFIC
377,2013,NORTH_PACIFIC
379,2013,NORTH_ATLANTIC
380,2013,NORTH_ATLANTIC
381,2013,NORTH_ATLANTIC
382,2013,NORTH_PACIFIC
387,2013,NORTH_PACIFIC
388,2013,NORTH_PACIFIC
389,2013,NORTH_ATLANTIC
392,2013,NORTH_PACIFIC
393,2013,NORTH_ATLANTIC
394,2013,NORTH_ATLANTIC
396,2013,NORTH_ATLANTIC
397,2013,NORTH_ATLANTIC
398,2013,NORTH_ATLANTIC
399,2013,NORTH_ATLANTIC
400,2013,NORTH_ATLANTIC
401,2013,NORTH_ATLANTIC
402,2013,NORTH_ATLANTIC
403,2013,NORTH_ATLANTIC
