Japanese POW ship Arisan Maru with 1800 American prisoners of war on board bound for slave labor camps was torpedoed by an American submarine,1
"Fishing from launch, fell into net with shark",1
Fishing trawler Flavio Gioia ,1
Wading or swimming,1
Wading?,1
Standing on ship deck,1
SS Ethel Skakel foundered in Central America Hurricane of 1941,1
Swimming near canoe,1
Body surfing ,1
"Swimming, naked",1
"Fishing from rocks, swept out to sea by large wave & treading water",1
USS Johnston DD 557 sunk on 10/24/1944 in the Battle off Samara. Crewmen were swimming beside a raft.,1
Swimming from capsized pirogue,1
Jumped overboard while intoxicated,1
Ship Mariston torpedoed & sunk,1
Floating on an inflatable raft,1
Swimming to mail boat,1
Wreck of the tug Magellan,1
B-24 aircraft crashed  into the sea,1
Skindiving for specimens,1
"Surfing, paddling shorewards",1
Bodyboarding,1
Washed into sea while picking opihi & attacked by 2 large sharks ,1
Surfing & dangling foot in water amid baitfish,1
"Fishing, standing in 2' of water",1
"Fishing, walking in river to cast",1
Rowing an inflatable dinghy,1
Surfing (or sailboarding),1
"Fishing, trying to catch the end of his fishing line",1
A junk foundered,1
Washing his pig in preparation for a religious ceremony,1
Painting a ship,1
Scuba diving at seal colony,1
Dragging stranded shark into deeper water,1
Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,1
Fishing for basking sharks,1
"Inebriated, woke from sleep and fell off deck into the water ",1
"Competing in U/W endurance record, standing beside drum in 10' of water",1
"Free diving / spearfishing, ",1
"Fishing, shark caught in his net",1
Helping men land a shark,1
Netting sharks,1
Being pulled to shore from wreck of 25-ton fishing vessel Alan S,1
Attempting to drive shark from area,1
Conducting a promotional film project for the Gemini space program (a practice astronaut recovery),1
Diving for coins thrown from ship S.S. Moeraki,1
Floating face-down in knee-deep water,1
Gathering fish stunned by dynamite,1
"Disappeared 11 days earlier, probable homicide victim",1
Swimming (lead swimmer in race),1
Sinking of the dredge World Atlas,1
Walking in shallows,1
Leicester abandoned in a hurricane,1
Parachuted from balloon,1
ship William Penn grounded & broke apart,1
S2F-1 airplane crashed immediately after carrier take-off,1
Attempting to free the shark,1
Free diving / Spearfishingat edge of reef,1
Sinking of the ferryboat Bongbong 1,1
canoeing,1
"""Riding waves on a board""",1
"Boat, with 42 passengers onboard, capsized in rough seas",1
"Standing, holding shark pup",1
Surf-fishing,1
Fishing from a small boat & put his hand in the water while holding a dead fish,1
"""Swimming vigorously""",1
Abandoning burning ship Captain George in raging seas,1
"Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",1
Attaching a line at sea,1
Collecting dynamited fish,1
Helping angler land a shark,1
cargo ship Southern Isle sank at 04h00,1
Diving alongsidethe steamship Ranelagh ,1
Washed overboard by swell,1
Playing / standing,1
Portuguese Airliner with 9 people aboard went down. ,1
Jumped overboard after murdering 2 shipmates,1
"Free diving, hunting crayfish",1
Taken as he dived into the water,1
Air disaster: crash of Air France Super Constellation ,1
"During ""an exhibition"" he was tied in sack & thrown overboard ",1
Swimming to retrieve a flannel,1
40' fishing boat sank,1
Searching for remains of  Dr. Marais,1
Filming 5' blue shark,1
Rolled off raft,1
Attempting to rescue woman seized by shark,1
Standing in inner tube,1
Adrift in a life jacket,1
Washing sand off a speared fish,1
Boat capsized,1
He was fighting a shark when his boat capsized & he disappeared,1
"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",1
Fell overboard  from the Taiwanese fishing trawler Lien Cheng Feu ,1
Lying prone on surfboard,1
Wreck of the steamship Birkenhead,1
Surfing with dolphins,1
Fell off surf ski,1
Murdered,1
Wreck of the 1308-ton Norwegian ship Auckland,1
Walking on reef,1
Removing shark from a trap,1
"Swimming, when caught in heavy seas",1
Swimming / Body Surfing,1
Fishing (Drowned 2-Apr-2002),1
The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,1
Dry shelling,1
Japanese freighter Bokuyo Maru burned & sank,1
"Ditched aircraft, 3 men in the water. Swam for 31 hours",1
Setting crayfish pots,1
"Fishing, removing the shark from his line",1
Attempting to catch a crocodile,1
Fishing with hand line tied to wrist & was pulled into the water,1
Swimming with goggles,1
"Free diving, carrying speargun",1
Schooner sank during a storm,1
43-ton schooner Irene capsized & sank,1
wreck of the State Oil Company ship Permina,1
Free diving & spearfishing ,1
Placed hand in disemboweled sharks jaws,1
Attempting to set underwater endurance record,1
Sea disaster : Wreck of the Taiaroa,1
Fell oveboard,1
Paddle-boarding,1
"Fishing, slipped on rocks & fell into sea",1
Fell off surfboard 20' from shore,1
"Scuba diving, but swimming on surface",1
Swimming along a row of nets,1
Dragging banana seeds through the shallows,1
"Sea Disaster, sinking of the fishing  launch Mavis",1
Fishing - 'tag & release',1
"Surfing, fell off surfboard",1
"Swimming, towing surfboard",1
"Fishing, hauling in a set line",1
Fishing for perch,1
Surf bathing,1
Bottom fishing for lingcod & had hooked a fish,1
Ascending from a dive,1
Attempting to rescue crew after whale upset their boat,1
"Body surfing, stood up on sandbar",1
Went to aid of child being menaced by the shark,1
Air/Sea Disaster,1
"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",1
ship M.V. Rizal sank during typhoon,1
"C47 aircraft carrying 5,000 lbs of ice ditched in the sea",1
Wreck / Technical diving,1
"Fishing from boat, Kaimamla",1
Traveling by boat,1
"Spearfishing, but walking carrying fish on end of speargun",1
Removing hook from shark,1
"Fishing, speared shark upset canoe & man fell in water",1
Rescuing,1
Oystering,1
Swimming to shore from boat or kayak,1
Fishing for white sharks,1
Sailing on catamaran & fell into the water,1
pêcheur de bichiques,1
Treading water while alongside capsized yacht,1
"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",1
Holding shark on leader & dangling it above the water,1
Fishing / standing in waist deep water,1
Went over side of boat at trochus ground,1
Commercial Salvage Diving,1
The troopship Britannia was sunk by the German raider Thor,1
