,name,last_raised_amount_MnUSD,total_raised_MnUSD,round_average_MnUSD,rounds
666,AFrame Digital,0.0,0.0,0.0,
668,StartForce,5.0,6.0,3.0,2.0
669,SquareClock,1.2,1.2,1.2,1.0
671,Pivot,8.0,13.0,6.5,2.0
673,Jalbum,0.0,0.0,0.0,
677,Infusionsoft,2.0,72.9,18.2,4.0
679,be2,7.7,21.1,10.6,2.0
682,Zenoss,25.0,40.8,13.6,3.0
684,Ziippi,0.0,0.0,0.0,
685,CrimeReports,7.2,7.2,7.2,1.0
686,Dreamsoft Technologies,0.1,0.1,0.1,1.0
687,Titan Gaming,1.0,1.0,1.0,1.0
688,LabPixies,1.0,1.0,1.0,1.0
691,Boxee,16.5,26.5,8.8,3.0
692,LoudClick,0.6,0.6,0.6,1.0
696,CrestaTech,1.4,20.9,5.2,4.0
697,Pixy Ltd,0.0,0.0,0.0,
698,Keibi Technologies,5.0,5.0,5.0,1.0
703,BountyJobs,4.5,29.8,6.0,5.0
704,VBS TV,10.0,10.0,10.0,1.0
706,Imagekind,2.6,2.6,1.3,2.0
707,Yovia,0.3,0.3,0.3,1.0
709,My Damn Channel,4.4,7.6,3.8,2.0
716,Photobucket,0.0,28.0,4.7,6.0
719,Ounce Labs,6.0,13.5,6.8,2.0
721,Zigabid,0.5,1.0,0.5,2.0
722,InThrMa,0.0,0.0,0.0,
723,thePlatform,8.0,8.0,8.0,1.0
724,BlueWare,0.0,0.0,0.0,
728,Posterous,5.0,10.1,2.5,4.0
731,Extend Media,11.2,33.2,11.1,3.0
