,name,last_raised_amount_MnUSD,total_raised_MnUSD,round_average_MnUSD,rounds
1050,Busuu,0.0,4.7,1.6,3.0
1053,Green Apple Media,100.0,132.0,44.0,3.0
1054,CouponCabin,54.0,54.0,54.0,1.0
1057,ClickSquared,9.0,56.7,18.9,3.0
1059,mydeco,5.2,10.8,5.4,2.0
1060,MyOtherDrive,1.0,1.0,1.0,1.0
1063,RGB Networks,12.0,52.0,17.3,3.0
1064,Sysomos,0.2,0.2,0.2,1.0
1069,Stratavia,3.2,9.4,4.7,2.0
1070,Ramamia,0.0,0.0,0.0,
1075,Klout,0.0,40.0,8.0,5.0
1076,"ServusXchange, LLC",2.0,2.0,2.0,1.0
1081,Koffeeware,0.0,0.0,0.0,
1083,RJMetrics,6.2,6.2,6.2,1.0
1084,MediaWheel,0.0,0.0,0.0,
1088,Double Fusion,10.0,59.0,14.8,4.0
1094,Mantara,17.4,50.6,8.4,6.0
1098,Adaptive Planning,45.0,84.5,21.1,4.0
1100,WebLayers,3.0,10.0,5.0,2.0
1103,Vocalocity,3.5,17.1,5.7,3.0
1104,CreationFlow,0.2,0.2,0.2,1.0
1105,Trutoon,0.0,0.0,0.0,
1107,Spoonfed,0.3,0.4,0.2,2.0
1108,Swyzzle,0.1,0.1,0.1,1.0
1115,SparkBase,5.4,9.6,2.4,4.0
1119,PEX Card,0.9,5.7,1.4,4.0
1121,Signiant,10.0,10.0,10.0,1.0
1123,CyberArts,13.0,16.3,8.2,2.0
1128,Untangle,12.0,33.2,6.6,5.0
1130,Naseeb Networks,0.0,2.0,1.0,2.0
1131,MapMyIndia,0.0,0.0,0.0,
1132,Backchannelmedia,3.0,3.0,3.0,1.0
1133,Quantum Secure,3.5,3.5,3.5,1.0
1135,burrp!,2.0,2.2,1.1,2.0
1136,Gennio,0.6,0.6,0.6,1.0
1137,CodeGlide,0.5,0.5,0.5,1.0
1139,KODA,1.5,4.5,2.2,2.0
1141,Ginger Software,5.4,11.7,5.8,2.0
1142,Medio,30.0,30.0,30.0,1.0
1143,ulike,0.0,0.0,0.0,
1144,AdventureDrop,0.1,0.1,0.1,1.0
1146,WANdisco,14.6,14.6,14.6,1.0
1147,TopCoder,11.3,11.3,11.3,1.0
1149,Questra,12.5,12.5,6.2,2.0
1150,Zapproved,1.4,1.4,1.4,1.0
1151,Unified Color,0.0,0.0,0.0,
1153,Mashup Arts,1.1,1.6,0.8,2.0
1154,Conformiq,4.2,4.2,4.2,1.0
1155,studdex,0.2,0.2,0.2,1.0
1157,StarWind Software,0.0,0.0,0.0,
1158,Concur Technologies,43.8,43.8,43.8,1.0
1160,YOUnite,1.3,1.3,1.3,1.0
1163,inContact,23.9,35.3,11.8,3.0
1164,BASH Gaming,1.0,1.0,1.0,1.0
1170,Major League Gaming,13.0,69.0,11.5,6.0
1171,CogniFit,5.0,5.0,5.0,1.0
1172,Dodreams,0.7,0.7,0.7,1.0
1173,SeatKarma,0.0,0.0,0.0,
1177,AppZero,8.0,15.1,3.8,4.0
1180,Tiseme,0.0,0.0,0.0,
1182,Optify,6.1,8.9,4.4,2.0
1185,Viridity Software,8.0,15.0,7.5,2.0
1186,Wee Web,0.3,0.3,0.3,1.0
1187,Euclid Media,0.0,0.0,0.0,
1189,IGLOO Software,5.0,9.0,4.5,2.0
1190,Jama Software,13.0,13.0,13.0,1.0
1191,iPharro Media,5.2,5.2,5.2,1.0
1193,Cornerstone OnDemand,32.0,44.7,22.4,2.0
1194,Scopial Fashions,0.0,0.0,0.0,
1197,Sift,0.5,2.9,1.0,3.0
1199,SpaBooker,0.2,14.7,7.4,2.0
1200,ITDatabase,0.0,0.0,0.0,
1201,Personal Estate Manager,0.2,0.2,0.2,1.0
1202,Verisim,0.9,0.9,0.9,1.0
1205,Infobright,10.0,21.0,7.0,3.0
1211,SCVNGR,9.0,40.8,6.8,6.0
1212,Owlient,2.7,2.7,2.7,1.0
1213,Arimaz,0.4,0.4,0.4,1.0
1216,GameChanger Media,0.6,1.0,0.3,3.0
1222,Z2Live,2.5,6.5,2.2,3.0
1225,ZillionTV,10.0,18.1,6.0,3.0
1226,SwapBeats,0.3,0.3,0.3,1.0
1228,Gate 53|10 Technologies,0.1,0.1,0.0,inf
1232,Ranker,2.0,5.1,1.3,4.0
1234,Tongal,15.0,16.0,8.0,2.0
1235,HealthEngine,10.4,10.4,10.4,1.0
1236,Link Trigger,0.5,0.5,0.5,1.0
1238,betaworks,7.5,27.5,13.8,2.0
1243,MetricStream,0.4,14.5,4.8,3.0
1245,upad,0.0,0.0,0.0,
1249,HootSuite,165.0,186.9,62.3,3.0
1250,Smallaa,3.0,3.0,3.0,1.0
1251,Joobili,0.1,0.1,0.1,1.0
1252,BoardEvals,0.1,0.1,0.1,1.0
1254,NuView Systems,2.1,7.1,3.6,2.0
1256,Bomgar,5.0,11.0,5.5,2.0
1257,Tuenti Technologies,8.0,8.0,8.0,1.0
1259,Nirvaha,0.6,0.8,0.4,2.0
1262,FTRANS,2.6,14.1,4.7,3.0
1263,1calendar,0.0,0.0,0.0,
1265,Milo,4.0,5.0,2.5,2.0
1268,Busca Corp,1.0,5.0,1.7,3.0
1270,Metreos Corporation,3.8,4.4,2.2,2.0
1271,GoGoPin,0.8,0.8,0.8,1.0
1272,Servo Software,3.0,3.0,3.0,1.0
1274,ColdLight Solutions,10.0,11.0,5.5,2.0
1276,Eglue Business Technologies,10.0,22.0,11.0,2.0
1278,kontoblick,0.0,0.0,0.0,
1282,Unitrends Software,0.0,20.6,5.2,4.0
1285,Razorsight,12.0,31.0,10.3,3.0
1287,DP7 Digital,0.1,0.1,0.1,1.0
1290,Rhapso,0.7,11.0,3.7,3.0
1293,Aria Networks,4.0,9.1,3.0,3.0
1297,Garlik,5.4,24.7,6.2,4.0
1298,Saavn,6.0,6.0,6.0,1.0
1299,jamWee,0.0,0.0,0.0,
1300,SkillSurvey,1.8,1.8,1.8,1.0
1302,Upland Software,19.8,23.3,11.6,2.0
1303,My-Hammer,3.2,3.2,3.2,1.0
1308,The Resumator,2.1,2.9,0.6,5.0
1309,2 Minutes,1.7,1.7,1.7,1.0
1310,HashCube,0.0,0.0,0.0,
1312,Sofa Labs,1.2,1.2,0.6,2.0
1313,VISup,0.0,0.0,0.0,
1315,GottaPark,0.5,0.6,0.3,2.0
1316,Udorse,0.5,0.5,0.5,1.0
1317,isango!,8.0,8.0,8.0,1.0
1320,Tribold,2.1,28.1,9.4,3.0
1321,MD-IT,11.0,11.0,11.0,1.0
1323,ExtraFootie,0.3,0.3,0.3,1.0
1324,Ykone,1.3,1.3,1.3,1.0
1325,Moviepilot,7.0,7.0,7.0,1.0
1326,BetKlub,0.1,0.1,0.1,1.0
1327,Kimengi,0.2,0.2,0.2,1.0
1328,UTOPY,7.5,7.5,7.5,1.0
1330,Glogster,0.0,0.0,0.0,
1331,Lipperhey,0.2,0.2,0.2,1.0
1333,Pontis,15.0,34.6,17.3,2.0
1342,CrowdGather,5.5,17.8,2.0,9.0
1343,Schoolwires,12.0,12.0,12.0,1.0
1346,Aveksa,12.0,28.0,9.3,3.0
1348,ubigrate,0.0,0.4,0.2,2.0
1350,Jasper Design Automation,2.1,9.1,4.6,2.0
1353,FireScope,5.0,9.9,3.3,3.0
1355,ChallengePost,4.1,4.6,2.3,2.0
1356,DeciZium,1.5,1.5,1.5,1.0
1359,AlterPoint,12.0,26.8,8.9,3.0
1361,StyleCaster,1.0,5.0,2.5,2.0
1363,Testplant,1.8,2.6,1.3,2.0
1366,Culture Jam,1.2,1.7,0.8,2.0
1367,AgileJ Limited,0.1,0.1,0.1,1.0
1368,Continuity Engine,1.9,1.9,1.9,1.0
1373,FundRazr,0.4,0.4,0.4,1.0
1374,Arkeia Software,4.1,4.1,4.1,1.0
1375,Vertro,0.2,0.2,0.2,1.0
1376,PubliAtis,0.9,0.9,0.9,1.0
1379,ANTs Software,3.3,23.5,11.8,2.0
1384,Tiny Speck,0.0,17.2,4.3,4.0
