,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
33,Lolapps,2008,web,65,2.0,8.0,4.0,2,37.7870923,-122.3999719,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
34,StartForce,2006,web,21,2.0,6.0,3.0,2,37.796164,-122.420903,"{'type': 'Point', 'coordinates': [-122.420903, 37.796164]}",57,3947,1.9298245614035088,36.0,0.07017543859649122
35,Keibi Technologies,2006,software,30,1.0,5.0,5.0,2,37.787646,-122.402759,"{'type': 'Point', 'coordinates': [-122.402759, 37.787646]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
36,CodeGlide,2007,software,10,1.0,0.5,0.5,2,37.7934643,-122.3979712,"{'type': 'Point', 'coordinates': [-122.3979712, 37.7934643]}",60,4806,1.95,36.0,0.050000000000000044
37,DocVerse,2007,web,5,1.0,1.3,1.3,2,37.788115,-122.397141,"{'type': 'Point', 'coordinates': [-122.397141, 37.788115]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
38,Genbook,2007,web,12,1.0,2.2,2.2,2,37.789902,-122.4007791,"{'type': 'Point', 'coordinates': [-122.4007791, 37.789902]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
39,OpenDrive,2008,software,25,,0.0,0.0,2,37.794043,-122.39736,"{'type': 'Point', 'coordinates': [-122.39736, 37.794043]}",60,4806,1.95,36.0,0.050000000000000044
40,Lolapps,2008,web,65,2.0,8.0,4.0,2,37.7870923,-122.3999719,"{'type': 'Point', 'coordinates': [-122.3999719, 37.7870923]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
41,KODA,2008,web,15,2.0,4.5,2.2,1,37.788796,-122.40971,"{'type': 'Point', 'coordinates': [-122.40971, 37.788796]}",63,4933,1.9523809523809523,36.0,0.04761904761904767
42,GottaPark,2007,web,9,2.0,0.6,0.3,2,37.7868333,-122.4011603,"{'type': 'Point', 'coordinates': [-122.4011603, 37.7868333]}",63,4927,1.9523809523809523,36.0,0.04761904761904767
43,Bomgar,2003,software,150,2.0,11.0,5.5,2,37.791128,-122.398126,"{'type': 'Point', 'coordinates': [-122.398126, 37.791128]}",62,4921,1.9516129032258065,36.0,0.048387096774193505
