,_id,category_code,city,country_code,founded_year,geopoint,latitude,longitude,name,number_of_employees,type,companies200,companies500,companies1000,companies2000,employees200,employees500,employees1000,employees2000
976,5cd453a1e74b56f50369cab3,web,Spring Hill,USA,2008,"{'type': 'Point', 'coordinates': [-82.55582, 28.552044]}",28.552044,-82.55582,Bleacher Advisor,1,startup,1,1,1,1,1,1,1,1
977,5cd453a1e74b56f50369cab4,software,New York,USA,2008,"{'type': 'Point', 'coordinates': [-73.992609, 40.740941]}",40.740941,-73.992609,Buzzr,5,startup,4,11,23,63,63,136,322,858
978,5cd453a1e74b56f50369cab5,software,San Jose,USA,2007,"{'type': 'Point', 'coordinates': [-121.877636, 37.320052]}",37.320052,-121.877636,Siri,19,startup,3,4,4,4,25,27,27,27
979,5cd453a1e74b56f50369cab6,software,Gouda,NLD,2005,"{'type': 'Point', 'coordinates': [4.6805473, 52.0259843]}",52.0259843,4.6805473,O3Spaces,25,startup,1,1,1,1,25,25,25,25
980,5cd453a1e74b56f50369cab7,web,Melbourne,AUS,2006,"{'type': 'Point', 'coordinates': [144.962282, -37.814768]}",-37.814768,144.962282,Beyond Software,5,startup,1,1,4,5,5,5,55,59
981,5cd453a1e74b56f50369cab8,software,Des Moines,USA,2008,"{'type': 'Point', 'coordinates': [-71.0766717, 42.3513279]}",42.3513279,-71.0766717,Pongr,20,startup,1,1,1,13,20,20,20,169
982,5cd453a1e74b56f50369cab9,games_video,San Francisco,USA,2006,"{'type': 'Point', 'coordinates': [-122.395785, 37.77772]}",37.77772,-122.395785,GotGame,15,startup,4,12,21,58,29,134,227,1982
983,5cd453a1e74b56f50369caba,software,Boston,USA,2008,"{'type': 'Point', 'coordinates': [-93.625499, 41.587539]}",41.587539,-93.625499,Pongr,20,startup,1,1,1,1,20,20,20,20
984,5cd453a1e74b56f50369cabb,software,Milwaukee,USA,2008,"{'type': 'Point', 'coordinates': [-87.895093, 43.097697]}",43.097697,-87.895093,StellarSurvey,5,startup,1,1,1,1,5,5,5,5
985,5cd453a1e74b56f50369cabc,software,Melbourne,AUS,2007,"{'type': 'Point', 'coordinates': [144.970823, -37.813339]}",-37.813339,144.970823,Gigantiq,5,startup,3,3,4,4,50,50,55,55
986,5cd453a1e74b56f50369cabd,web,Cesson S̩vign̩,FRA,2008,"{'type': 'Point', 'coordinates': [-1.611882, 48.10583]}",48.10583,-1.611882,Maptimize,3,startup,2,2,2,2,5,5,5,5
987,5cd453a1e74b56f50369cabe,web,San Francisco,USA,2009,"{'type': 'Point', 'coordinates': [-86.0547016, 39.9052263]}",39.9052263,-86.0547016,Formspring,19,startup,1,1,1,1,19,19,19,19
988,5cd453a1e74b56f50369cabf,games_video,Cologne,DEU,2007,"{'type': 'Point', 'coordinates': [6.842133, 50.947112]}",50.947112,6.842133,Karo Internet,10,startup,1,1,1,1,10,10,10,10
989,5cd453a1e74b56f50369cac0,web,Chicago,USA,2006,"{'type': 'Point', 'coordinates': [-87.624333, 41.879535]}",41.879535,-87.624333,Reverse Mortgage Guides,18,startup,3,4,6,12,31,37,77,123
990,5cd453a1e74b56f50369cac1,games_video,New York,USA,2007,"{'type': 'Point', 'coordinates': [-73.989698, 40.744594]}",40.744594,-73.989698,For Your Imagination,10,startup,4,10,28,59,65,167,345,656
991,5cd453a1e74b56f50369cac2,web,Toronto,CAN,2008,"{'type': 'Point', 'coordinates': [-79.44182, 43.769479]}",43.769479,-79.44182,UptimeArchive,5,startup,1,1,1,1,5,5,5,5
992,5cd453a1e74b56f50369cac3,games_video,Chicago,USA,2007,"{'type': 'Point', 'coordinates': [-87.632519, 41.889183]}",41.889183,-87.632519,SureSpeak,8,startup,2,3,5,11,23,30,70,117
993,5cd453a1e74b56f50369cac4,web,Lisbon,PRT,2008,"{'type': 'Point', 'coordinates': [-9.135517, 38.7071631]}",38.7071631,-9.135517,FACEinHOLE,4,startup,2,2,2,2,6,6,6,6
994,5cd453a1e74b56f50369cac5,web,Paris,FRA,2006,"{'type': 'Point', 'coordinates': [2.350987, 48.856667]}",48.856667,2.350987,"Iteria, SARL",3,startup,7,7,7,11,82,82,82,146
995,5cd453a1e74b56f50369cac6,web,San Francisco,USA,2007,"{'type': 'Point', 'coordinates': [-122.400591, 37.782163]}",37.782163,-122.400591,Reframe It,10,startup,2,4,38,78,10,27,446,2118
996,5cd453a1e74b56f50369cac7,web,Budapest,HUN,2008,"{'type': 'Point', 'coordinates': [19.026118, 47.420458]}",47.420458,19.026118,NessDex,2,startup,1,1,1,1,2,2,2,2
997,5cd453a1e74b56f50369cac8,software,San Diego,USA,2007,"{'type': 'Point', 'coordinates': [-117.091176, 32.908601]}",32.908601,-117.091176,MaxPowerSoft,10,startup,1,1,1,1,10,10,10,10
998,5cd453a1e74b56f50369cac9,web,Charlotte,USA,2006,"{'type': 'Point', 'coordinates': [-80.82117, 35.05355]}",35.05355,-80.82117,Intventures,2,startup,1,1,1,1,2,2,2,2
999,5cd453a1e74b56f50369caca,web,New York,USA,2008,"{'type': 'Point', 'coordinates': [-73.951865, 40.76945]}",40.76945,-73.951865,CarZen,5,startup,2,3,3,5,9,15,15,36
1000,5cd453a1e74b56f50369cacc,web,Abergavenny,GBR,2008,"{'type': 'Point', 'coordinates': [-3.020908, 51.824849]}",51.824849,-3.020908,Blog to it,1,startup,1,1,1,1,1,1,1,1
1001,5cd453a1e74b56f50369cacd,games_video,Vancouver,CAN,2008,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}",49.263588,-123.138565,Sonichall,2,startup,5,5,5,6,18,18,18,21
1002,5cd453a1e74b56f50369cace,software,Birmingham,GBR,2005,"{'type': 'Point', 'coordinates': [-1.893621, 52.482932]}",52.482932,-1.893621,Pumant,20,startup,1,1,1,1,20,20,20,20
1003,5cd453a1e74b56f50369cacf,software,Buenos Aires,ARG,2005,"{'type': 'Point', 'coordinates': [-58.417309, -34.611781]}",-34.611781,-58.417309,Pumant,20,startup,2,2,2,3,25,25,25,29
1004,5cd453a1e74b56f50369cad0,games_video,San Francisco,USA,2006,"{'type': 'Point', 'coordinates': [-122.290897, 37.8448035]}",37.8448035,-122.290897,SonicLiving,10,startup,1,2,3,3,10,35,60,60
1005,5cd453a1e74b56f50369cad1,web,Ottawa,CAN,2007,"{'type': 'Point', 'coordinates': [-75.696716, 45.4231289]}",45.4231289,-75.696716,Octopus IP Communications,20,startup,1,1,2,2,20,20,23,23
1006,5cd453a1e74b56f50369cad2,software,Vienna,AUT,2005,"{'type': 'Point', 'coordinates': [16.354637, 48.202758]}",48.202758,16.354637,semanticlabs,23,startup,1,1,1,2,23,23,23,27
1007,5cd453a1e74b56f50369cad3,web,Mountain View,USA,2008,"{'type': 'Point', 'coordinates': [-93.324191, 44.868986]}",44.868986,-93.324191,Tidalwave Trader,5,startup,1,1,1,1,5,5,5,5
1008,5cd453a1e74b56f50369cad4,software,North Vancouver,CAN,2007,"{'type': 'Point', 'coordinates': [-123.078758, 49.311752]}",49.311752,-123.078758,Rezgo,7,startup,1,1,1,1,7,7,7,7
